dimension,value,horizon,events,gross_sum,gross_mean,median,positive_fraction,net_mean_10bps
shock_bin,4-5%,gross30,171,0.4591765628750736,0.0026852430577489683,0.00520946385934451,0.6081871345029239,0.0006852430577489682
shock_bin,4-5%,gross60,171,0.08583641675458531,0.0005019673494420193,0.0007940108892923181,0.5380116959064327,-0.0014980326505579806
shock_bin,5-6%,gross30,57,0.12342481930203475,0.0021653477070532412,0.002368354749307189,0.5789473684210527,0.0001653477070532412
shock_bin,5-6%,gross60,57,-0.02886814442295249,-0.0005064586740868858,-0.0014255949117226718,0.43859649122807015,-0.0025064586740868857
shock_bin,6-8%,gross30,50,0.20887945445768907,0.004177589089153781,0.006747558471620452,0.58,0.0021775890891537813
shock_bin,6-8%,gross60,50,-0.118910598943754,-0.00237821197887508,8.589019231969308e-05,0.5,-0.00437821197887508
shock_bin,>=8%,gross30,23,-0.12994903084139053,-0.005649957862669154,-0.0020929259104227604,0.4782608695652174,-0.007649957862669154
shock_bin,>=8%,gross60,23,-0.5684921432855083,-0.02471704970806558,-0.01017557861133278,0.43478260869565216,-0.026717049708065578
surprise_bin,8-10x,gross30,234,0.42390704478447694,0.0018115685674550297,0.0031165319944824743,0.5811965811965812,-0.0001884314325449703
surprise_bin,8-10x,gross60,234,-0.7740216265255644,-0.0033077847287417282,-0.00039978031734205777,0.47435897435897434,-0.005307784728741728
surprise_bin,>=10x,gross30,67,0.23762476100892993,0.0035466382240138795,0.005884949242312976,0.6119402985074627,0.0015466382240138794
surprise_bin,>=10x,gross60,67,0.14358715662793486,0.002143091889969177,0.0018369259606372257,0.6119402985074627,0.00014309188996917705
time_bin,first_2h,gross30,171,0.9504385808244272,0.0055581203556984045,0.007245969780373951,0.6432748538011696,0.0035581203556984044
time_bin,first_2h,gross60,171,-0.2266491639325111,-0.0013254337072076674,-0.0009314703925483725,0.4502923976608187,-0.0033254337072076675
time_bin,middle,gross30,97,-0.26166236897474915,-0.0026975501956159704,0.0018577204677083792,0.5257731958762887,-0.0046975501956159705
time_bin,middle,gross60,97,-0.4522675672368913,-0.004662552239555581,0.004043273959130067,0.5876288659793815,-0.006662552239555581
time_bin,late,gross30,33,-0.02724440605627121,-0.0008255880623112488,-0.0014698677119058257,0.48484848484848486,-0.0028255880623112486
time_bin,late,gross60,33,0.04848226127177291,0.001469159432477967,0.0014984334559324797,0.5454545454545454,-0.0005308405675220331
cluster_bin,solo,gross30,180,-0.16260252037235,-0.0009033473354019445,-0.0009019301481288933,0.4666666666666667,-0.0029033473354019446
cluster_bin,solo,gross60,180,0.030721611431515417,0.00017067561906397452,0.001380250464824706,0.5388888888888889,-0.0018293243809360256
cluster_bin,2-3,gross30,24,-0.10849948869065906,-0.004520812028777461,-0.0033459032260604316,0.3333333333333333,-0.006520812028777461
cluster_bin,2-3,gross60,24,-0.44458343095322805,-0.01852430962305117,-0.005240416318779806,0.2916666666666667,-0.02052430962305117
cluster_bin,4-10,gross30,23,0.0452790649310979,0.0019686549970042567,0.003216522769595276,0.5652173913043478,-3.134500299574331e-05
cluster_bin,4-10,gross60,23,-0.14642959881077167,-0.006366504296120507,-0.0034591194968552896,0.391304347826087,-0.008366504296120507
cluster_bin,>10,gross30,74,0.887354749925318,0.01199128040439619,0.011927093127763633,0.972972972972973,0.00999128040439619
cluster_bin,>10,gross60,74,-0.07014305156514522,-0.0009478790752046652,0.000238710382027163,0.527027027027027,-0.002947879075204665
