delay,hold,candidate_events,event_attrition,all_event_gross_mean,all_event_net_mean,all_event_positive_net_fraction,portfolio_events,portfolio_clusters,portfolio_net,portfolio_net_ex_20250407,max_drawdown,recovery_days,unresolved,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months
1,45,301,0,-0.0004252462090185006,-0.0024252462090185016,0.5116279069767442,142,140,-0.25108602020163207,-0.2545606932349581,0.3082949040018906,520,True,-0.251086020201632,-0.013949223344535112,-0.008288309922251096,11,0,-0.1538522818735457,-0.010256818791569712,-0.006387927284236417,9,0,-0.14577104583965173,-0.01214758715330431,-0.005339781986461891,7,0
1,60,301,0,-0.0020944666774007623,-0.004094466677400764,0.40863787375415284,137,135,-0.21605211537847394,-0.22224669793392263,0.33168732764509884,520,True,-0.21605211537847382,-0.0120028952988041,-0.014181884983936013,13,0,-0.1572390513777354,-0.01048260342518236,-0.013468207897215694,11,0,-0.14698132500682223,-0.01224844375056852,-0.010202412500567075,9,0
2,45,301,0,-0.0006155559832294077,-0.0026155559832294092,0.5116279069767442,141,139,-0.22765174571642888,-0.23158453668451595,0.290199606375871,520,True,-0.22765174571642882,-0.012647319206468268,-0.01297535154736189,12,0,-0.1800659551617648,-0.01200439701078432,-0.01291577632863926,10,0,-0.1885076647148225,-0.015708972059568543,-0.01297535154736189,9,0
5,45,301,0,-0.0022627820437063273,-0.004262782043706328,0.38870431893687707,140,138,-0.2495445750750112,-0.2781797606832312,0.3113356514670215,520,True,-0.24954457507501113,-0.013863587504167284,-0.014523527487932945,10,0,-0.1837678265755558,-0.012251188438370387,-0.016146735162230853,9,0,-0.19678641909862915,-0.016398868258219096,-0.014523527487932945,7,0
1,5,301,0,0.0005414644100198637,-0.001458535589980137,0.4418604651162791,181,170,-0.25301350821288937,-0.20319173295893733,0.30004146748092286,392,True,-0.25301350821288937,-0.014056306011827188,-0.00422364468303759,10,0,-0.20674577406272232,-0.013783051604181489,-0.00022383964372618345,8,0,-0.10634551377967826,-0.008862126148306521,-0.00507762052107957,7,0
2,60,299,2,-0.0019156241511937549,-0.003915624151193757,0.41471571906354515,136,134,-0.2273046948185869,-0.2337700350327067,0.37450007264506296,520,True,-0.2273046948185868,-0.0126280386010326,-0.014045009418455507,12,0,-0.21739217100082034,-0.014492811400054689,-0.01809974228201599,10,0,-0.14467230374378529,-0.012056025311982107,-0.012163799137765741,8,0
2,5,301,0,-2.0565496217037817e-05,-0.0020205654962170386,0.3654485049833887,183,168,-0.3127543720881748,-0.2790350610863762,0.3945076805427808,520,True,-0.3127543720881748,-0.017375242893787488,-0.01375418108420588,15,0,-0.28862024210877124,-0.019241349473918083,-0.012325710573754737,13,0,-0.1579446725028978,-0.013162056041908149,-0.01375418108420588,11,0
5,60,298,3,-0.0034514867289412846,-0.005451486728941286,0.3389261744966443,136,134,-0.35484672082215835,-0.39781814766988594,0.38761124785972384,520,True,-0.3548467208221583,-0.019713706712342127,-0.026416598148700614,13,0,-0.29706334439164755,-0.01980422295944317,-0.02938457832880569,11,0,-0.27727160323821676,-0.023105966936518063,-0.03086017778631199,9,0
2,10,301,0,-0.0022124092528316534,-0.004212409252831655,0.31561461794019935,170,156,-0.36527377157943497,-0.3097452498375931,0.4336763942606022,520,True,-0.36527377157943486,-0.020292987309968605,-0.024051569966525004,13,0,-0.3045085543408661,-0.020300570289391074,-0.02322014740507125,11,0,-0.21410398598176172,-0.017841998831813477,-0.021895219578309026,9,0
5,30,301,0,0.0015742782216609879,-0.00042572177833901395,0.5780730897009967,143,141,-0.40146786483811403,-0.4716359527511256,0.4154525172523404,520,True,-0.401467864838114,-0.02230377026878411,-0.017525370004556944,12,0,-0.31054119927870755,-0.020702746618580504,-0.017426722573195542,10,0,-0.3159825901390631,-0.026331882511588592,-0.015962401574987566,8,0
1,10,301,0,-0.0023323548334837174,-0.004332354833483718,0.32558139534883723,167,156,-0.4268188477377797,-0.3432861922448781,0.4883792504449884,534,True,-0.42681884773777967,-0.023712158207654425,-0.023064159558646255,15,0,-0.3249453739922573,-0.021663024932817153,-0.02001532292031026,12,0,-0.21126842054111247,-0.01760570171175937,-0.022287163020211203,10,0
2,30,301,0,0.002580954955195239,0.0005809549551952376,0.5946843853820598,149,142,-0.35427738483287635,-0.3786322270919241,0.4106389219397562,520,True,-0.3542773848328764,-0.0196820769351598,-0.017055713779282375,12,0,-0.328342192644992,-0.021889479509666132,-0.008326448652058548,10,0,-0.2587590780895756,-0.021563256507464632,-0.008163775509618547,8,0
5,5,301,0,-0.002857413158629435,-0.0048574131586294365,0.19933554817275748,169,159,-0.48004898268828244,-0.470106473271833,0.48991960027908044,534,True,-0.48004898268828233,-0.026669387927126795,-0.01967533451672694,16,0,-0.34825675422377156,-0.02321711694825144,-0.016109376305699967,13,0,-0.2878758755202085,-0.023989656293350706,-0.016621885218490555,10,0
5,20,301,0,0.0007631660767776979,-0.001236833923222303,0.4717607973421927,167,150,-0.4746645921124244,-0.5480554355834916,0.49885169302592386,520,True,-0.4746645921124243,-0.026370255117356904,-0.04485429104768539,13,0,-0.37412163293441675,-0.024941442195627783,-0.04467447553052161,11,0,-0.3744519033045618,-0.03120432527538015,-0.03333194815504658,9,0
1,30,301,0,0.0021977800856923814,0.00019778008569238021,0.5415282392026578,146,143,-0.44964862892182206,-0.46245873255696246,0.4772284701835818,520,True,-0.449648628921822,-0.024980479384545666,-0.01762457382789199,14,0,-0.3872206627495553,-0.025814710849970352,-0.01603541476635782,12,0,-0.2583929964518724,-0.0215327497043227,-0.010907960349627422,9,0
2,20,301,0,0.00046207981452925937,-0.001537920185470742,0.4850498338870432,165,151,-0.4643523394933935,-0.4476523241013021,0.5235005417446121,520,True,-0.4643523394933934,-0.02579735219407741,-0.02748579823138146,13,0,-0.42137609022961076,-0.028091739348640718,-0.019680174983057953,11,0,-0.33002277656799484,-0.027501898047332902,-0.018953782759109236,9,0
1,20,301,0,-0.0004988748213891764,-0.0024988748213891775,0.4584717607973422,160,151,-0.5245762185267605,-0.47921327720257884,0.5530863837243933,520,True,-0.5245762185267604,-0.02914312325148669,-0.023077285634429446,14,0,-0.4484614150070715,-0.0298974276671381,-0.013545808303507259,12,0,-0.3217756271718012,-0.0268146355976501,-0.012677260213261472,10,0
2,15,301,0,-0.0016614215977385242,-0.003661421597738525,0.3521594684385382,163,154,-0.5597879069676237,-0.5261889547862715,0.6457401465128642,520,True,-0.5597879069676237,-0.031099328164867983,-0.03496144939243605,14,0,-0.5300853266196317,-0.03533902177464211,-0.03231983661713122,12,0,-0.3562256740736025,-0.029685472839466875,-0.031148395055255733,10,0
1,15,301,0,-0.002231411371982798,-0.004231411371982799,0.3853820598006645,163,154,-0.5933688313101131,-0.526197872644669,0.6686118323542353,520,True,-0.5933688313101131,-0.03296493507278406,-0.02998662505795767,14,0,-0.5314582366787164,-0.03543054911191443,-0.029814731681233823,12,0,-0.32670532609635494,-0.027225443841362912,-0.027571728049513293,10,0
5,15,301,0,-0.0023621090542473916,-0.004362109054247393,0.29900332225913623,163,153,-0.682584790632585,-0.6934642444094922,0.6904950397981138,520,True,-0.6825847906325849,-0.03792137725736583,-0.03915103439618327,15,0,-0.5819191867934712,-0.03879461245289808,-0.03848378775013782,13,0,-0.4935794887694819,-0.04113162406412349,-0.03798378611346902,11,0
5,10,301,0,-0.00341362985555285,-0.0054136298555528505,0.24916943521594684,163,154,-0.6696053822776851,-0.650673263395427,0.6952885875453374,520,True,-0.669605382277685,-0.037200299015426944,-0.03745838897973845,16,0,-0.5856894969629095,-0.03904596646419397,-0.03430163003142138,14,0,-0.44358257135717505,-0.03696521427976459,-0.031237631234243543,11,0
