extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,trades,green_trades,red_trades,win_rate,positive_months,negative_months,inactive_months,worst_month,best_month
0.0,0.030904417426189768,0.006459312004483311,35,20,15,0.5714285714285714,6,1,5,-0.004303155586217133,0.01616648958737199
2.0,0.016904417426189765,0.00864792477368808,35,15,20,0.42857142857142855,5,2,5,-0.007103155586217134,0.01376648958737199
5.0,-0.004095582573810233,0.016399825708772832,35,12,23,0.34285714285714286,3,4,5,-0.011303155586217133,0.01016648958737199
10.0,-0.03909558257381024,0.0385174534502101,35,9,26,0.2571428571428571,1,6,5,-0.018303155586217132,0.00416648958737199
