session_date,long,short,confirmed
2025-05-05,0.003538092688717631,0.005204854793763536,False
2025-05-06,0.004455445544554459,0.004256015714519723,True
2025-05-08,-0.0036716616563784443,-0.005900962552446765,True
2025-05-12,-0.007648562863692421,-0.004525461004906028,False
2025-05-13,0.004727408023462054,0.007885214699546061,False
2025-05-14,0.004667194759039983,0.0048873091525971635,False
2025-05-15,0.000901248873439009,-0.0019312475859404321,True
2025-05-16,-0.003235694822888213,-0.005960679719544837,True
2025-05-19,0.00522881465796643,0.01032060182786565,False
2025-05-20,-0.0016717390372498198,-0.000738188976378007,False
2025-05-21,0.0026773183633812536,0.006057370485205826,False
2025-05-22,-0.0008280129867299646,-0.002653014695214284,True
2025-05-28,0.0028804815133274264,0.0015695707122180824,True
2025-05-29,-0.006539846196450982,-0.007169682485489881,True
2025-05-30,-0.0048612911589318575,-0.010553166978667372,True
2025-06-05,-0.0009474482061648803,-0.0020504327596064797,True
2025-07-28,0.0018464830537723298,0.0003231939163497177,True
2025-07-29,0.008667518092805304,0.005323551542513183,True
2025-08-01,-0.00354923011724817,-0.005213944897645151,True
2025-08-04,0.003176320703677016,0.0038329673716241963,False
2025-08-06,-0.0037914691943129464,-0.000192004915325672,False
2025-08-07,0.0036531239330830356,0.00030077449432286407,True
2025-08-08,0.0005824111822945177,0.0005677517032551815,True
2025-08-11,0.002257949510211743,0.000225831341626348,True
2025-08-12,-0.000457131247460385,0.0014502034051528945,False
2025-08-13,0.001872038699844314,-0.00012981714328108573,True
2025-10-01,0.0036727344042504217,0.00409956076134721,False
2025-10-02,-0.0037929534580253277,-0.004225372848666864,True
2025-10-03,0.004556246072201731,0.003684815611826764,True
2025-10-06,0.0005196514870695612,0.005748291439823916,False
2025-10-07,0.000345942954006917,-0.0011837736393820464,True
2025-10-08,0.006027885522591481,0.01044188637207566,False
2025-10-09,-0.0013595842081711718,-0.0006791122413593031,False
2025-10-10,0.0010832000825296006,-0.0014303257964312088,True
2025-10-14,-0.0069644316526311645,-0.00450234121743287,False
2025-10-16,-0.001239590062328766,-0.003985156735059281,True
2025-10-20,0.0032448840738994456,0.008593874332672558,False
2025-10-21,0.00019095896118326294,-0.0022045791847379315,True
2026-01-07,-0.0006485084306098177,0.0007014626795875945,False
2026-01-12,0.008787043418332141,0.012108954662725546,False
2026-01-13,0.0026556807735520493,0.0001273641979240292,True
2026-01-14,-0.0032303515584728437,-0.005759020966435768,True
2026-01-15,0.0003401939105289742,0.0007974978504940999,False
2026-01-16,-0.00023841961852877347,0.003810114799875919,False
2026-01-20,0.00342681306385062,0.002773219351473788,True
2026-01-21,-0.002032021861752442,-0.0006708775838280001,False
2026-01-22,-0.0025403364229317216,-0.005451093281068187,True
2026-01-23,-0.004291399896175663,-0.006367915693790693,True
2026-01-26,0.0034093257111371678,-0.0006399478003363823,True
2026-01-27,-0.0017983170466885356,-0.003022046073817064,True
2026-01-28,0.00288580920103354,0.0036339133155247616,False
2026-01-29,-0.0059509721048182085,0.001305889682273298,False
2026-01-30,0.0037677684535022404,0.009168184578020488,False
2026-02-02,0.007697398209745243,0.016336962377378805,False
2026-03-09,0.0005984838409360815,-0.0006618863761721494,True
2026-03-10,0.008128225612153095,0.0006080114449211749,True
2026-03-11,0.0032874589067637405,0.0035563142359258393,False
2026-03-13,0.0029557152321255664,0.003249918752031178,False
2026-03-16,0.004011236523763895,0.003424904463191325,True
2026-03-17,-0.0021769495023217234,0.0028311353211010193,False
2026-03-18,0.0009320720970360519,0.0011485589174831112,False
2026-03-19,0.0006244796003331832,0.002131490941163383,False
2026-03-20,-0.0034104595879557165,-0.005402073816257014,True
2026-03-23,0.0031511670753865406,0.0028341993386868936,True
2026-03-24,0.005350627248230433,-0.002976627958253708,True
2026-03-25,0.00045185826712335064,0.000582602046389491,False
