variant,green_bp,rvol,target_bp,hold,cost_bp,trades,trades_per_session,net_return,mean_trade_bp,target_fill_proxy_rate,forced_exit_rate,green_trade_fraction,positive_months,max_drawdown
g0_rv0_t15_h3_c0,0,0.0,15,3,0,5658,89.80952380952381,0.14095125478706538,0.24911851323270656,0.5431247790738777,0.4568752209261223,0.6327324142806645,3,0.047742660003243426
g20_rv0_t5_h10_c0,20,0.0,5,10,0,1870,29.682539682539684,0.11966340478324156,0.6399112555253559,0.9320855614973262,0.0679144385026738,0.9331550802139037,3,0.046865979745921084
g20_rv0_t15_h5_c0,20,0.0,15,5,0,1743,27.666666666666668,0.11167824773409496,0.6407243128748994,0.7091222030981067,0.2908777969018933,0.7332185886402753,2,0.12650391194107685
g20_rv0_t5_h3_c0,20,0.0,5,3,0,2004,31.80952380952381,0.05720521429916681,0.28545516117348707,0.8782435129740519,0.1217564870259481,0.8817365269461078,2,0.05253603651272576
g20_rv0_t5_h5_c0,20,0.0,5,5,0,1943,30.841269841269842,0.05270953439588211,0.2712791271018122,0.9006690684508492,0.09933093154915079,0.9027277406073083,2,0.06415522820176874
g20_rv2_t15_h5_c0,20,2.0,15,5,0,299,4.746031746031746,0.046028644525863416,1.5394195493599805,0.7357859531772575,0.26421404682274247,0.7491638795986622,2,0.04973154702211713
g20_rv0_t10_h5_c0,20,0.0,10,5,0,1823,28.936507936507937,0.04579313533739948,0.25119657343609153,0.7975863960504662,0.20241360394953373,0.8091058694459682,2,0.12932516432471453
g0_rv0_t15_h1_c0,0,0.0,15,1,0,8085,128.33333333333334,0.04567224828786354,0.05649010301529194,0.2925170068027211,0.7074829931972789,0.5293753865182437,2,0.12028912853609534
g20_rv0_t5_h1_c0,20,0.0,5,1,0,2077,32.96825396825397,0.04551767432175724,0.21915105595453654,0.7881559942224362,0.2118440057775638,0.804525758305248,2,0.046771793308312035
g20_rv1_t5_h10_c0,20,1.0,5,10,0,964,15.301587301587302,0.03369249592047974,0.34950721909211346,0.9294605809128631,0.07053941908713693,0.9315352697095436,2,0.0676057344914868
g20_rv0_t15_h10_c0,20,0.0,15,10,0,1564,24.825396825396826,0.028934210627338253,0.1850013467221116,0.7858056265984654,0.21419437340153452,0.7992327365728901,2,0.1191086639828382
g10_rv0_t10_h1_c0,10,0.0,10,1,0,4489,71.25396825396825,0.027306695039785,0.06083024067673202,0.5116952550679439,0.4883047449320561,0.6121630652706617,2,0.06706027901676263
g0_rv0_t15_h5_c0,0,0.0,15,5,0,4730,75.07936507936508,0.026765301911224504,0.056586261968762167,0.6405919661733616,0.3594080338266385,0.6892177589852009,2,0.09547545987069081
g20_rv0_t10_h3_c0,20,0.0,10,3,0,1921,30.49206349206349,0.02452952762090721,0.12769145039514426,0.7449245184799583,0.25507548152004167,0.7683498178032275,2,0.10624306457269388
g20_rv1.5_t5_h10_c0,20,1.5,5,10,0,525,8.333333333333334,0.02320848636139805,0.4420664068837724,0.939047619047619,0.06095238095238095,0.9428571428571428,2,0.059265845718424845
g10_rv0_t5_h1_c0,10,0.0,5,1,0,4489,71.25396825396825,0.019742725434676256,0.04398023041808032,0.7391401202940521,0.2608598797059479,0.7603029627979505,1,0.08102787846682728
g20_rv1_t5_h5_c0,20,1.0,5,5,0,993,15.761904761904763,0.017055277462798557,0.17175506004832383,0.8972809667673716,0.1027190332326284,0.9003021148036254,2,0.055809090347796596
g20_rv0_t10_h1_c0,20,0.0,10,1,0,2077,32.96825396825397,0.0143479100207754,0.06907997121220703,0.5830524795377949,0.4169475204622051,0.6552720269619644,1,0.06722389243040315
g20_rv0_t15_h3_c0,20,0.0,15,3,0,1860,29.523809523809526,0.010499304482976313,0.056447873564388774,0.6301075268817204,0.36989247311827955,0.6833333333333333,2,0.11834341498717492
g20_rv2_t5_h5_c0,20,2.0,5,5,0,313,4.968253968253968,0.010026923349919947,0.3203489888153338,0.9073482428115016,0.0926517571884984,0.9073482428115016,2,0.026356940383769477
g20_rv1.5_t15_h5_c0,20,1.5,15,5,0,511,8.11111111111111,0.00995423507051485,0.19479912075371525,0.7123287671232876,0.2876712328767123,0.7338551859099804,2,0.08320341639828704
g20_rv1_t5_h3_c0,20,1.0,5,3,0,1020,16.19047619047619,0.008386822568485552,0.08222375067142698,0.8735294117647059,0.1264705882352941,0.8774509803921569,2,0.03503971076671845
g20_rv2_t15_h3_c0,20,2.0,15,3,0,309,4.904761904761905,0.005691626217818935,0.18419502323038625,0.656957928802589,0.343042071197411,0.7022653721682848,2,0.05359933586082052
g20_rv2_t5_h3_c0,20,2.0,5,3,0,317,5.031746031746032,0.005199839728385225,0.16403279900268847,0.8990536277602523,0.10094637223974763,0.9022082018927445,2,0.02429154691568684
g20_rv1.5_t5_h5_c0,20,1.5,5,5,0,539,8.555555555555555,0.0026649761297744545,0.04944297086780064,0.8961038961038961,0.1038961038961039,0.8998144712430427,2,0.051677151034743934
g5_rv0_t10_h1_c0,5,0.0,10,1,0,6280,99.68253968253968,0.001049851123576917,0.001671737457925027,0.4845541401273885,0.5154458598726115,0.5980891719745223,2,0.07707630020325199
g20_rv2_t5_h10_c0,20,2.0,5,10,0,309,4.904761904761905,0.000600706574325871,0.01944034221119324,0.948220064724919,0.05177993527508091,0.9514563106796117,1,0.04990827607005323
g10_rv2_t10_h5_c0,10,2.0,10,5,0,476,7.555555555555555,0.0003725005621789679,0.007825642062583358,0.7815126050420168,0.2184873949579832,0.7878151260504201,2,0.04527307924234121
g20_rv2_t2_h3_c0,20,2.0,2,3,0,321,5.095238095238095,0.00013109065386507357,0.004083820992681419,0.956386292834891,0.04361370716510903,0.9595015576323987,1,0.019113672823339735
g0_rv1.5_t15_h1_c0,0,1.5,15,1,0,1503,23.857142857142858,-0.00027588541188861004,-0.001835564949358683,0.36194278110445777,0.6380572188955422,0.5475715236194278,1,0.046213276806034966
g20_rv2_t2_h1_c0,20,2.0,2,1,0,324,5.142857142857143,-0.0002921634184166466,-0.009017389457303907,0.9290123456790124,0.07098765432098765,0.9290123456790124,2,0.01841709010751056
g10_rv2_t5_h5_c0,10,2.0,5,5,0,495,7.857142857142857,-0.0009032685193663959,-0.018247848876088806,0.8909090909090909,0.10909090909090909,0.8909090909090909,1,0.030582980464715376
g20_rv2_t2_h10_c0,20,2.0,2,10,0,316,5.015873015873016,-0.001475381220916061,-0.04668927914291333,0.9746835443037974,0.02531645569620253,0.9746835443037974,2,0.02572573325439661
g20_rv2_t15_h10_c0,20,2.0,15,10,0,286,4.5396825396825395,-0.0019010560218170047,-0.06647049027332184,0.8181818181818182,0.18181818181818182,0.8356643356643356,1,0.08403538563557895
g20_rv2_t10_h5_c0,20,2.0,10,5,0,302,4.7936507936507935,-0.0020739441440177364,-0.06867364715290518,0.804635761589404,0.19536423841059603,0.8079470198675497,1,0.03806974147343756
g10_rv2_t15_h5_c0,10,2.0,15,5,0,465,7.380952380952381,-0.0022358080094565524,-0.048081892676484994,0.6903225806451613,0.3096774193548387,0.7118279569892473,2,0.05645034704696943
g20_rv2_t2_h5_c0,20,2.0,2,5,0,320,5.079365079365079,-0.0036789386093726284,-0.11496683154289464,0.95625,0.04375,0.95625,1,0.024082574188932063
g20_rv1.5_t2_h10_c0,20,1.5,2,10,0,545,8.65079365079365,-0.004358699215019968,-0.07997613238568747,0.9779816513761468,0.022018348623853212,0.9779816513761468,2,0.06251903086085674
g10_rv0_t15_h1_c0,10,0.0,15,1,0,4489,71.25396825396825,-0.006805852199406437,-0.015161176652720956,0.3415014479839608,0.6584985520160392,0.5439964357317888,2,0.10092825077087776
g20_rv0_t15_h1_c0,20,0.0,15,1,0,2077,32.96825396825397,-0.007336280874029377,-0.03532152563326614,0.41405873856523834,0.5859412614347617,0.5739046701974001,1,0.08155470178862095
g5_rv1_t5_h10_c0,5,1.0,5,10,0,2134,33.87301587301587,-0.007392460650485599,-0.034641333882313025,0.9119025304592315,0.08809746954076851,0.9137769447047798,2,0.09203767676571212
g20_rv1.5_t15_h1_c0,20,1.5,15,1,0,565,8.968253968253968,-0.007622860357881289,-0.1349178824403768,0.45663716814159294,0.5433628318584071,0.5769911504424778,2,0.07432080469621068
g0_rv0_t10_h1_c0,0,0.0,10,1,0,8085,128.33333333333334,-0.00845727367989546,-0.010460449820526236,0.4592455163883735,0.5407544836116265,0.5840445269016697,2,0.11952951500706684
g20_rv2_t5_h1_c0,20,2.0,5,1,0,324,5.142857142857143,-0.008939987575052322,-0.2759255424398865,0.808641975308642,0.19135802469135801,0.8179012345679012,1,0.029264123267720314
g0_rv1_t15_h3_c0,0,1.0,15,3,0,2515,39.92063492063492,-0.011060714470989774,-0.04397898398007862,0.5666003976143141,0.43339960238568587,0.6540755467196819,2,0.09290518510000337
g10_rv0_t15_h10_c0,10,0.0,15,10,0,2710,43.01587301587302,-0.013160426914370249,-0.04856246093863561,0.7538745387453875,0.24612546125461254,0.7708487084870849,2,0.10054271717887915
g5_rv1.5_t15_h1_c0,5,1.5,15,1,0,1238,19.650793650793652,-0.013289452751863884,-0.10734614500697806,0.3780290791599354,0.6219709208400647,0.537156704361874,2,0.06330718819557858
g10_rv1.5_t15_h1_c0,10,1.5,15,1,0,981,15.571428571428571,-0.014694585275746519,-0.14979189883533658,0.4026503567787971,0.5973496432212029,0.5484199796126402,2,0.06915434348893196
g10_rv1_t15_h1_c0,10,1.0,15,1,0,1949,30.936507936507937,-0.014943609324164386,-0.07667321356677469,0.3719856336582863,0.6280143663417137,0.5525910723447922,2,0.07901367901623685
g20_rv2_t15_h1_c0,20,2.0,15,1,0,324,5.142857142857143,-0.01502239888471002,-0.4636542865651241,0.4567901234567901,0.5432098765432098,0.5802469135802469,2,0.053470733191118884
g10_rv2_t5_h3_c0,10,2.0,5,3,0,503,7.984126984126984,-0.015630557656175825,-0.3107466730850065,0.8687872763419483,0.1312127236580517,0.8727634194831014,1,0.03541705730137898
g20_rv1.5_t15_h3_c0,20,1.5,15,3,0,530,8.412698412698413,-0.017484150383402675,-0.3298896298755222,0.6490566037735849,0.35094339622641507,0.6886792452830188,2,0.08406165064665477
g20_rv1.5_t2_h5_c0,20,1.5,2,5,0,556,8.825396825396826,-0.017769384053934578,-0.31959323838011827,0.9586330935251799,0.04136690647482014,0.9586330935251799,2,0.04813128175905364
g20_rv1.5_t5_h3_c0,20,1.5,5,3,0,552,8.761904761904763,-0.017784981850870518,-0.3221917001969297,0.875,0.125,0.8786231884057971,1,0.04709638596129047
g20_rv1.5_t2_h3_c0,20,1.5,2,3,0,562,8.920634920634921,-0.01788494639031568,-0.3182374802547274,0.9483985765124555,0.051601423487544484,0.9501779359430605,1,0.03633670531489958
g20_rv0_t10_h10_c0,20,0.0,10,10,0,1681,26.682539682539684,-0.0179263955357426,-0.10664125839228197,0.8524687685901249,0.14753123140987506,0.8560380725758477,1,0.11646680281176686
g10_rv0_t5_h3_c0,10,0.0,5,3,0,4137,65.66666666666667,-0.01869618241916382,-0.04519260918337882,0.851341551849166,0.14865844815083393,0.8569011360889534,1,0.11516480800526048
g0_rv1_t15_h10_c0,0,1.0,15,10,0,1924,30.53968253968254,-0.018756608776619443,-0.09748757160405115,0.7567567567567568,0.24324324324324326,0.7744282744282744,1,0.10289145725516176
g10_rv2_t2_h1_c0,10,2.0,2,1,0,522,8.285714285714286,-0.019316888676864208,-0.3700553386372454,0.8946360153256705,0.1053639846743295,0.8946360153256705,1,0.025297436214450214
g10_rv2_t15_h1_c0,10,2.0,15,1,0,522,8.285714285714286,-0.01983000129678225,-0.3798850823138362,0.4157088122605364,0.5842911877394636,0.5517241379310345,2,0.05836876976819222
g10_rv2_t5_h1_c0,10,2.0,5,1,0,522,8.285714285714286,-0.02029354690004448,-0.388765266284377,0.7624521072796935,0.23754789272030652,0.7720306513409961,1,0.03649103446581969
