participation_of_single_displayed_size,scope,roles,minimum_capital_dollars,p01_capital_dollars,p05_capital_dollars,p10_capital_dollars,median_capital_dollars
0.01,all,1282,928.32,2189.818107259606,4346.550000000001,8389.74114396684,49999.5
0.01,CAM-0600,45,1106.5274418971487,1284.1668544236625,1732.5563947736848,2437.575310015479,19480.430804373926
0.01,CAM-0621,988,928.32,2760.3204000000005,5939.064000000001,8924.991,45665.759999999995
0.01,CAM-0624,74,2350.3984436106225,2771.2418698378133,4431.881325815258,8243.109429211465,48809.60231357653
0.01,CAM-0618,175,1696.1792202856827,2910.206358714719,3723.315530537749,6919.960194434036,269368.81533463515
0.05,all,1282,4641.6,10949.09053629803,21732.750000000004,41948.70571983419,249997.5
0.05,CAM-0600,45,5532.637209485743,6420.834272118313,8662.781973868423,12187.876550077395,97402.15402186962
0.05,CAM-0621,988,4641.6,13801.602,29695.320000000007,44624.955,228328.8
0.05,CAM-0624,74,11751.992218053114,13856.209349189065,22159.40662907629,41215.54714605733,244048.01156788264
0.05,CAM-0618,175,8480.896101428414,14551.031793573595,18616.577652688746,34599.80097217018,1346844.076673176
0.1,all,1282,9283.2,21898.18107259606,43465.50000000001,83897.41143966839,499995.0
0.1,CAM-0600,45,11065.274418971487,12841.668544236625,17325.563947736846,24375.75310015479,194804.30804373923
0.1,CAM-0621,988,9283.2,27603.204,59390.640000000014,89249.91,456657.6
0.1,CAM-0624,74,23503.984436106228,27712.41869837813,44318.81325815258,82431.09429211466,488096.0231357653
0.1,CAM-0618,175,16961.79220285683,29102.06358714719,37233.15530537749,69199.60194434036,2693688.153346352
