formation,residual_absolute,stock_surprise,volume_threshold,confirmation,hold,threshold_parent_events,volume_parent_events,confirmed_events,confirmation_attrition,portfolio_events,portfolio_clusters,net,net_ex_20250407,max_drawdown,recovery_days,unresolved,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months
15,0.06,10.0,0.0,reclaim2,60,27,27,13,14,13,13,0.20197423706101925,0.20197423706101925,0.023301205218495435,91,False,0.20197423706101925,0.011220790947834403,0.0,1,10,0.22527544227951468,0.015018362818634312,0.0,0,8,0.16986842777766853,0.01415570231480571,0.0,0,7
15,0.06,10.0,2.0,reclaim2,60,27,26,12,14,12,12,0.18513702775869356,0.18513702775869356,0.023301205218495435,91,False,0.18513702775869356,0.010285390431038531,0.0,1,10,0.208438232977189,0.013895882198479266,0.0,0,8,0.15303121847534285,0.012752601539611904,0.0,0,7
15,0.06,10.0,5.0,reclaim2,60,27,24,11,13,11,11,0.1754032103783817,0.1754032103783817,0.023301205218495435,91,False,0.1754032103783817,0.009744622798798983,0.0,1,11,0.19870441559687713,0.013246961039791809,0.0,0,9,0.15303121847534285,0.012752601539611904,0.0,0,7
15,0.06,8.0,2.0,reclaim2,60,34,34,15,19,14,14,0.17885934680653082,0.17885934680653082,0.04891380784519771,249,False,0.17885934680653082,0.0099366303781406,0.0,2,9,0.19568600894641397,0.013045733929760932,0.0,0,8,0.1713304877016506,0.014277540641804217,0.0,0,7
15,0.06,8.0,0.0,reclaim2,60,34,34,15,19,14,14,0.17885934680653082,0.17885934680653082,0.04891380784519771,249,False,0.17885934680653082,0.0099366303781406,0.0,2,9,0.19568600894641397,0.013045733929760932,0.0,0,8,0.1713304877016506,0.014277540641804217,0.0,0,7
15,0.06,6.0,0.0,reclaim2,60,44,44,22,22,18,18,0.23152210462261136,0.23152210462261136,0.04506835385760094,320,False,0.23152210462261136,0.01286233914570063,0.0,4,6,0.1866705651608025,0.0124447043440535,0.0,2,6,0.14928523979575636,0.012440436649646364,0.0,1,6
15,0.06,8.0,5.0,reclaim2,60,34,30,14,16,13,13,0.16912552942621895,0.16912552942621895,0.04891380784519771,249,False,0.16912552942621895,0.009395862745901052,0.0,2,10,0.1859521915661021,0.012396812771073473,0.0,0,9,0.1713304877016506,0.014277540641804217,0.0,0,7
15,0.06,6.0,5.0,reclaim2,60,44,32,16,16,14,14,0.14753303859563183,0.14753303859563183,0.04832297720118107,320,False,0.14753303859563183,0.008196279921979546,0.0,4,9,0.17718312251044632,0.011812208167363088,0.0,1,9,0.13727655672773886,0.011439713060644905,0.0,1,7
15,0.06,6.0,2.0,reclaim2,60,44,43,21,22,17,17,0.21951342155459386,0.21951342155459386,0.04506835385760094,320,False,0.21951342155459386,0.012195190086366325,0.0,4,7,0.174661882092785,0.011644125472852334,0.0,2,7,0.13727655672773886,0.011439713060644905,0.0,1,7
30,0.02,8.0,0.0,no_new_low5,60,453,453,99,354,67,65,0.09237047587684967,0.04544651271974599,0.05461729024088646,152,True,0.09237047587684974,0.00513169310426943,-0.00014903963044010562,9,1,0.1342926889685812,0.008952845931238747,0.00458213098985861,6,1,0.07817690295497554,0.006514741912914628,0.002291065494929305,5,1
