family,beta,discovery_return,discovery_max_drawdown,discovery_recent12_return,discovery_positive_months,discovery_negative_months,discovery_worst_month,discovery_worst_year,ending_cash_discovery,ending_gross_discovery,observed_return,observed_max_drawdown,observed_monthly,ending_equity,ending_cash,ending_gross,minimum_cash,maximum_rebalance_target_gross,quote_role_coverage
equity_linked,0.0,3.531002590264176,0.18410628780519034,0.35572590489433464,47,26,-0.0667787881368005,-0.053408915283449154,3.489715999836913,1.0412865904272626,0.10921082007099159,0.10403828264973836,"{'2026-05': 0.09325827323997116, '2026-06': 0.04856498051867031, '2026-07': -0.07462113182339036, '2026-08': 0.045626058042288475}",5.0258370988907135,3.8589805119808136,1.1668565869099001,0.0,0.999997360155295,1.0
equity_linked,0.1,4.133211161762483,0.20400815291148477,0.4410694524722716,47,26,-0.07390700576089271,-0.06233386514234096,3.667575441888646,1.4656357198738368,0.13602903052643223,0.13161985439425639,"{'2026-05': 0.1175009832069367, '2026-06': 0.061263718239855436, '2026-07': -0.09447329218576284, '2026-08': 0.05783257013313725}",5.831476899584494,4.129246968556268,1.7022299310282256,0.0,1.5186055896330592,1.0
equity_linked,0.25,5.2482018044043475,0.23563295958307628,0.595949347074523,47,26,-0.08528329074848784,-0.07739449353510774,3.8652422916778604,2.382959512726487,0.1819103780572875,0.17865090318624144,"{'2026-05': 0.1602347961137529, '2026-06': 0.0830927391642804, '2026-07': -0.12847666992848494, '2026-08': 0.07918027360270563}",7.384814556821769,4.476684801750266,2.908129755071503,0.0,2.7615813080009266,1.0
equity_linked,0.4,6.658948526084396,0.2690981737777517,0.7863258683763457,47,26,-0.09741265022716594,-0.09447988486531755,3.905994739796393,3.7529537862880034,0.2332129204561295,0.2306021982252472,"{'2026-05': 0.2100927656884215, '2026-06': 0.10753197248530277, '2026-07': -0.16631154675510373, '2026-08': 0.10372109402790408}",9.445114279475707,4.6561179615421295,4.788996317933578,0.0,4.848290612976056,1.0
equity_linked,0.5,7.784409723147336,0.29225334630701605,0.9346578696371748,46,27,-0.10587439103916962,-0.10698084235527738,3.7931266670828396,4.991283056064496,0.26950938348817477,0.26686237999753604,"{'2026-05': 0.24687418801799876, '2026-06': 0.12481089274461454, '2026-07': -0.19292039890818413, '2026-08': 0.12154678980625144}",11.151890571940303,4.607997892680141,6.543892679260162,0.0,6.919998665751562,1.0
equity_linked,0.6,9.068623481149494,0.315958798028279,1.1012238407100146,46,27,-0.1146043153932289,-0.1203566482581927,3.523486100425912,6.545137380723581,0.3067883690592865,0.3037077059838198,"{'2026-05': 0.2861500505598895, '2026-06': 0.1425525157866634, '2026-07': -0.22015272820062348, '2026-08': 0.14032302412090059}",13.157560057603384,4.3597279346353845,8.797832122967998,0.0,9.725067631444219,1.0
equity_linked,0.75,11.301015040261468,0.35462483827779434,1.3871393743426803,46,27,-0.12813865603273855,-0.1419944640927231,2.7302054270523346,9.570809613209134,0.3633134877151192,0.3589603008481387,"{'2026-05': 0.3491454186372518, '2026-06': 0.1694719622514531, '2026-07': -0.2614057709782841, '2026-08': 0.1698798055009867}",16.770139716975,3.4668918095873296,13.303247907387668,0.0,15.738541159641365,1.0
equity_linked,0.9,13.888712642431244,0.3969667762390876,1.7185390171232795,46,27,-0.14209977790195094,-0.1653743286833509,1.3350115312071855,13.553701111224058,0.418911006847275,0.4130411297430929,"{'2026-05': 0.41624115068814405, '2026-06': 0.19607697702598648, '2026-07': -0.30234209964187697, '2026-08': 0.2006496566323015}",21.12575824613187,1.7352641641087905,19.39049408202308,0.0,24.595436925481472,1.0
equity_linked,1.0,15.788063143867156,0.4251091530649861,1.9657552385762882,45,28,-0.15158844438561503,-0.18183181585064145,0.0,16.788063143867156,0.4546476845422842,0.44799285880989936,"{'2026-05': 0.4628719446807057, '2026-06': 0.2133324792329545, '2026-07': -0.32913706458976333, '2026-08': 0.2216249321250341}",24.42071718017602,1.7208456881689926e-15,24.42071718017602,0.0,32.481968503367284,1.0
high_water_escrow,0.25,4.264137587704349,0.22652188538277596,0.6066673091122665,45,28,-0.07609702012969677,-0.09299021584875433,3.134739279188915,2.1293983085154347,0.183739568426597,0.15929394765830474,"{'2026-05': 0.16766425150384667, '2026-06': 0.08000239213509142, '2026-07': -0.11185817155870403, '2026-08': 0.056893285443776254}",6.231367956207373,4.382386549897626,1.8489814063097472,0.0,2.4593280926171355,1.0
high_water_escrow,0.5,6.4177978401444,0.2820337437464787,0.9181200950405448,45,28,-0.09695090682600427,-0.117863232064638,3.123659213723853,4.294138626420547,0.26540606960497604,0.24267492677491975,"{'2026-05': 0.24909957433476482, '2026-06': 0.11895137369344777, '2026-07': -0.1726133192552095, '2026-08': 0.09424132873050839}",9.386526410021405,4.930451680819008,4.456074729202397,0.0,5.927019994322702,1.0
high_water_escrow,0.75,9.94666916623665,0.346029417672452,1.3578277377148722,45,28,-0.12196054768246045,-0.1473570373571581,2.4018077165130944,8.544861449723555,0.3581554801407776,0.34067696026824634,"{'2026-05': 0.3484655088708062, '2026-06': 0.16425475236768783, '2026-07': -0.24606212613990086, '2026-08': 0.1474296498054981}",14.867278717412383,4.337735746386016,10.529542971026366,0.0,14.005333283879654,1.0
