date,net_pnl
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.0
2021-12,0.0
2022-01,0.0
2022-02,0.0
2022-03,0.07865721635527086
2022-04,-0.02006767680039496
2022-05,0.047422672085633825
2022-06,-0.021739044068179728
2022-07,0.025330244905477195
2022-08,0.0032081742156161988
2022-09,-0.005129586382868007
2022-10,0.10003296293078127
2022-11,0.023915191217010363
2022-12,-0.056615287573503294
2023-01,-0.015026839954257888
2023-02,-0.030313165899886307
2023-03,0.0045190239463184165
2023-04,0.01808717642307775
2023-05,-0.048102352422266625
2023-06,0.07838690795719241
2023-07,0.0019803207781245087
2023-08,-0.014006315338081023
2023-09,-0.05565158385407973
2023-10,-0.009093810445854972
2023-11,0.09394430924042567
2023-12,0.011774210657323477
2024-01,0.06098838971528275
2024-02,0.014880721192871206
2024-03,0.019424772567834425
2024-04,-0.027861119314165947
2024-05,0.008440393437765257
2024-06,-0.000339381381439274
2024-07,0.005452975943417255
2024-08,0.030279505439944936
2024-09,0.027358078151591025
2024-10,-0.01577465816480335
2024-11,0.04443948811190011
2024-12,-0.054447340563403314
2025-01,0.043617659335445494
2025-02,-0.0023846652708608765
2025-03,-0.09774723110473314
2025-04,0.009841098703273553
2025-05,0.04132516995965823
2025-06,0.027554336252183394
2025-07,-0.03599363381091654
2025-08,0.01883725146221284
2025-09,0.12504907666640883
2025-10,0.031753057052461404
2025-11,-0.05842943511518466
2025-12,0.06521821539981837
2026-01,0.030881820412553884
2026-02,-0.006286370652372033
2026-03,-0.004790205957478883
2026-04,0.060464665889622494
