variant,top_day,bottom_day,top_5_day_profit_share
continuation_all_product_long_only_combined_available_c10,0.15469456771327983,-0.14381235035624035,
continuation_all_product_long_only_combined_available_c2,0.15629456771327982,-0.14221235035624036,
continuation_all_product_long_only_combined_available_c5,0.15569456771327983,-0.14281235035624035,
continuation_all_product_long_only_qqq_c10,0.11438555382180038,-0.1314842425883782,
continuation_all_product_long_only_qqq_c2,0.11598555382180038,-0.12988424258837822,
continuation_all_product_long_only_qqq_c5,0.11538555382180038,-0.1304842425883782,
continuation_all_product_long_only_smh_c10,0.19500358160475928,-0.1627987058393332,
continuation_all_product_long_only_smh_c2,0.19660358160475927,-0.1611987058393332,
continuation_all_product_long_only_smh_c5,0.19600358160475928,-0.1617987058393332,
continuation_all_underlying_signed_diagnostic_combined_available_c0,0.04905429792710736,-0.05420879552602553,
continuation_all_underlying_signed_diagnostic_qqq_c0,0.03910060296499829,-0.04306494383960746,
continuation_all_underlying_signed_diagnostic_smh_c0,0.05975277412286384,-0.0733366453930524,
continuation_q50_product_long_only_combined_available_c10,0.13802109292960807,-0.14381235035624035,
continuation_q50_product_long_only_combined_available_c2,0.13962109292960806,-0.14221235035624036,
continuation_q50_product_long_only_combined_available_c5,0.13902109292960807,-0.14281235035624035,
continuation_q50_product_long_only_qqq_c10,0.10370281187630503,-0.1314842425883782,
continuation_q50_product_long_only_qqq_c2,0.10530281187630504,-0.12988424258837822,
continuation_q50_product_long_only_qqq_c5,0.10470281187630504,-0.1304842425883782,
continuation_q50_product_long_only_smh_c10,0.1723393739829111,-0.1561404581241025,
continuation_q50_product_long_only_smh_c2,0.1739393739829111,-0.1545404581241025,
continuation_q50_product_long_only_smh_c5,0.1733393739829111,-0.1551404581241025,
continuation_q50_underlying_signed_diagnostic_combined_available_c0,0.04775456810060008,-0.04862793605158616,
continuation_q50_underlying_signed_diagnostic_qqq_c0,0.03575636207833632,-0.04306494383960746,
continuation_q50_underlying_signed_diagnostic_smh_c0,0.05975277412286384,-0.054190928263564864,
