variant,mapping,threshold,expression,portfolio,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,top_5_day_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
reversal_q50_product_long_only_smh_c2,reversal,q50,product_long_only,smh,2,0.8102535690800173,0.6354202444484622,40.0,False,187,187,0.8122656933210057,0.045014087171112084,6,0,0.0868039485687882,3,0,0.07072244422105291,2,0
reversal_q50_product_long_only_smh_c5,reversal,q50,product_long_only,smh,5,0.6980535690800171,0.6574257193629736,40.0,False,187,187,0.9385256462738629,0.038780753837778736,6,0,0.0802839485687882,3,0,0.06447244422105287,2,0
reversal_all_product_long_only_smh_c2,reversal,all,product_long_only,smh,2,1.0917799044511454,0.3157588007587566,56.0,False,365,365,0.6914499286196905,0.06065443913617477,7,0,0.07628973956429806,6,0,0.05617773035118135,5,0
reversal_q50_product_long_only_smh_c10,reversal,q50,product_long_only,smh,10,0.511053569080017,0.6941603156884283,236.0,False,187,187,1.272158568865812,0.028391864948889838,6,0,0.06941728190212153,3,0,0.0540557775543862,2,0
reversal_all_product_long_only_smh_c5,reversal,all,product_long_only,smh,5,0.8727799044511454,0.3378395103472988,58.0,False,365,365,0.8615128890645143,0.04848777246950806,8,0,0.06400973956429803,7,0,0.04387773035118132,6,0
reversal_q50_product_long_only_combined_available_c2,reversal,q50,product_long_only,combined_available,2,0.4633465385666081,0.4226303019677083,30.0,False,231,231,1.2325569288774911,0.025741474364811584,9,0,0.0516447359381328,6,0,0.039555773067680954,5,0
reversal_q67_product_long_only_smh_c2,reversal,q67,product_long_only,smh,2,0.45666044237663295,0.3455573745961943,31.0,False,125,125,1.4150821034567493,0.02537002457647963,6,0,0.04405795790460472,4,0,0.023513124659111383,3,0
reversal_q50_product_long_only_combined_available_c5,reversal,q50,product_long_only,combined_available,5,0.3247465385666082,0.4521687212566401,37.0,False,231,231,1.7493673345656071,0.01804147436481157,10,0,0.04376473593813278,7,0,0.03185577306768094,6,0
reversal_all_product_long_only_smh_c10,reversal,all,product_long_only,smh,10,0.5077799044511451,0.37513428965689666,66.0,False,365,365,1.470934809459399,0.028209994691730293,11,0,0.04354307289763135,8,0,0.02337773035118131,7,0
reversal_all_product_long_only_combined_available_c2,reversal,all,product_long_only,combined_available,2,0.5004065347676732,0.2929424170679153,58.0,False,366,366,1.2190775969512444,0.02780036304264854,11,0,0.04217039543862687,8,0,0.025083533669324126,7,0
reversal_q67_product_long_only_smh_c5,reversal,q67,product_long_only,smh,5,0.3816604423766331,0.3599063642231339,32.0,False,125,125,1.6852991506232025,0.02120335790981295,6,0,0.0397379579046047,4,0,0.019563124659111374,3,0
reversal_q67_product_long_only_combined_available_c2,reversal,q67,product_long_only,combined_available,2,0.28484145717057413,0.34880846107952274,30.0,False,152,152,1.9759887319055536,0.015824525398365236,8,0,0.03422523730494095,5,0,0.02025299262039876,4,0
reversal_q80_product_long_only_smh_c2,reversal,q80,product_long_only,smh,2,0.2627121756070011,0.2852612750086648,32.0,False,81,81,2.3571555192263256,0.014595120867055623,10,0,0.03391941301141923,7,0,0.009029229655612977,6,0
reversal_q67_product_long_only_smh_c10,reversal,q67,product_long_only,smh,10,0.256660442376633,0.38389561318978577,33.0,False,125,125,2.4866006364443165,0.014258913465368499,8,0,0.032537957904604696,5,0,0.012979791325778034,4,0
reversal_q80_product_long_only_smh_c5,reversal,q80,product_long_only,smh,5,0.21411217560700113,0.29665255775579014,33.0,False,81,81,2.8781803414632523,0.011895120867055619,10,0,0.031159413011419224,7,0,0.006629229655612967,6,0
reversal_q50_product_long_only_combined_available_c10,reversal,q50,product_long_only,combined_available,10,0.09374653856660797,0.5014779615282722,309.0,False,231,231,6.006632300152447,0.0052081410314782205,10,0,0.03063140260479943,7,0,0.01902243973434759,6,0
reversal_q80_product_long_only_combined_available_c2,reversal,q80,product_long_only,combined_available,2,0.23257993343941655,0.257622324173111,29.0,False,102,102,2.2970035759236507,0.012921107413300915,10,0,0.02995078138036224,7,0,0.013630383884047142,6,0
reversal_all_product_long_only_combined_available_c5,reversal,all,product_long_only,combined_available,5,0.2808065347676731,0.3207168227622654,115.0,False,366,366,2.1617530959723132,0.015600363042648502,11,0,0.02985039543862683,8,0,0.012733533669324093,7,0
reversal_q67_product_long_only_combined_available_c5,reversal,q67,product_long_only,combined_available,5,0.19364145717057396,0.36752230683706166,30.0,False,152,152,2.891134563480694,0.010757858731698553,9,0,0.029025237304940932,6,0,0.015402992620398745,5,0
reversal_q80_product_long_only_smh_c10,reversal,q80,product_long_only,smh,10,0.13311217560700106,0.3156696017745431,33.0,False,81,81,4.5920176115568605,0.007395120867055615,10,0,0.02655941301141922,7,0,0.0026292296556129635,6,0
reversal_q80_product_long_only_combined_available_c5,reversal,q80,product_long_only,combined_available,5,0.17137993343941643,0.27267190452655904,29.0,False,102,102,3.0997616123256293,0.009521107413300913,10,0,0.026550781380362234,7,0,0.010530383884047137,6,0
reversal_q50_underlying_signed_diagnostic_smh_c0,reversal,q50,underlying_signed_diagnostic,smh,0,0.2256460338313332,0.2274408386457857,40.0,False,187,187,0.9124096913448418,0.0125358907684074,6,0,0.02639120007693112,3,0,0.021867352353245884,2,0
reversal_all_underlying_signed_diagnostic_smh_c0,reversal,all,underlying_signed_diagnostic,smh,0,0.3503397795995772,0.11800237211978187,16.0,False,365,365,0.7687956660598406,0.0194633210888654,6,0,0.023874264016934606,5,0,0.018636100998693294,4,0
reversal_q80_product_long_only_combined_available_c10,reversal,q80,product_long_only,combined_available,10,0.06937993343941634,0.29779607852904866,30.0,False,102,102,7.584857936739633,0.003854440746634241,10,0,0.020884114713695563,7,0,0.005363717217380465,6,0
reversal_q67_product_long_only_combined_available_c10,reversal,q67,product_long_only,combined_available,10,0.041641457170573826,0.39881045143661537,30.0,False,152,152,13.32430581081337,0.0023134142872541013,9,0,0.020358570638274256,6,0,0.007319659287065405,5,0
reversal_q50_underlying_signed_diagnostic_combined_available_c0,reversal,q50,underlying_signed_diagnostic,combined_available,0,0.15292866062894167,0.14400582538584625,30.0,False,231,231,1.205472081423335,0.008496036701607871,8,0,0.01694591534654134,5,0,0.01304510689756184,4,0
reversal_all_underlying_signed_diagnostic_combined_available_c0,reversal,all,underlying_signed_diagnostic,combined_available,0,0.19050398267769064,0.09940962014489936,58.0,False,366,366,1.100428474600162,0.010583554593205036,9,0,0.015037267619033038,7,0,0.009909744485331579,6,0
reversal_q50_product_long_only_qqq_c2,reversal,q50,product_long_only,qqq,2,0.10064077166240509,0.24067334477280145,157.0,False,187,187,4.2194022003076785,0.0055911539812447215,10,0,0.013095055844694859,7,0,0.004836070478381916,6,0
reversal_q67_underlying_signed_diagnostic_smh_c0,reversal,q67,underlying_signed_diagnostic,smh,0,0.1154531234421804,0.12906064778419626,32.0,False,125,125,1.771877317743853,0.006414062413454467,7,0,0.01285298116970292,5,0,0.006329658410221724,4,0
reversal_q67_underlying_signed_diagnostic_combined_available_c0,reversal,q67,underlying_signed_diagnostic,combined_available,0,0.09393927538859398,0.1197947607148266,30.0,False,152,152,1.9282304610813752,0.005218848632699665,9,0,0.011274484661368394,6,0,0.006844602217725301,5,0
reversal_q80_underlying_signed_diagnostic_smh_c0,reversal,q80,underlying_signed_diagnostic,smh,0,0.059594251564374146,0.1061655505344263,33.0,False,81,81,3.3160462665626036,0.0033107917535763415,10,0,0.01052838005575613,7,0,0.001696997083357743,6,0
reversal_q67_product_long_only_qqq_c2,reversal,q67,product_long_only,qqq,2,0.019189929005413695,0.24463548573170793,157.0,False,125,125,19.08822365457383,0.0010661071669674242,9,0,0.010500218601447193,6,0,0.006203227862473526,5,0
reversal_q80_underlying_signed_diagnostic_combined_available_c0,reversal,q80,underlying_signed_diagnostic,combined_available,0,0.07700946859644892,0.08816110082943102,29.0,False,102,102,2.2754275414693406,0.004278303810913829,10,0,0.01042169915671155,7,0,0.004633165387325375,6,0
reversal_all_product_long_only_qqq_c2,reversal,all,product_long_only,qqq,2,-0.06399269724069977,0.4049946171530885,176.0,False,366,366,,-0.0035551498467055525,11,0,0.009849327157962237,8,0,-0.0037628182062748737,7,0
reversal_all_product_long_only_combined_available_c10,reversal,all,product_long_only,combined_available,10,-0.08519346523232724,0.4413577286961182,132.0,False,366,366,,-0.004732970290684846,11,0,0.009317062105293483,8,0,-0.007849799664009255,7,0
reversal_all_underlying_signed_diagnostic_qqq_c0,reversal,all,underlying_signed_diagnostic,qqq,0,0.040128154864734866,0.1238656207467318,151.0,False,366,366,4.318908619937942,0.002229341936929715,11,0,0.006830935828393521,8,0,0.0019717187310474282,7,0
