rule,sleeves,net_simple_return,maximum_drawdown,longest_underwater_trading_days,positive_months,negative_months,monthly_average,monthly_median,monthly_std,rolling12_worst,rolling12_median,rolling12_positive_fraction,recent12,recent12_percentile,rolling18_worst,rolling18_median,rolling18_positive_fraction,recent18,recent18_percentile,rolling24_worst,rolling24_median,rolling24_positive_fraction,recent24,recent24_percentile
equal,all,1.0743371782561553,0.0901499373026997,115,38,22,0.017905619637602586,0.009566437769789236,0.03575561160230774,0.002827352152146625,0.18329541514565253,1.0,0.5160522330036249,1.0,0.06711765594638025,0.2779492086103452,1.0,0.6582244120897399,1.0,0.17417781010090888,0.3811523861410087,1.0,0.6952082330880958,1.0
causal_inverse_vol,all,0.8131634462008965,0.08121875040762903,271,38,22,0.013552724103348278,0.010086610802542974,0.030295406686965187,-0.020646633293564094,0.14917636689489253,0.9387755102040817,0.3793203239137838,0.9387755102040817,0.00877319052668209,0.21698261305961092,1.0,0.5137260475962,1.0,0.09613450408294019,0.30774748245150624,1.0,0.5247458825821325,1.0
equal,without_momentum,0.7032439431826236,0.07940550525789107,180,38,22,0.011720732386377058,0.009900325322894761,0.02826011892130385,-0.005689388504032682,0.14440545838562835,0.9591836734693877,0.2769145717267409,0.9183673469387755,0.09502779178359372,0.207598797399404,1.0,0.387044885144921,1.0,0.14797790742798156,0.2703456209503569,1.0,0.37041240456751223,0.918918918918919
causal_inverse_vol,without_momentum,0.6151915151425328,0.0793661095577273,146,36,24,0.01025319191904221,0.00989098059757296,0.02786465380562325,-0.007844280332906576,0.11001751540086446,0.9795918367346939,0.25732251616900736,0.8979591836734694,0.04439159899940194,0.17144132480376842,1.0,0.3735209199553514,1.0,0.06333103060535057,0.23994544634128168,1.0,0.36084759948088263,0.9459459459459459
equal,without_multifactor,1.1897872981688147,0.10470697579671993,122,38,22,0.01982978830281358,0.013074985892987678,0.03976453426876718,0.003769802869528844,0.2113614225872569,1.0,0.5485304545455951,0.9387755102040817,0.05317181243681274,0.30209816439942033,1.0,0.7590596843952496,1.0,0.18181897884050502,0.41497705918638306,1.0,0.7966068967410529,0.972972972972973
causal_inverse_vol,without_multifactor,0.8711379381823617,0.09677977220924325,277,37,23,0.014518965636372694,0.008591689170895932,0.03212601858706884,-0.04326897597980411,0.16327851182130348,0.8775510204081632,0.3708676753634759,0.8979591836734694,-0.013849152159557919,0.2174914142011222,0.9767441860465116,0.5849584914445527,1.0,0.09083349394157203,0.3254573231373201,1.0,0.5875241094057257,0.9459459459459459
equal,without_ibs,1.075555687014933,0.10574340555821356,261,39,21,0.01792592811691555,0.005953112358832136,0.04139971051347408,-0.024272733416589327,0.19900047425967932,0.9183673469387755,0.6100141837181063,1.0,0.002741053241433221,0.2960840175513512,1.0,0.6875228438778637,1.0,0.09194882558571814,0.36857009345962216,1.0,0.7593463801514797,1.0
causal_inverse_vol,without_ibs,0.7817032899326962,0.105926377444247,260,37,23,0.013028388165544934,0.006580990396490723,0.03226779107606174,-0.038581753177734546,0.1484499517022717,0.8163265306122449,0.4318056963580771,1.0,-0.02687819619321475,0.23224440222129528,0.9534883720930233,0.4777531659550074,1.0,0.048009338128387216,0.3037885978494385,1.0,0.5186678517605272,1.0
equal,without_distress,1.3287617846582498,0.09373429225990668,113,40,20,0.022146029744304165,0.01122935764234099,0.042376831221576115,0.026249227994654952,0.22571752886828103,1.0,0.6287497220240571,1.0,0.11752996632368136,0.33108810220818247,1.0,0.7992702349409251,0.9767441860465116,0.2606665475085236,0.44409204823880216,1.0,0.8544672508923381,1.0
causal_inverse_vol,without_distress,1.1560904681930566,0.11388598064634721,155,39,21,0.01926817446988428,0.01337704872786935,0.040053927817575385,0.011810086243555125,0.20845764233987513,1.0,0.5161153123641884,0.9387755102040817,0.07716810512252015,0.30984404113213015,1.0,0.6893361734761216,1.0,0.20085003691646058,0.4088261849403092,1.0,0.7161964283895124,0.972972972972973
