rule,sleeves,fold,start,end,net_pnl,maximum_drawdown
equal,all,1,2021-05-03,2022-12-28,0.07977724201381782,0.05220505933486731
equal,all,2,2022-12-29,2024-08-28,0.32022625923230297,0.09531761259678553
equal,all,3,2024-08-29,2026-04-30,0.6743336770100345,0.06932812786113812
causal_inverse_vol,all,1,2021-05-03,2022-12-28,0.020043165627158698,0.08121875040762903
causal_inverse_vol,all,2,2022-12-29,2024-08-28,0.27792347279371166,0.08090048284359076
causal_inverse_vol,all,3,2024-08-29,2026-04-30,0.5151968077800262,0.060950936427626674
equal,without_momentum,1,2021-05-03,2022-12-28,0.11190723987351038,0.06878873306630776
equal,without_momentum,2,2022-12-29,2024-08-28,0.22720934723167974,0.08633156868642713
equal,without_momentum,3,2024-08-29,2026-04-30,0.36412735607743346,0.05199760290341739
causal_inverse_vol,without_momentum,1,2021-05-03,2022-12-28,0.058265884259427414,0.0793661095577273
causal_inverse_vol,without_momentum,2,2022-12-29,2024-08-28,0.2001221852810866,0.08208203009314649
causal_inverse_vol,without_momentum,3,2024-08-29,2026-04-30,0.3568034456020188,0.048950903499790074
equal,without_multifactor,1,2021-05-03,2022-12-28,0.07425273803921323,0.07235392469483756
equal,without_multifactor,2,2022-12-29,2024-08-28,0.3237486077094097,0.11016362277220716
equal,without_multifactor,3,2024-08-29,2026-04-30,0.791785952420192,0.07713956795048514
causal_inverse_vol,without_multifactor,1,2021-05-03,2022-12-28,-0.0009785023149007435,0.08121875040762903
causal_inverse_vol,without_multifactor,2,2022-12-29,2024-08-28,0.27321486522252336,0.09670995888252365
causal_inverse_vol,without_multifactor,3,2024-08-29,2026-04-30,0.598901575274739,0.06511098880047332
equal,without_ibs,1,2021-05-03,2022-12-28,0.0035972194770398265,0.05463202255109497
equal,without_ibs,2,2022-12-29,2024-08-28,0.34675270847138007,0.0918673283607098
equal,without_ibs,3,2024-08-29,2026-04-30,0.7252057590665133,0.13579527587759482
causal_inverse_vol,without_ibs,1,2021-05-03,2022-12-28,-0.0250258054192486,0.06566103444886276
causal_inverse_vol,without_ibs,2,2022-12-29,2024-08-28,0.31379619519839297,0.07589790189107186
causal_inverse_vol,without_ibs,3,2024-08-29,2026-04-30,0.49293290015355185,0.13246247362235394
equal,without_distress,1,2021-05-03,2022-12-28,0.12935177066550768,0.07036959951313725
equal,without_distress,2,2022-12-29,2024-08-28,0.38319437351674257,0.1020630876809156
equal,without_distress,3,2024-08-29,2026-04-30,0.8162156404759996,0.0703805025331486
causal_inverse_vol,without_distress,1,2021-05-03,2022-12-28,0.08424030393609158,0.11388598064634721
causal_inverse_vol,without_distress,2,2022-12-29,2024-08-28,0.3881705868802884,0.09727862612750869
causal_inverse_vol,without_distress,3,2024-08-29,2026-04-30,0.6836795773766765,0.06694600834377504
