rule,sleeves,year,net_pnl
equal,all,2021,0.018525687390986242
equal,all,2022,0.05993386816433948
equal,all,2023,0.22513911272723547
equal,all,2024,0.15851174532082338
equal,all,2025,0.39737065051075726
equal,all,2026,0.21485611414201347
causal_inverse_vol,all,2021,0.04076172342919165
causal_inverse_vol,all,2022,-0.020646633293564094
causal_inverse_vol,all,2023,0.19484661631637806
causal_inverse_vol,all,2024,0.10954757249108642
causal_inverse_vol,all,2025,0.3367777092311435
causal_inverse_vol,all,2026,0.15187645802666105
equal,without_momentum,2021,0.024700916521314988
equal,without_momentum,2022,0.085449408074206
equal,without_momentum,2023,0.14711001074756205
equal,without_momentum,2024,0.05724250335418152
equal,without_momentum,2025,0.279173882400618
equal,without_momentum,2026,0.10956722208474101
causal_inverse_vol,without_momentum,2021,0.04076172342919165
causal_inverse_vol,without_momentum,2022,0.018409792545770055
causal_inverse_vol,without_momentum,2023,0.12155827681845138
causal_inverse_vol,without_momentum,2024,0.06163697814855019
causal_inverse_vol,without_momentum,2025,0.26172435582290526
causal_inverse_vol,without_momentum,2026,0.1111003883776642
equal,without_multifactor,2021,0.024700916521314988
equal,without_multifactor,2022,0.04359342872742503
equal,without_multifactor,2023,0.2424373003296613
equal,without_multifactor,2024,0.18864864635596368
equal,without_multifactor,2025,0.4608369051216378
equal,without_multifactor,2026,0.22957010111281204
causal_inverse_vol,without_multifactor,2021,0.04076172342919165
causal_inverse_vol,without_multifactor,2022,-0.0432689759798041
causal_inverse_vol,without_multifactor,2023,0.20433697725922575
causal_inverse_vol,without_multifactor,2024,0.12891660103643396
causal_inverse_vol,without_multifactor,2025,0.4031070662994074
causal_inverse_vol,without_multifactor,2026,0.13728454613790694
equal,without_ibs,2021,0.0024457222130711133
equal,without_ibs,2022,0.0058103554708985265
equal,without_ibs,2023,0.2411395889049624
equal,without_ibs,2024,0.199235907382679
equal,without_ibs,2025,0.36062112347441067
equal,without_ibs,2026,0.2663029895689113
causal_inverse_vol,without_ibs,2021,0.01400551469055824
causal_inverse_vol,without_ibs,2022,-0.03674744255187067
causal_inverse_vol,without_ibs,2023,0.2205408452367755
causal_inverse_vol,without_ibs,2024,0.13917442185942283
causal_inverse_vol,without_ibs,2025,0.2668787079959533
causal_inverse_vol,without_ibs,2026,0.17785124270185698
equal,without_distress,2021,0.022255194308243884
equal,without_distress,2022,0.10488228038482833
equal,without_distress,2023,0.2698695509267561
equal,without_distress,2024,0.18891992419046935
equal,without_distress,2025,0.48885069104636264
equal,without_distress,2026,0.2539841438015895
causal_inverse_vol,without_distress,2021,0.07256365015600817
causal_inverse_vol,without_distress,2022,0.011810086243555121
causal_inverse_vol,without_distress,2023,0.2786816289726016
causal_inverse_vol,without_distress,2024,0.13735510736562756
causal_inverse_vol,without_distress,2025,0.4830888497164494
causal_inverse_vol,without_distress,2026,0.1725911457388148
