id,created_at,symbol,headline,detector_label,origin,manual_valid,manual_note
39569674,2024-07-01 09:30:10+00:00,CHTR,"Goldman Sachs Initiates Coverage On Charter Communications with Sell Rating, Announces Price Target of $250",detected,catalog_news,,
39938274,2024-07-24 16:54:23+00:00,PCAR,"Deutsche Bank Maintains Buy on PACCAR, Lowers Price Target to $109",detected,catalog_news,,
40181074,2024-08-06 09:36:03+00:00,GEHC,"Stifel Initiates Coverage On GE HealthCare Techs with Buy Rating, Announces Price Target of $100",detected,catalog_news,,
40307463,2024-08-12 09:28:21+00:00,KHC,"Goldman Sachs Initiates Coverage On Kraft Heinz with Sell Rating, Announces Price Target of $34",detected,catalog_news,,
40327231,2024-08-12 22:40:42+00:00,CTAS,"Wells Fargo Initiates Coverage On Cintas with Underweight Rating, Announces Price Target of $735",detected,catalog_news,,
40413371,2024-08-16 10:42:05+00:00,ROP,"Jefferies Maintains Buy on Roper Techs, Raises Price Target to $635",detected,catalog_news,,
40528778,2024-08-23 14:14:04+00:00,ROST,"Wells Fargo Maintains Overweight on Ross Stores, Raises Price Target to $175",detected,catalog_news,,
40731017,2024-09-05 13:24:58+00:00,ABNB,"Cantor Fitzgerald Initiates Coverage On Airbnb with Underweight Rating, Announces Price Target of $94",detected,catalog_news,,
40791513,2024-09-10 12:19:26+00:00,META,"DA Davidson Initiates Coverage On Meta Platforms with Buy Rating, Announces Price Target of $600",detected,catalog_news,,
40979778,2024-09-23 12:30:37+00:00,MSFT,"DA Davidson Downgrades Microsoft to Neutral, Announces $475 Price Target",detected,catalog_news,,
40980021,2024-09-23 12:45:43+00:00,PLTR,Raymond James Downgrades Palantir Technologies to Market Perform,detected,catalog_news,,
41021812,2024-09-25 11:35:31+00:00,CDNS,"Oppenheimer Initiates Coverage On Cadence Design Sys with Underperform Rating, Announces Price Target of $225",detected,catalog_news,,
41064253,2024-09-27 11:10:11+00:00,MU,"Baird Maintains Outperform on Micron Technology, Lowers Price Target to $150",detected,catalog_news,,
41211784,2024-10-07 16:28:22+00:00,GILD,"Wells Fargo Upgrades Gilead Sciences to Overweight, Raises Price Target to $100",detected,catalog_news,,
41290992,2024-10-11 13:14:32+00:00,AMAT,"Susquehanna Maintains Neutral on Applied Mat, Lowers Price Target to $190",detected,catalog_news,,
42003091,2024-11-15 10:35:58+00:00,MRNA,"Wolfe Research Initiates Coverage On Moderna with Underperform Rating, Announces Price Target of $40",detected,catalog_news,,
42003585,2024-11-15 11:03:35+00:00,CDW,"Redburn Atlantic Initiates Coverage On CDW with Buy Rating, Announces Price Target of $230",detected,catalog_news,,
