rule,draws,block_length_sessions,path_sessions,probability_positive_return,return_p01,return_p05,return_median,return_p95,maximum_drawdown_median,maximum_drawdown_p90,maximum_drawdown_p95,maximum_drawdown_p99,probability_drawdown_above_20pct
equal,20000,21,252,0.96855,-0.05076132349930986,0.02511577667257472,0.21135577099087713,0.4139323366831883,0.07088205617733334,0.11694812752366669,0.13276701164511356,0.16972016379151955,0.00285
causal_inverse_vol,20000,21,252,0.95565,-0.06237306197074876,0.006278759772476112,0.16429895427938995,0.32652729467030384,0.06465596887203917,0.10705751185712703,0.1229737510116145,0.16133146200427065,0.00155
