month,net_pnl
2021-05,0.002129591112100925
2021-06,0.009212308496844533
2021-07,-0.015597371369819271
2021-08,0.01170297870838218
2021-09,-0.019323476540401077
2021-10,0.041425831688236665
2021-11,0.012452371254741107
2021-12,-0.0012405099208934148
2022-01,-0.044187725169005355
2022-02,-0.010950494438089315
2022-03,0.0014566876924566887
2022-04,0.013757929984439967
2022-05,-0.009361358196739878
2022-06,0.006502330090140918
2022-07,0.02067903274847378
2022-08,-0.01073659702501508
2022-09,-0.011949437180279722
2022-10,0.038567006425945405
2022-11,0.009682732454729101
2022-12,-0.024106740680620607
2023-01,0.03691793493779422
2023-02,-0.003023200573502062
2023-03,0.053332024504881934
2023-04,-0.010494090066937512
2023-05,0.023693773234609746
2023-06,0.048779171662218575
2023-07,0.03359226700233234
2023-08,-0.007746769166679782
2023-09,-0.040017255458328044
2023-10,-0.02946458003373281
2023-11,0.054909609046317524
2023-12,0.034367731227403935
2024-01,0.010490489150356847
2024-02,0.06421781411057795
2024-03,0.035427532268385076
2024-04,-0.03667997836256136
2024-05,0.05492400102526894
2024-06,-0.02484449391444807
2024-07,-0.00661562664305646
2024-08,-0.01607074970401291
2024-09,0.014364426013625165
2024-10,-0.010737721791444202
2024-11,0.04746226790891574
2024-12,-0.022390387570520306
2025-01,0.04039071211907505
2025-02,0.008907528643222206
2025-03,0.00474290149214977
2025-04,0.055292701089573695
2025-05,0.030150130458007997
2025-06,0.03427169541539885
2025-07,0.01453537913334034
2025-08,-0.009886643172008689
2025-09,0.07847177249675376
2025-10,0.04655142959305266
2025-11,0.003123867522394747
2025-12,0.03022623444018307
2026-01,0.08531226550694077
2026-02,0.015413909442218189
2026-03,-0.013096922374645686
2026-04,0.06424720545214781
