sample,variant_id,net_simple_return,maximum_drawdown,active_days,green_days,red_days,positive_months,negative_months,monthly_average,monthly_median,monthly_std,worst_month,best_month,top5_day_positive_share,average_weights
full_history,equal,1.0743371782561553,0.0901499373026997,1255,673,582,38,22,0.017905619637602586,0.009566437769789236,0.03575561160230774,-0.044126170959390074,0.14119674038387256,0.04085490695018035,"{'momentum': 0.25, 'multifactor': 0.25, 'ibs': 0.25, 'distress': 0.25}"
full_history,defensive_fixed,1.1718762857778322,0.0900950007531102,1255,669,586,37,23,0.019531271429630535,0.016444599296253644,0.03940966804021737,-0.04739520043626189,0.15880125040341825,0.043089349029386374,"{'momentum': 0.3, 'multifactor': 0.35000000000000003, 'ibs': 0.19999999999999998, 'distress': 0.15}"
full_history,causal_inverse_vol,0.8131634462008965,0.08121875040762903,1255,688,567,38,22,0.013552724103348278,0.010086610802542974,0.030295406686965187,-0.044187725169005355,0.08531226550694077,0.039036657796168286,"{'momentum': 0.1990155067196929, 'multifactor': 0.23743609665089002, 'ibs': 0.2395458135677129, 'distress': 0.40308624840034957}"
quote_0940_2bps_extra,equal,0.5260183205465159,0.055659143800174456,251,150,101,10,2,0.04383486004554298,0.038890362782533605,0.04364742022316837,-0.014767326599062752,0.14069511169869794,0.1251785022338164,"{'momentum': 0.25, 'multifactor': 0.25, 'ibs': 0.25, 'distress': 0.25}"
quote_0940_2bps_extra,defensive_fixed,0.5983748732609021,0.05927160696687185,251,151,100,10,2,0.04986457277174184,0.04315064388309735,0.049020862941765504,-0.021512469602301215,0.15748315850206027,0.1240237193871856,"{'momentum': 0.29999999999999993, 'multifactor': 0.35, 'ibs': 0.2, 'distress': 0.14999999999999997}"
quote_0940_2bps_extra,causal_inverse_vol,0.3995483594318383,0.04260435890170005,251,156,95,11,1,0.03329569661931986,0.0339529626876405,0.02811935872886493,-0.009544392966334352,0.08600669833669718,0.11645510017727972,"{'momentum': 0.13842965230604679, 'multifactor': 0.25485281050495684, 'ibs': 0.24124593991700063, 'distress': 0.3654715972719959}"
