campaign_id,variant_id,clock,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,role_coverage,trade_roles,active_sessions,entry_roles,trade_sessions,entries_per_calendar_session,trade_session_fraction,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month
CAM-0608,sp500__daily_residual_r5__top3__trend1,0930,0.0,-0.2842927845340097,0.45825189383240295,1.0,1158,251,564,251,2.247011952191235,1.0,124,127,5,7,-0.023691065377834136,-0.026369935519046695,-0.11335974155035261,0.1009555377347866
CAM-0608,sp500__daily_residual_r5__top3__trend1,0930,1.0,-0.3114354956282581,0.4780745945221987,1.0,1158,251,564,251,2.247011952191235,1.0,123,128,5,7,-0.02595295796902151,-0.02886583701231322,-0.11521449287042664,0.09857605359767971
CAM-0608,sp500__daily_residual_r5__top3__trend1,0930,2.0,-0.3385782067225065,0.4980645278877629,1.0,1158,251,564,251,2.247011952191235,1.0,123,128,5,7,-0.028214850560208875,-0.031361738505579724,-0.11706924419050067,0.0961965694605728
CAM-0608,sp500__daily_residual_r5__top3__trend1,0930,5.0,-0.4200063400052518,0.5590591579598138,1.0,1158,251,564,251,2.247011952191235,1.0,121,130,4,8,-0.035000528333770965,-0.03884944298537924,-0.12263349815072278,0.08905811704925212
CAM-0609,qqq__daily_residual_r10__top3__trend1,0930,0.0,-0.26602630472394245,0.44619238882942985,1.0,1033,251,522,251,2.0796812749003983,1.0,118,133,5,7,-0.0221688587269952,-0.028400690249448798,-0.11104993160777919,0.08322274391396137
CAM-0609,qqq__daily_residual_r10__top3__trend1,0930,1.0,-0.2852181096488595,0.46043569358581204,1.0,1033,251,522,251,2.0796812749003983,1.0,118,133,5,7,-0.023768175804071617,-0.030222716059280043,-0.11179249237824988,0.0817842646588661
CAM-0609,qqq__daily_residual_r10__top3__trend1,0930,2.0,-0.3044099145737764,0.47477576455737464,1.0,1033,251,522,251,2.0796812749003983,1.0,118,133,4,8,-0.025367492881148035,-0.032044741869111285,-0.11253505314872055,0.08034578540377083
CAM-0609,qqq__daily_residual_r10__top3__trend1,0930,5.0,-0.36198532934852745,0.5183865374498716,1.0,1033,251,522,251,2.0796812749003983,1.0,117,134,4,8,-0.030165444112377277,-0.037510819298605,-0.11476273546013258,0.07603034763848503
CAM-0611,sp500__ma50_200__daily__top10__momentum,0930,0.0,0.822848883934977,0.11909997777926491,1.0,446,251,223,168,0.8884462151394422,0.6693227091633466,144,107,9,3,0.06857074032791477,0.039513900292905045,-0.056860448820798,0.2857127139381594
CAM-0611,sp500__ma50_200__daily__top10__momentum,0930,1.0,0.8183888839349772,0.11963793456655515,1.0,446,251,223,168,0.8884462151394422,0.6693227091633466,144,107,9,3,0.0681990736612481,0.03920390029290505,-0.05720044882079801,0.2855327139381594
