candidate,overlay,variant_id,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,base_net_simple_return,base_maximum_drawdown,base_recent12_positive_months,base_recent12_average_month,base_top5_symbol_positive_share,pareto_improvement,consistency_improvement
ma200_uncapped,base,ma200_uncapped__base,sp500,1,2.0,1.5943983018826742,1.6446383018826745,0.05024000000000001,1261,2512,1055,577,478,0.8406374501992032,1.0000000000000002,251.2,119,71,0.3417562399679711,0.048448369736407766,SNDK,0.18823903690170277,1.4061592649809713,0,0,0.026573305031377906,0.011060976777907482,32,19,9,0.25827154678511044,2022-05-27,2022-07-13,243.0,0.0,12,0.08708926255133981,0.06879029921876054,10,2,0,15,0.06125781622627866,0.05553493247377096,11,4,0,18,0.0598667943196568,0.05174414981128131,13,5,0,1.5943983018826742,0.25827154678511044,10,0.08708926255133981,0.3417562399679711,True,False
ma200_uncapped,inverse_vol63,ma200_uncapped__inverse_vol63,sp500,1,2.0,1.342867527939366,1.4077184091719142,0.06485088123254798,1261,11801,1055,572,483,0.8406374501992032,1.0000000000000002,324.2544061627399,114,76,0.2672952768691822,0.043003057619264456,STX,0.14318258725378583,1.1996849406855803,0,0,0.022381125465656106,0.004999751973237251,32,19,9,0.2521740154161002,2022-05-27,2022-07-13,249.0,0.00023054353738187158,12,0.07058364827562912,0.058837012841238386,10,2,0,15,0.046794362702124566,0.037898819219110064,11,4,0,18,0.04607813677980511,0.03987618064034529,13,5,0,1.5943983018826742,0.25827154678511044,10,0.08708926255133981,0.3417562399679711,False,False
ma200_uncapped,persistence2,ma200_uncapped__persistence2,sp500,1,2.0,1.6400656307141173,1.6915772180157043,0.051511587301587294,789,6265,1054,575,479,0.8398406374501992,1.0000000000000002,257.55793650793646,109,65,0.3603582002145128,0.04895842790912067,PLTR,0.21055898051534697,1.4295066501987703,0,0,0.027334427178568623,0.009681623077734024,31,20,9,0.27845216848899834,2022-05-27,2022-07-13,250.0,0.0,12,0.09042363620987996,0.06925640200234065,9,3,0,15,0.06793593952237745,0.05541876710747674,10,5,0,18,0.06638049144099264,0.0528574171003934,12,6,0,1.5943983018826742,0.25827154678511044,10,0.08708926255133981,0.3417562399679711,False,False
ma200_uncapped,persistence3,ma200_uncapped__persistence3,sp500,1,2.0,1.7284484500396615,1.7747308309920424,0.04628238095238096,595,5459,1053,573,480,0.8390438247011952,1.0000000000000002,231.4119047619048,100,62,0.37403938861732033,0.049498155399600154,SNDK,0.23108746519250822,1.4973609848471532,0,0,0.028807474167327693,0.03186431288899852,31,20,9,0.28153067383267766,2022-04-20,2022-07-13,233.0,0.0,12,0.09580536422330056,0.07459845083942608,9,3,0,15,0.07384256348849923,0.05944744651382118,10,5,0,18,0.07022125462211372,0.05186487579717082,12,6,0,1.5943983018826742,0.25827154678511044,10,0.08708926255133981,0.3417562399679711,False,False
ma200_uncapped,vol_target_15,ma200_uncapped__vol_target_15,sp500,1,2.0,0.7655801282563583,0.7941699075689672,0.028589779312608768,1260,11708,1053,575,478,0.44395110981171476,1.0,142.94889656304383,120,70,0.3072930378238965,0.04719064604371685,PLTR,0.09289681080997839,0.67268331744638,0,0,0.012759668804272638,0.004844690566261169,33,18,9,0.12347757038708207,2025-02-18,2025-04-04,116.0,0.0,12,0.03271181845896043,0.024653123610927294,10,2,0,15,0.021399705862031236,0.016435660954707772,11,4,0,18,0.023713476624611703,0.019328941448321528,13,5,0,1.5943983018826742,0.25827154678511044,10,0.08708926255133981,0.3417562399679711,False,False
ma200_uncapped,turnover_band_05,ma200_uncapped__turnover_band_05,sp500,1,2.0,1.5943983018826742,1.6446383018826745,0.05024000000000001,1261,2512,1055,577,478,0.8406374501992032,1.0000000000000002,251.2,119,71,0.3417562399679711,0.048448369736407766,SNDK,0.18823903690170277,1.4061592649809713,0,0,0.026573305031377906,0.011060976777907482,32,19,9,0.25827154678511044,2022-05-27,2022-07-13,243.0,0.0,12,0.08708926255133981,0.06879029921876054,10,2,0,15,0.06125781622627866,0.05553493247377096,11,4,0,18,0.0598667943196568,0.05174414981128131,13,5,0,1.5943983018826742,0.25827154678511044,10,0.08708926255133981,0.3417562399679711,True,False
ma200_uncapped,inverse_vol63_persistence2,ma200_uncapped__inverse_vol63_persistence2,sp500,1,2.0,1.3171135564237846,1.3769244561161558,0.059810899692371126,789,10069,1054,575,479,0.8398406374501992,1.0000000000000004,299.05449846185564,106,68,0.2883113635776208,0.04323519365276529,STX,0.15329806007243932,1.1638154963513452,0,0,0.021951892607063078,0.0,29,22,9,0.2792207933335852,2022-04-20,2022-07-13,254.0,0.0,12,0.0725899149543862,0.05993860482770588,9,3,0,15,0.052098748141304885,0.03845563692692114,10,5,0,18,0.05119336096288532,0.04547055864250901,12,6,0,1.5943983018826742,0.25827154678511044,10,0.08708926255133981,0.3417562399679711,False,False
ma200_corr08,base,ma200_corr08__base,sp500,1,2.0,1.5266358191664644,1.5790358191664644,0.0524,1315,2620,1054,574,480,0.8398406374501992,1.0000000000000002,262.0,118,76,0.3083299205178282,0.04882874084976705,SNDK,0.18823903690170277,1.3383967822647616,0,0,0.025443930319441074,0.005421122315282424,31,20,9,0.23938229896187455,2025-02-18,2025-04-04,70.0,0.0013057868812079907,12,0.08192812607391015,0.07521514880920052,9,3,0,15,0.06026651629843755,0.07361325794599725,10,5,0,18,0.05834002304196557,0.06578096148512859,12,6,0,1.5266358191664644,0.23938229896187455,9,0.08192812607391015,0.3083299205178282,True,False
ma200_corr08,inverse_vol63,ma200_corr08__inverse_vol63,sp500,1,2.0,1.31210746648139,1.378080106622666,0.06597264014127602,1315,11845,1054,575,479,0.8398406374501992,1.0000000000000004,329.86320070638004,109,85,0.22512383776976974,0.0445646915469541,TER,0.10000643253012863,1.2121010339512615,0,0,0.021868457774689834,0.004220551600580717,32,19,9,0.22416172567688986,2025-02-18,2025-04-04,107.0,0.00380142427580331,12,0.06573174287789528,0.06805532605825859,10,2,0,15,0.04593259174848209,0.05731353020301415,11,4,0,18,0.04456086118285648,0.05391297568522785,13,5,0,1.5266358191664644,0.23938229896187455,9,0.08192812607391015,0.3083299205178282,False,True
ma200_corr08,persistence2,ma200_corr08__persistence2,sp500,1,2.0,1.5572680345799637,1.6128580345799635,0.05559,837,6615,1053,569,484,0.8390438247011952,1.0000000000000002,277.95,106,72,0.3260697626831185,0.04888944533160164,PLTR,0.21340292291148827,1.3438651116684754,0,0,0.025954467242999397,0.004760838077993046,31,20,9,0.2368202424623507,2025-02-18,2025-04-04,56.0,0.002888196220175369,12,0.08246418827987316,0.07144415717177433,9,3,0,15,0.06375693633569511,0.06817148583002391,10,5,0,18,0.06336678295053957,0.06546571660247591,12,6,0,1.5266358191664644,0.23938229896187455,9,0.08192812607391015,0.3083299205178282,True,False
