candidate,overlay,variant_id,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months
ma200_uncapped,base,ma200_uncapped__base,sp500,1,-1.0,1.6697583018826743,1.6446383018826745,-0.025120000000000003,1261,2512,1055,578,477,0.8406374501992032,1.0000000000000002,251.2,120,70,0.33553773869361336,0.04825849326873396,SNDK,0.18826903690170277,1.4814892649809714,0,0,0.027829305031377906,0.013130976777907474,32,19,9,0.2555742126492391,2022-05-27,2022-07-13,233.0,0.0,12,0.0882092625513398,0.06966029921876053,10,2,0,15,0.06244581622627867,0.05589493247377097,11,4,0,18,0.061036794319656806,0.052734149811281314,13,5,0
ma200_uncapped,base,ma200_uncapped__base,sp500,1,0.0,1.6446383018826745,1.6446383018826745,0.0,1261,2512,1055,578,477,0.8406374501992032,1.0000000000000002,251.2,119,71,0.33758703007553387,0.04832159530433791,SNDK,0.18825903690170276,1.4563792649809717,0,0,0.027410638364711238,0.012440976777907484,32,19,9,0.25647172601539076,2022-05-27,2022-07-13,233.0,0.0,12,0.08783592921800648,0.06937029921876053,10,2,0,15,0.06204981622627867,0.05577493247377096,11,4,0,18,0.060646794319656805,0.05240414981128131,13,5,0
ma200_uncapped,base,ma200_uncapped__base,sp500,1,1.0,1.6195183018826746,1.6446383018826745,0.025120000000000003,1261,2512,1055,578,477,0.8406374501992032,1.0000000000000002,251.2,119,71,0.3396573712948009,0.04838489128065239,SNDK,0.18824903690170278,1.431269264980972,0,0,0.026991971698044574,0.011750976777907488,32,19,9,0.2573708359726583,2022-05-27,2022-07-13,233.0,0.0,12,0.08746259588467314,0.06908029921876055,10,2,0,15,0.06165381622627867,0.05565493247377098,11,4,0,18,0.06025679431965682,0.05207414981128132,13,5,0
ma200_uncapped,base,ma200_uncapped__base,sp500,1,2.0,1.5943983018826742,1.6446383018826745,0.05024000000000001,1261,2512,1055,577,478,0.8406374501992032,1.0000000000000002,251.2,119,71,0.3417562399679711,0.048448369736407766,SNDK,0.18823903690170277,1.4061592649809713,0,0,0.026573305031377906,0.011060976777907482,32,19,9,0.25827154678511044,2022-05-27,2022-07-13,243.0,0.0,12,0.08708926255133981,0.06879029921876054,10,2,0,15,0.06125781622627866,0.05553493247377096,11,4,0,18,0.0598667943196568,0.05174414981128131,13,5,0
ma200_uncapped,base,ma200_uncapped__base,sp500,1,5.0,1.5190383018826745,1.6446383018826745,0.12560000000000002,1261,2512,1055,574,481,0.8406374501992032,1.0000000000000002,251.2,114,76,0.34814355349292647,0.04863841457684055,SNDK,0.18820903690170276,1.3308292649809719,0,0,0.02531730503137791,0.008990976777907474,32,19,9,0.26468287479335145,2025-02-18,2025-04-04,114.0,0.0,12,0.08596926255133981,0.06792029921876054,10,2,0,15,0.060069816226278674,0.05517493247377097,11,4,0,18,0.0586967943196568,0.05075414981128132,13,5,0
ma200_uncapped,base,ma200_uncapped__base,sp500,1,10.0,1.3934383018826748,1.6446383018826745,0.25120000000000003,1261,2512,1055,565,490,0.8406374501992032,1.0000000000000002,251.2,109,81,0.3589803757034582,0.048952130396682475,SNDK,0.18815903690170277,1.205279264980972,0,0,0.023223971698044573,0.005771678271962245,32,19,9,0.2833384062562554,2025-02-18,2025-04-04,117.0,0.0,12,0.08410259588467313,0.06647029921876055,10,2,0,15,0.058089816226278665,0.05457493247377097,11,4,0,18,0.056746794319656804,0.04955253425037577,13,5,0
ma200_uncapped,inverse_vol63,ma200_uncapped__inverse_vol63,sp500,1,-1.0,1.4401438497881882,1.4077184091719142,-0.03242544061627399,1261,11801,1055,576,479,0.8406374501992032,1.0000000000000002,324.2544061627399,116,74,0.261187433648183,0.0427573806975384,STX,0.14352541758701673,1.2966184322011716,0,0,0.0240023974964698,0.007364394898733099,32,19,9,0.24848157793370923,2022-05-27,2022-07-13,233.0,9.778624795664248e-05,12,0.07210999052807292,0.060218352162097574,10,2,0,15,0.048405442939478356,0.038556242847144956,11,4,0,18,0.047660176724946296,0.04131940353549665,13,5,0
ma200_uncapped,inverse_vol63,ma200_uncapped__inverse_vol63,sp500,1,0.0,1.4077184091719142,1.4077184091719142,0.0,1261,11801,1055,576,479,0.8406374501992032,1.0000000000000002,324.2544061627399,116,74,0.26318720094093684,0.04283914799671748,STX,0.1434111408092732,1.264307268362641,0,0,0.023461973486198568,0.006576180590234482,32,19,9,0.24970941708142877,2022-05-27,2022-07-13,241.0,0.00014085062032017268,12,0.07160120977725831,0.059757905721811166,10,2,0,15,0.047868416193693766,0.03833710163779997,11,4,0,18,0.04713283007656591,0.040838329237112864,13,5,0
ma200_uncapped,inverse_vol63,ma200_uncapped__inverse_vol63,sp500,1,1.0,1.37529296855564,1.4077184091719142,0.03242544061627399,1261,11801,1055,575,480,0.8406374501992032,1.0000000000000002,324.2544061627399,116,74,0.26522679975636176,0.04292127068631581,STX,0.14329686403152955,1.2319961045241106,0,0,0.022921549475927342,0.005787966281735871,32,19,9,0.2509402259797716,2022-05-27,2022-07-13,243.0,0.00018508688507855002,12,0.07109242902644371,0.05929745928152477,10,2,0,15,0.04733138944790916,0.03811796042845501,11,4,0,18,0.04660548342818551,0.04035725493872906,13,5,0
ma200_uncapped,inverse_vol63,ma200_uncapped__inverse_vol63,sp500,1,2.0,1.342867527939366,1.4077184091719142,0.06485088123254798,1261,11801,1055,572,483,0.8406374501992032,1.0000000000000002,324.2544061627399,114,76,0.2672952768691822,0.043003057619264456,STX,0.14318258725378583,1.1996849406855803,0,0,0.022381125465656106,0.004999751973237251,32,19,9,0.2521740154161002,2022-05-27,2022-07-13,249.0,0.00023054353738187158,12,0.07058364827562912,0.058837012841238386,10,2,0,15,0.046794362702124566,0.037898819219110064,11,4,0,18,0.04607813677980511,0.03987618064034529,13,5,0
