variant,trade_symbols,lookback,market_sma,holding_sessions,entry_delay_sessions,cost_bps_per_side,breadth,require_positive_momentum,require_market_trend,full_net,full_max_dd,full_recovery_days,full_beta,full_decisions,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_max_dd,18m_recovery_days,18m_decisions,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_max_dd,15m_recovery_days,15m_decisions,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_max_dd,12m_recovery_days,12m_decisions,12m_leg_count,12m_decision_count,12m_top_1_positive_share_of_net,12m_top_5_positive_share_of_net,12m_worst_1_loss,12m_worst_5_loss,12m_positive_leg_fraction
sma20_cost5,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,3.975305593033899,0.2851133827512367,599,3.2040232763940657,141,0.692123826466549,0.03845132369258606,0.012811456173691423,8,0.9025659224406348,319,29,0.8360665490290091,0.05573776993526727,0.06134829316133182,6,0.7703365881605053,174,24,1.273488838444598,0.12389588266006869,0.13754576589359013,3,0.13857551065856663,78,20,37,20,0.216310212798357,0.6473021152012458,-0.12368738561171339,-0.07221431529214017,0.7027027027027027
sma20_cost10,"('TQQQ', 'SOXL')",5,20,10,1,10.0,2,True,True,3.8343055930338994,0.28783995669386236,604,3.203496877952091,141,0.6626238264665489,0.036812434803697176,0.010811456173691421,8,0.9096398281334197,328,29,0.8115665490290092,0.05410443660193393,0.05934829316133182,6,0.7726481311174155,174,24,1.2534888384445977,0.12218754932673541,0.13554576589359013,3,0.13935463302916137,78,20,37,20,0.2193626566164567,0.6556356894490923,-0.12418738561171339,-0.07471431529214018,0.7027027027027027
sma20_cost20,"('TQQQ', 'SOXL')",5,20,10,1,20.0,2,True,True,3.552305593033899,0.29341208412424885,794,3.2024440810681387,141,0.603623826466549,0.033534657025919394,0.006811456173691419,9,0.9238257004896779,328,29,0.762566549029009,0.050837769935267264,0.055348293161331816,7,0.7772965461321683,208,24,1.2134888384445979,0.11877088266006874,0.13154576589359013,4,0.14091608105504944,78,20,37,20,0.22576939561425685,0.6731269319768518,-0.1251873856117134,-0.07971431529214018,0.7027027027027027
sma20_delay2,"('TQQQ', 'SOXL')",5,20,10,2,5.0,2,True,True,3.817155468630726,0.3123966497737656,554,3.3032695926848903,141,0.8712453089473491,0.04840251716374161,0.026547629537771334,9,0.878835092293744,268,29,0.9048364095943486,0.06032242730628991,0.060868722040136145,7,0.8358136833421715,208,24,1.356606237425495,0.143931321527178,0.14168969112006408,4,0.1271675944996546,75,20,37,20,0.21875877921065479,0.6146556473589408,-0.0787863181855134,-0.059817055794751495,0.7567567567567568
sma20_tqqq_only,"('TQQQ',)",5,20,10,1,5.0,1,True,True,3.227989198516454,0.26784966701271085,783,2.7653370336124667,139,0.27193550213316037,0.015107527896286685,0.010205573087372738,8,0.6776805749160835,314,29,0.23846326835114157,0.015897551223409433,0.004142316841307805,7,0.6620577661178102,210,24,0.6053090893648337,0.0629552027455578,0.06494231790990768,4,0.15815315621970055,183,20,20,20,0.3478458857056473,0.9927584275943239,-0.09614731369150786,-0.23106653379891118,0.7
sma20_soxl_only,"('SOXL',)",5,20,10,1,5.0,1,True,True,4.795226999094755,0.3097749537353291,599,3.691719789775911,135,0.9158870835547477,0.05088261575304156,-0.005244157981681562,9,1.2183434198835812,330,28,1.2983092248891484,0.08655394832594322,0.037777304656265304,6,0.8738376726805073,208,23,1.8095026113078836,0.17382273122320646,0.1730852881071432,3,0.19573977036727497,78,19,19,19,0.3044689075537487,0.9111144837912667,-0.24737477122342677,-0.22768087331676812,0.631578947368421
sma20_lookback3,"('TQQQ', 'SOXL')",3,20,10,1,5.0,2,True,True,4.131513513780668,0.26444318106397235,554,3.1608718696572997,144,0.5057765224337331,0.02809869569076294,-0.026049156002969504,9,1.0132336370948578,351,30,0.7052671764209717,0.04701781176139811,0.06134829316133182,7,0.8221582823989814,212,25,1.1625110293673029,0.11375130887560392,0.13109985596420753,4,0.15527183078251952,78,21,39,21,0.23696002419022844,0.7061793159923905,-0.12368738561171339,-0.06906630270234076,0.6923076923076923
sma20_lookback10,"('TQQQ', 'SOXL')",10,20,10,1,5.0,2,True,True,4.204801269537483,0.3338899765094851,830,3.223211825747595,139,1.0153659596534776,0.05640921998074877,0.013815377209632568,9,0.7051052693973875,190,28,1.0910511950232307,0.07273674633488206,0.07169542809817794,7,0.6355760713425781,111,23,1.3221778389681555,0.12705687634234167,0.08703096478289418,4,0.13677514689523082,78,20,35,20,0.4166892433400074,0.7930964589400927,-0.12368738561171339,-0.03715028702580164,0.6571428571428571
sma20_hold7,"('TQQQ', 'SOXL')",5,20,7,1,5.0,2,True,True,3.291008628768522,0.28885551822438216,794,3.1798365565721873,190,0.39196621794191616,0.021775900996773106,-0.01686266036365127,10,0.5842523007851619,215,38,0.6634382351636885,0.04422921567757923,-0.01540254511864863,8,0.4123283173400756,183,32,0.8891449215005387,0.08213727721297624,0.11875180225808986,5,0.30178068858078727,183,28,53,28,0.27239736073424853,0.8863487221325844,-0.18014240461776715,-0.026915837996007164,0.6226415094339622
sma50_cost5,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,3.3034777916938256,0.3688021914757212,821,3.237387385447646,133,1.1893550548745555,0.06607528082636421,0.017053146518343873,6,0.31550651032647914,104,28,1.2156551792096455,0.08104367861397638,0.05382423095470161,5,0.3083510705424661,83,23,1.36935830932197,0.11411319244349749,0.12035421934597171,3,0.15181624541522293,79,21,37,21,0.2167216004375836,0.7161593221869873,-0.12368738561171339,-0.06454655114178143,0.6486486486486487
