threshold,extra_bps,net_return,maximum_drawdown,worst_month,positive_months,negative_months,positive_weeks,negative_weeks,active_sessions,active_fraction,green_active_days,red_active_days,positions,recent12_return,recent12_positive_months,recent12_negative_months,early_return,late_return,worst_year,positive_years,negative_years,top5_positive_trade_share,leave_best5_return
-0.03,-1,1.9711860301645552,0.10208350804022559,-0.15431281900689012,49,23,128,90,391,0.25723684210526315,238,153,609,0.6994216125939213,11,1,0.7742992918146359,1.1968867383499193,0.0762679140641341,7,0,0.0797489739853976,1.5685170636486907
-0.03,0,1.8925996515963872,0.10458866386462984,-0.15588179954503473,48,24,125,93,391,0.25723684210526315,234,157,609,0.688282842148448,11,1,0.7293489269927589,1.163250724603628,0.06765352192053595,7,0,0.08028651299148437,1.4910111108312505
-0.03,1,1.8140289887323626,0.1088781583271784,-0.15745046631844833,48,24,125,93,391,0.25723684210526315,234,157,609,0.6771462992343115,11,1,0.6844075513449291,1.1296214373874338,0.05904085248309539,7,0,0.08082346810415027,1.4135206576544104
-0.03,2,1.7354740368587134,0.11324185508385343,-0.15901881942124113,48,24,124,94,391,0.25723684210526315,233,158,609,0.666011983183384,11,1,0.639475162174937,1.0959988746837763,0.050429905235106966,7,0,0.08136799454066652,1.3360456994692074
-0.03,5,1.4999034000705944,0.13643918532377863,-0.1637219976464383,46,26,120,98,391,0.25723684210526315,230,161,609,0.6326223895326131,11,1,0.5047318865859921,0.9951715134846022,0.02460739146384751,7,0,0.08304418572954651,1.1037137484016741
-0.03,10,1.1075994524923394,0.1773786245423642,-0.17155436338210653,43,29,116,102,391,0.25723684210526315,221,170,609,0.577017541764541,10,2,0.28033923882696354,0.827260213665376,-0.022668525045448706,5,2,0.08590666199107916,0.7168032964240354
-0.04,-1,1.3105120777784263,0.11648823920381524,-0.16513467736579937,47,20,102,68,270,0.17763157894736842,158,112,399,0.5568690933702138,10,2,0.5967617932524241,0.7137502845260022,0.03541189549563807,7,0,0.11070646336205726,0.8925622765970362
-0.04,0,1.2562554010305493,0.11974942237766217,-0.16650151374668792,44,23,101,69,270,0.17763157894736842,155,115,399,0.5487585306078167,10,2,0.5660455125218482,0.6902098885087011,0.027405613744714674,7,0,0.11136105698855851,0.8393890814612341
-0.04,1,1.2020095745329986,0.1269941730031613,-0.16786807678763455,44,23,100,70,270,0.17763157894736842,155,115,399,0.5406495897957777,10,2,0.5353353744331546,0.6666742000998439,0.019400933090032567,7,0,0.11201261621036068,0.7862265199011036
-0.04,2,1.1477745950313492,0.13475651018823798,-0.16923436657062424,44,23,99,71,270,0.17763157894736842,154,116,399,0.5325422704476072,10,2,0.5046313771439229,0.6431432178874261,0.011397853051357591,7,0,0.11267018451496333,0.7330745887272088
-0.04,5,0.985134705977075,0.16014845096371022,-0.17333159719121832,42,25,96,74,270,0.17763157894736842,153,117,399,0.5082300363243553,10,2,0.4125562116597733,0.5725784943173018,-0.012601788168068923,6,1,0.11467569464773207,0.5736825456477086
-0.04,10,0.7142848607687776,0.21109355012498054,-0.18015485737556483,39,28,92,78,270,0.17763157894736842,146,124,399,0.46774203004716575,10,2,0.25922024676257965,0.455064614006198,-0.05256922264637934,6,1,0.11808263526447295,0.3082414509288708
-0.05,-1,1.0451109541658536,0.1794958080266067,-0.26573756102661594,43,21,90,48,201,0.13223684210526315,123,78,273,0.5215700517481018,10,2,0.6798907667476606,0.3652201874181931,-0.13205573539605697,6,1,0.1275579909718049,0.6493310042563714
-0.05,0,1.0047059724731924,0.18608983735974116,-0.26708427884262886,42,22,87,51,201,0.13223684210526315,119,82,273,0.5150663881041165,10,2,0.6581569619747896,0.3465490104984028,-0.138628666955821,6,1,0.12822747793070763,0.6100050706488833
-0.05,1,0.9643090709688517,0.19287820258049215,-0.2684307273420105,42,22,87,51,201,0.13223684210526315,119,82,273,0.5085640250628009,10,2,0.6364275035282405,0.3278815674406112,-0.1452002840607181,6,1,0.1288838439163297,0.5706870014416779
-0.05,2,0.9239202472292609,0.1998696232308691,-0.26977690660553916,42,22,87,51,201,0.13223684210526315,119,82,273,0.5020629622340503,10,2,0.6147023901043791,0.30921785712488176,-0.1517705871050073,6,1,0.12954870650848338,0.5313767942759071
-0.05,5,0.8028022183777888,0.22215760539081175,-0.27381382978831276,41,23,85,53,201,0.13223684210526315,118,83,273,0.48256757112450593,10,2,0.5495531069403432,0.25324911143744555,-0.171473615814432,6,1,0.13157369289669166,0.4134933214528538
-0.05,10,0.6011001663344044,0.26435286695553095,-0.28053665790587945,37,27,83,55,201,0.13223684210526315,115,86,273,0.45010122049552,10,2,0.44105774726556013,0.1600424190688443,-0.2042857525363252,6,1,0.13504499520157032,0.2171778876905628
