threshold,extra_bps,net_return,maximum_drawdown,worst_month,positive_months,negative_months,positive_weeks,negative_weeks,active_sessions,active_fraction,green_active_days,red_active_days,positions,recent12_return,recent12_positive_months,recent12_negative_months,early_return,late_return,worst_year,positive_years,negative_years,top5_positive_trade_share,leave_best5_return
-0.005,-1,2.383299747059498,0.1314391263661574,-0.10922214371804335,45,28,176,138,991,0.6519736842105263,553,438,1760,0.8450346544415807,8,4,1.1263423333550908,1.256957413704407,0.2089892803000257,7,0,0.0495988893130801,1.88977217985209
-0.005,0,2.1846429527895355,0.13564494997722576,-0.1116000614975211,45,28,175,139,991,0.6519736842105263,542,449,1760,0.8128688640897312,8,4,1.0173279663251336,1.1673149864644015,0.17675070630136788,7,0,0.05005667667499653,1.6919806712336705
-0.005,1,1.9860258859056885,0.13992845189284997,-0.11397750374099691,44,29,172,142,991,0.6519736842105263,539,452,1760,0.7807095062527,8,4,0.908335399988515,1.0776904859171734,0.14451857937280393,7,0,0.05051773281858333,1.4942287169615402
-0.005,2,1.787448534492122,0.15285336802684213,-0.11635447059110293,42,31,171,143,991,0.6519736842105263,533,458,1760,0.7485565790011188,8,4,0.7993646278063333,0.9880839066857888,0.11229289758060017,7,0,0.05098557423150288,1.2965163051717656
-0.005,5,1.1919546539862544,0.2152052413780018,-0.12348252020666783,40,33,158,156,991,0.6519736842105263,518,473,1760,0.6521363614769645,8,4,0.47258301083661036,0.719371643149644,0.01404077703671433,7,0,0.05241544548163414,0.7036162061284295
-0.005,10,0.20025805178506653,0.5879896606735426,-0.13535310832769465,31,42,147,167,991,0.6519736842105263,494,497,1760,0.4915644307948634,7,5,-0.07161774389723294,0.27187579568229936,-0.15388938262557267,2,5,0.05487778117307319,-0.28376088188890247
-0.01,-1,2.998061254182001,0.07819270203287298,-0.09546270609167269,49,24,180,131,841,0.5532894736842106,479,362,1430,0.9371043863029229,10,2,1.4329116933372608,1.5651495608447406,0.22803302507994647,7,0,0.06175877562935625,2.4310765189382213
-0.01,0,2.829278520204581,0.0834078329796214,-0.09764339548151478,49,24,177,134,841,0.5532894736842106,471,370,1430,0.9099196838959055,10,2,1.3402343787300637,1.4890441414745172,0.20139008276916354,7,0,0.06230264306234541,2.263173760576955
-0.01,1,2.660529539398641,0.08880882553648428,-0.09982364877708871,48,25,173,138,841,0.5532894736842106,468,373,1430,0.88274041788573,10,2,1.2475755977324288,1.4129539416662125,0.1747524685140382,7,0,0.0628490136744808,2.0953045794096425
-0.01,2,2.491814301640249,0.09440579582656061,-0.10200346610919642,47,26,171,140,841,0.5532894736842106,465,376,1430,0.8555665866418035,9,3,1.1549353447853825,1.3368789568548662,0.14812018071647365,7,0,0.06340230344988235,1.9274689653651365
-0.01,5,1.9858709454718335,0.11652297050955251,-0.10854030363195699,45,28,160,151,841,0.5532894736842106,455,386,1430,0.7740776852113661,8,4,0.8771256986914018,1.1087452467804317,0.06825526009774438,7,0,0.06510389603510441,1.4241634253174311
-0.01,10,1.1433059357487183,0.19916917768676023,-0.11942632576027191,36,37,153,158,841,0.5532894736842106,439,402,1430,0.6383713928192045,6,6,0.41447966468669895,0.7288262710620195,-0.0647465607528368,6,1,0.06806033387992337,0.5859912622209136
-0.015,-1,3.186714178845718,0.06504156152433194,-0.1051200852782795,51,22,181,120,702,0.4618421052631579,414,288,1163,0.993106663528402,10,2,1.466697765193492,1.720016413652226,0.21765302516152268,7,0,0.06565501285649332,2.6438716100319186
-0.015,0,3.0456909383340163,0.06923346805651043,-0.10709886338341289,49,24,179,122,702,0.4618421052631579,410,292,1163,0.970910261835868,9,3,1.388812214195561,1.6568787241384553,0.1980114587131366,7,0,0.06619780606581292,2.5037235171858794
-0.015,1,2.9046958996502363,0.07372620155379594,-0.10907724577249707,49,24,177,124,702,0.4618421052631579,407,295,1163,0.9487182989797902,9,3,1.3109422387502754,1.5937536608999612,0.17837382018524822,7,0,0.06674250950082931,2.36360345115573
-0.015,2,2.7637290543355117,0.07855334992361251,-0.111055232564223,48,25,176,125,702,0.4618421052631579,405,297,1163,0.9265307736287791,9,3,1.2330878341859028,1.5306412201496091,0.1587401083997194,7,0,0.06729300440963266,2.2235114035350976
-0.015,5,2.3409975940678924,0.09546159318105574,-0.1169868205414496,46,27,164,137,702,0.4618421052631579,397,305,1163,0.8599948093003118,9,3,0.9996179990889609,1.3413795949789318,0.09546606908343815,7,0,0.06899180708150575,1.803403287117138
-0.015,10,1.6370082391566028,0.14101625872705736,-0.1268648996204081,43,30,157,144,702,0.4618421052631579,386,316,1163,0.7491901614126311,9,3,0.6108125893920183,1.0261956497645843,-0.018572434752977592,6,1,0.07196298937620213,1.103782677657779
-0.02,-1,2.626727344847486,0.08162645799295887,-0.11531155418887873,50,23,163,112,577,0.3796052631578947,342,235,934,0.9871883389273687,10,2,1.1392895163028398,1.4874378285446466,0.13169421892484998,7,0,0.07395205597658228,2.1072855091013487
-0.02,0,2.510813590753938,0.0863148272862867,-0.1172882942040389,49,24,162,113,577,0.3796052631578947,338,239,934,0.9695926608273946,10,2,1.0738682005311624,1.4369453902227762,0.11666938256470213,7,0,0.0745233434942882,1.9923422129958175
-0.02,1,2.3949230170931664,0.09132230434614419,-0.11926463891072726,49,24,160,115,577,0.3796052631578947,335,242,934,0.9520005015111634,10,2,1.0084599677143435,1.3864630493788228,0.10164755087135885,7,0,0.0750944183622304,1.8774219032508728
-0.02,2,2.27905561691243,0.09668261645796072,-0.1212405884275123,48,25,157,118,577,0.3796052631578947,333,244,934,0.9344118599232473,10,2,0.9430648139282869,1.3359908029841434,0.08662872294360471,7,0,0.07567154557275867,1.7625245729719827
-0.02,5,1.9315923877647396,0.11529755618264714,-0.12716606702342434,47,26,150,125,577,0.3796052631578947,329,248,934,0.8816670309814993,10,2,0.7469577875371625,1.1846346002275772,0.041590252747053164,7,0,0.07744398353725361,1.4179703900276999
-0.02,10,1.3529498273359102,0.1584984907214334,-0.13703397193789604,43,30,144,131,577,0.3796052631578947,318,259,934,0.7938292389276487,9,3,0.42037395837229496,0.9325758689636152,-0.04069240902129444,5,2,0.08050772556543595,0.8441723650844657
-0.025,-1,1.951574404705641,0.10417291667869866,-0.15608205998396169,51,22,143,103,470,0.3092105263157895,282,188,748,0.7917856346180104,11,1,0.7492268607882637,1.202347543917377,0.1517477540865697,7,0,0.06810574250493151,1.5595379815588122
-0.025,0,1.857193527912389,0.10690991899724256,-0.15785066671129167,50,23,141,105,470,0.3092105263157895,278,192,748,0.7784286131932303,11,1,0.695682369865203,1.161511158047186,0.13871870744041925,7,0,0.06858007888916265,1.466235404220244
-0.025,1,1.7628315254070661,0.10969778321632762,-0.15961891975264508,50,23,140,106,470,0.3092105263157895,276,194,748,0.765074262905622,11,1,0.6421485867695442,1.1206829386375219,0.12569226634304123,7,0,0.06905428522471146,1.372951485531278
-0.025,2,1.6684883915285216,0.11789171437111479,-0.16138681921410641,49,24,139,107,470,0.3092105263157895,275,195,748,0.751722582954003,10,2,0.5886255082895867,1.079862883238935,0.11266843001293088,7,0,0.06953465305855779,1.2796862198954413
-0.025,5,1.3855721450759422,0.15259962319626297,-0.16668839717934564,46,27,133,113,470,0.3092105263157895,272,198,748,0.7116835571080864,10,2,0.42812046844607365,0.9574516766298685,0.07361254181579692,7,0,0.07101439969106453,1.0000022853754928
-0.025,10,0.914421912472053,0.23135462371440474,-0.1755172987458336,42,31,127,119,470,0.3092105263157895,263,207,748,0.6450051794006432,9,3,0.16082586163373291,0.75359605083832,0.008571417315670293,7,0,0.07355878701930606,0.5342349338821895
