threshold,extra_bps,year,net_pnl
-0.005,-1,2020,0.4598717550812898
-0.005,-1,2021,0.2750377942167291
-0.005,-1,2022,0.2089892803000257
-0.005,-1,2023,0.3045841114756782
-0.005,-1,2024,0.21577865861118645
-0.005,-1,2025,0.3493063785106304
-0.005,-1,2026,0.5697317688639583
-0.005,0,2020,0.4351822496808175
-0.005,0,2021,0.24198609182812786
-0.005,0,2022,0.17675070630136788
-0.005,0,2023,0.2725264004244915
-0.005,0,2024,0.18213886685864386
-0.005,0,2025,0.3162398238903942
-0.005,0,2026,0.5598188138056923
-0.005,1,2020,0.41049768168768325
-0.005,1,2021,0.20894099911903816
-0.005,1,2022,0.14451857937280393
-0.005,1,2023,0.24047510027442506
-0.005,1,2024,0.1485058023917232
-0.005,1,2025,0.2831798819198161
-0.005,1,2026,0.5499078411401989
-0.005,2,2020,0.38581804962096217
-0.005,2,2021,0.17590251410694796
-0.005,2,2022,0.11229289758060017
-0.005,2,2023,0.20843020910259466
-0.005,2,2024,0.1148794631926399
-0.005,2,2025,0.2501265506154984
-0.005,2,2026,0.5399988502728789
-0.005,5,2020,0.31180875417890097
-0.005,5,2021,0.0768266854395111
-0.005,5,2022,0.015654503696386525
-0.005,5,2023,0.11233397023917746
-0.005,5,2024,0.01404077703671433
-0.005,5,2025,0.1510062008780287
-0.005,5,2026,0.5102837625175354
-0.005,10,2020,0.18855850892222753
-0.005,10,2021,-0.08816772653714508
-0.005,10,2022,-0.14528076364127362
-0.005,10,2023,-0.04769842754836675
-0.005,10,2024,-0.15388938262557267
-0.005,10,2025,-0.01406235357989943
-0.005,10,2026,0.4607981967950965
-0.01,-1,2020,0.43956406813450066
-0.01,-1,2021,0.5463734435926701
-0.01,-1,2022,0.22803302507994647
-0.01,-1,2023,0.3158123742769945
-0.01,-1,2024,0.47751921899431166
-0.01,-1,2025,0.3754773149481083
-0.01,-1,2026,0.6152818091554695
-0.01,0,2020,0.41827828389930055
-0.01,0,2021,0.5178670195463593
-0.01,0,2022,0.20139008276916354
-0.01,0,2023,0.2887519178477848
