threshold,extra_bps,year,net_pnl
-0.01,0,2024,0.4492265444179738
-0.01,0,2025,0.34720504671194563
-0.01,0,2026,0.6065596250120533
-0.01,1,2020,0.396996756395273
-0.01,1,2021,0.4893662962147879
-0.01,1,2022,0.1747524685140382
-0.01,1,2023,0.261696872968706
-0.01,1,2024,0.4209395278107548
-0.01,1,2025,0.3189384323640413
-0.01,1,2026,0.5978391851310398
-0.01,2,2020,0.3757194843456558
-0.01,2,2021,0.4608712718880784
-0.01,2,2022,0.14812018071647365
-0.01,2,2023,0.23464723801661913
-0.01,2,2024,0.3926581674756005
-0.01,2,2025,0.290677470208566
-0.01,2,2026,0.5891204889892553
-0.01,5,2020,0.3119131881632805
-0.01,5,2021,0.3754203758486769
-0.01,5,2022,0.06825526009774438
-0.01,5,2023,0.15353077650062524
-0.01,5,2024,0.3078480071422093
-0.01,5,2025,0.2059284799486314
-0.01,5,2026,0.562974857770666
-0.01,10,2020,0.205654351264149
-0.01,10,2021,0.2331160364903375
-0.01,10,2022,-0.0647465607528368
-0.01,10,2023,0.018444721208742867
-0.01,10,2024,0.16661070716640414
-0.01,10,2025,0.06479304861663156
-0.01,10,2026,0.5194336317552901
-0.015,-1,2020,0.5546728395896017
-0.015,-1,2021,0.5795997517282413
-0.015,-1,2022,0.23246281956677595
-0.015,-1,2023,0.21765302516152268
-0.015,-1,2024,0.4857693815516657
-0.015,-1,2025,0.6136732842414743
-0.015,-1,2026,0.5028830770064364
-0.015,0,2020,0.5359637759280528
-0.015,0,2021,0.555086283124758
-0.015,0,2022,0.20961861142367944
-0.015,0,2023,0.1980114587131366
-0.015,0,2024,0.46167463714979945
-0.015,0,2025,0.5895529616168919
-0.015,0,2026,0.49578321037769835
-0.015,1,2020,0.5172584537050908
-0.015,1,2021,0.530577716724777
-0.015,1,2022,0.18677897166537302
-0.015,1,2023,0.17837382018524822
-0.015,1,2024,0.4375847112149667
-0.015,1,2025,0.5654374625744767
-0.015,1,2026,0.48868476358030394
-0.015,2,2020,0.4985568717985114
-0.015,2,2021,0.5060740510579269
-0.015,2,2022,0.1639438989216157
-0.015,2,2023,0.1587401083997194
-0.015,2,2024,0.4134996023019138
-0.015,2,2025,0.5413267856674382
-0.015,2,2026,0.48158773618838674
-0.015,5,2020,0.44247455676171815
-0.015,5,2021,0.4325924437613283
-0.015,5,2022,0.09546606908343815
-0.015,5,2023,0.09986252172292905
-0.015,5,2024,0.341273163249613
-0.015,5,2025,0.46902367329944766
-0.015,5,2026,0.46030516618941825
-0.015,10,2020,0.3490787334187166
-0.015,10,2021,0.3102209758657812
-0.015,10,2022,-0.018572434752977592
-0.015,10,2023,0.0018116356188157129
-0.015,10,2024,0.22099197054211958
-0.015,10,2025,0.3486147938614258
-0.015,10,2026,0.4248625646027215
-0.02,-1,2020,0.35213580304964176
-0.02,-1,2021,0.5851117599991715
-0.02,-1,2022,0.16184083399283827
-0.02,-1,2023,0.13169421892484998
-0.02,-1,2024,0.3041168619438078
-0.02,-1,2025,0.6488270454473597
-0.02,-1,2026,0.4430008214898171
-0.02,0,2020,0.33646694277506195
-0.02,0,2021,0.5627969691262609
-0.02,0,2022,0.1434103088785523
-0.02,0,2023,0.11666938256470213
-0.02,0,2024,0.28565788446916945
-0.02,0,2025,0.6292992328195355
-0.02,0,2026,0.4365128701206563
-0.02,1,2020,0.3208012159591892
-0.02,1,2021,0.5404866407652757
-0.02,1,2022,0.12498346950071518
-0.02,1,2023,0.10164755087135885
-0.02,1,2024,0.26720259842088306
-0.02,1,2025,0.6097753253637201
-0.02,1,2026,0.4300262162120243
-0.02,2,2020,0.3051386216621774
-0.02,2,2021,0.5181807735777255
-0.02,2,2022,0.10656031475383113
-0.02,2,2023,0.08662872294360471
-0.02,2,2024,0.2487510026917409
-0.02,2,2025,0.5902553219085919
-0.02,2,2026,0.42354085937475877
-0.02,5,2020,0.2581696244914366
-0.02,5,2021,0.451289925678871
-0.02,5,2022,0.051312947250497315
-0.02,5,2023,0.041590252747053164
-0.02,5,2024,0.19341834635376753
-0.02,5,2025,0.5317187238412161
-0.02,5,2026,0.4040925674018981
-0.02,10,2020,0.1799505253069884
-0.02,10,2021,0.3398942778792675
-0.02,10,2022,-0.04069240902129444
-0.02,10,2023,-0.03341387294490984
-0.02,10,2024,0.10127095562908081
-0.02,10,2025,0.4342356978888366
-0.02,10,2026,0.37170465259794117
-0.025,-1,2020,0.1517477540865697
-0.025,-1,2021,0.2776797731171471
-0.025,-1,2022,0.2901986670723725
-0.025,-1,2023,0.16085130270080442
-0.025,-1,2024,0.2626461131834339
-0.025,-1,2025,0.4338844620563852
-0.025,-1,2026,0.3745663324889279
-0.025,0,2020,0.13871870744041925
-0.025,0,2021,0.2584261625235838
-0.025,0,2022,0.27614203300236634
-0.025,0,2023,0.14882033553698168
-0.025,0,2024,0.24839500907121081
-0.025,0,2025,0.4173993336768139
-0.025,0,2026,0.36929194666101317
-0.025,1,2020,0.12569226634304123
-0.025,1,2021,0.2391764022671085
-0.025,1,2022,0.26208820997806875
-0.025,1,2023,0.13679177432599518
-0.025,1,2024,0.23414675489481623
-0.025,1,2025,0.4009175019932489
-0.025,1,2026,0.3640186156047874
-0.025,2,2020,0.11266843001293088
-0.025,2,2021,0.21993049119284586
-0.025,2,2022,0.2480371971563389
-0.025,2,2023,0.12476561834620861
-0.025,2,2024,0.21990134979943937
-0.025,2,2025,0.3844389660168768
-0.025,2,2026,0.3587463390038813
-0.025,5,2020,0.07361254181579692
-0.025,5,2021,0.16221584152157206
-0.025,5,2022,0.20590101148013182
-0.025,5,2023,0.0887015745819272
-0.025,5,2024,0.17718222045645454
-0.025,5,2025,0.33502312244876015
-0.025,5,2026,0.3429358327712995
-0.025,10,2020,0.008571417315670293
-0.025,10,2021,0.06610163472634488
-0.025,10,2022,0.13573016080856246
-0.025,10,2023,0.02864287232912166
-0.025,10,2024,0.10604057348865775
-0.025,10,2025,0.2527292051380068
-0.025,10,2026,0.3166060486656892
-0.03,-1,2020,0.09400993884187345
-0.03,-1,2021,0.390190112172859
-0.03,-1,2022,0.28295344511841297
-0.03,-1,2023,0.0762679140641341
-0.03,-1,2024,0.24265984515419325
-0.03,-1,2025,0.5517067972540541
-0.03,-1,2026,0.33339797755902817
-0.03,0,2020,0.08339219862812824
-0.03,0,2021,0.3735137417874639
-0.03,0,2022,0.27089805996790556
-0.03,0,2023,0.06765352192053595
-0.03,0,2024,0.23061251791788748
-0.03,0,2025,0.5375978667876523
-0.03,0,2026,0.3289317445868136
-0.03,1,2020,0.07277658175009044
-0.03,1,2021,0.3568407063426544
-0.03,1,2022,0.2588450856533438
-0.03,1,2023,0.05904085248309539
-0.03,1,2024,0.2185675999061075
-0.03,1,2025,0.5234917578251932
-0.03,1,2026,0.32446640477187827
-0.03,2,2020,0.06216308757089048
-0.03,2,2021,0.34017100483814283
-0.03,2,2022,0.24679452145162512
-0.03,2,2023,0.050429905235106966
-0.03,2,2024,0.2065250903962274
-0.03,2,2025,0.5093884695203925
-0.03,2,2026,0.320001957846328
-0.03,5,2020,0.03033533486138837
-0.03,5,2021,0.2901818939695949
-0.03,5,2022,0.21065728229677885
-0.03,5,2023,0.02460739146384751
-0.03,5,2024,0.17041200565610748
-0.03,5,2025,0.46709552009421945
-0.03,5,2026,0.3066139717286579
-0.03,10,2020,-0.022668525045448706
-0.03,10,2021,0.20693329475093503
-0.03,10,2022,0.15047668522272098
-0.03,10,2023,-0.018395735865514448
-0.03,10,2024,0.11027163376620946
-0.03,10,2025,0.3966636053155561
-0.03,10,2026,0.2843184943478811
-0.04,-1,2020,0.1626466030288263
-0.04,-1,2021,0.16027399753184599
-0.04,-1,2022,0.2849968501598999
-0.04,-1,2023,0.04415975848330952
-0.04,-1,2024,0.03541189549563807
-0.04,-1,2025,0.32345434548570257
-0.04,-1,2026,0.2995686275932038
-0.04,0,2020,0.15521481688683542
-0.04,0,2021,0.148443125819511
-0.04,0,2022,0.2761407364012446
-0.04,0,2023,0.04035130737672373
-0.04,0,2024,0.027405613744714674
-0.04,0,2025,0.31219078097305836
-0.04,0,2026,0.2965090198284617
-0.04,1,2020,0.14778451695345146
-0.04,1,2021,0.13661462004492655
-0.04,1,2022,0.2672863936882357
-0.04,1,2023,0.03654361788419762
-0.04,1,2024,0.019400933090032567
-0.04,1,2025,0.3009294689480677
-0.04,1,2026,0.2934500239240869
-0.04,2,2020,0.14035570278290316
-0.04,2,2021,0.12478847949845034
-0.04,2,2022,0.2584338214896688
-0.04,2,2023,0.03273668977729387
-0.04,2,2024,0.011397853051357591
-0.04,2,2025,0.28967040873511796
-0.04,2,2026,0.29039163969655746
-0.04,5,2020,0.11807817039319879
-0.04,5,2021,0.08932424213554017
-0.04,5,2022,0.23188672267171237
-0.04,5,2023,0.021320471487293973
-0.04,5,2024,-0.012601788168068923
-0.04,5,2025,0.25590673221647015
-0.04,5,2026,0.2812201552409286
-0.04,10,2020,0.08097862344650615
-0.04,10,2021,0.03026441827542249
-0.04,10,2022,0.18767691874610132
-0.04,10,2023,0.0023086474219271395
-0.04,10,2024,-0.05256922264637934
-0.04,10,2025,0.19967891128080995
-0.04,10,2026,0.2659465642443899
-0.05,-1,2020,0.21773222743972528
-0.05,-1,2021,0.14913330570890004
-0.05,-1,2022,0.30327069221925423
-0.05,-1,2023,0.026915255720209585
-0.05,-1,2024,-0.13205573539605697
-0.05,-1,2025,0.12643168445546898
-0.05,-1,2026,0.35368352401835257
-0.05,0,2020,0.21208924529245266
-0.05,0,2021,0.14090430194813455
-0.05,0,2022,0.2968106840816244
-0.05,0,2023,0.025110053189318693
-0.05,0,2024,-0.138628666955821
-0.05,0,2025,0.1172073205549686
-0.05,0,2026,0.3512130343625144
-0.05,1,2020,0.20644739162876097
-0.05,1,2021,0.13267694382355824
-0.05,1,2022,0.2903519678164349
-0.05,1,2023,0.02330521166283328
-0.05,1,2024,-0.1452002840607181
-0.05,1,2025,0.10798480134277923
-0.05,1,2026,0.3487430387552033
-0.05,2,2020,0.20080666611017328
-0.05,2,2021,0.1244512308415787
-0.05,2,2022,0.2838945430362025
-0.05,2,2023,0.02150073103247485
-0.05,2,2024,-0.1517705871050073
-0.05,2,2025,0.09876412626560574
-0.05,2,2026,0.34627353704823305
-0.05,5,2020,0.18389125504228782
-0.05,5,2021,0.09978395781825589
-0.05,5,2022,0.26453001373272067
-0.05,5,2023,0.016089453436006873
-0.05,5,2024,-0.171473615814432
-0.05,5,2025,0.07111316031453907
-0.05,5,2026,0.3388679938484104
-0.05,10,2020,0.15572143461255072
-0.05,10,2021,0.05870469295323777
-0.05,10,2022,0.23228159180573976
-0.05,10,2023,0.007077865270859296
-0.05,10,2024,-0.2042857525363252
-0.05,10,2025,0.02506504818623133
-0.05,10,2026,0.3265352860421108
