mode,reserve_fraction,extra_bps,ending_equity,compounded_return,maximum_drawdown,maximum_drawdown_peak_date,maximum_drawdown_trough_date,maximum_drawdown_recovery_date,maximum_drawdown_duration_sessions,positive_months,negative_months,worst_month,worst_year,recent12_compounded_return,rebalance_sessions,trade_orders,turnover_on_starting_capital,sum_trade_notional_over_contemporaneous_nav,minimum_cash,maximum_gross_to_equity
weekly_equalize,0.0,0.0,17.25616212810825,16.25616212810825,0.4246105167621035,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15112879493033948,-0.17649221044357466,1.9766073415745535,316,1138,535.8602768079049,137.4918398178899,0.0,1.0
weekly_equalize,0.0,2.0,16.788063143867166,15.788063143867166,0.4251091530649861,2024-06-18,2024-09-06,2025-02-04,157,45,28,-0.15158844438561514,-0.18183181585064156,1.9657552385762878,316,1138,526.6808857535816,137.48118792174276,0.0,1.0
weekly_equalize,0.0,10.0,15.039232725278934,14.039232725278934,0.42960450026743713,2021-11-29,2022-10-24,2023-11-28,502,44,29,-0.15342395399468256,-0.2028456677916467,1.9227395895102166,316,1138,491.83573912563253,137.43916704051446,0.0,1.0
weekly_equalize,0.005,0.0,17.072602570208417,16.072602570208417,0.4228109229666176,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15040919928901175,-0.17539154853353334,1.9618951909152513,316,1138,530.2243126781046,136.80274179789808,0.0050000000000000044,0.9960394707446697
weekly_equalize,0.005,2.0,16.61176184203406,15.61176184203406,0.4233081964690728,2024-06-18,2024-09-06,2025-02-04,157,45,28,-0.15086680401023222,-0.18071156169715186,1.9511498136201357,316,1138,521.1922527730392,136.79210193068525,0.00500000000000006,0.9960394345410701
weekly_equalize,0.005,10.0,14.88947422712148,13.88947422712148,0.4277442701864016,2021-11-29,2022-10-24,2023-11-28,502,44,29,-0.15269415564949207,-0.20164994532288827,1.9085554145005843,316,1138,486.896636930566,136.7499729655326,0.0050000000000000044,0.9960392897681697
change_only,0.0,0.0,18.56810672200895,17.56810672200895,0.4211145863294271,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15100706530661667,-0.17507721856449,1.949448198347702,173,709,554.3330890913433,133.47121496239416,0.0,1.0
change_only,0.0,2.0,18.078944534940856,17.078944534940856,0.4215928552319341,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15146515580533282,-0.18039820669929496,1.9391374196147337,173,709,545.098385094999,133.46078517972308,0.0,1.0
change_only,0.0,10.0,16.24776790955322,15.247767909553222,0.42687821544986715,2021-11-29,2022-10-24,2023-11-20,497,45,28,-0.1532947461335561,-0.20134102156207945,1.8982489426827307,173,709,509.989402339396,133.41957979516462,0.0,1.0
change_only,0.005,0.0,18.344792870083502,17.344792870083502,0.41943201362140714,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15028410455912755,-0.17394895922689058,1.93532068235797,173,709,548.132779625826,132.80632404168188,0.0050000000000000044,0.996379666862464
change_only,0.005,2.0,17.863855274572497,16.863855274572497,0.41990886977920217,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15074007030008807,-0.1792504799108111,1.9251071245191222,173,709,539.0531784972516,132.79590847468447,0.00500000000000006,0.9963786700691358
change_only,0.005,10.0,16.06289396314989,15.06289396314989,0.4250430827288013,2021-11-29,2022-10-24,2023-11-20,497,45,28,-0.15256118005846353,-0.20011827941021398,1.884602697897269,173,709,504.524405097647,132.75462949885645,0.0050000000000000044,0.9963746813977374
