variant,threshold,additional_slippage_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,trade_count,quote_coverage_fraction,trade_evidence_fraction,median_entry_spread_bps,median_exit_spread_bps,median_entry_delay_ms,median_exit_delay_ms,top_5_day_profit_share,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
q50_0935_nbbo_slip2,q50,2,1.0332025408046608,0.19654923329098212,,True,134,1.0,1.0,4.776689754001223,4.970216066680335,2.3810000000000002,1.6175,0.5566863015619534,0.057400141155814516,6,0.06856128164351837,4,0.04289319442034587,3
q50_0935_nbbo_slip5,q50,5,0.952802540804661,0.2058745677158077,,True,134,1.0,1.0,4.776689754001223,4.970216066680335,2.3810000000000002,1.6175,0.6005123587535263,0.052933474489147835,7,0.06376128164351837,5,0.038193194420345876,4
q50_0935_nbbo_slip10,q50,10,0.8188025408046609,0.22279219220031043,,True,134,1.0,1.0,4.776689754001223,4.970216066680335,2.3810000000000002,1.6175,0.6926819018509467,0.04548903004470338,8,0.05576128164351835,6,0.030359861087012534,5
q60_0935_nbbo_slip2,q60,2,1.1459801680173094,0.1739817460456451,,True,108,1.0,1.0,4.491531727809848,4.881817303855721,2.7485,1.7905,0.5019019676405712,0.06366556488985056,5,0.07344502462447601,4,0.041824602731582915,3
q60_0935_nbbo_slip5,q60,5,1.0811801680173097,0.1807246304759945,,True,108,1.0,1.0,4.491531727809848,4.881817303855721,2.7485,1.7905,0.529208468792224,0.060065564889850535,6,0.069645024624476,5,0.0381746027315829,4
q60_0935_nbbo_slip10,q60,10,0.9731801680173096,0.1927198544232694,,True,108,1.0,1.0,4.491531727809848,4.881817303855721,2.7485,1.7905,0.5828003075324403,0.05406556488985053,6,0.06331169129114267,5,0.03209126939824956,4
