rule,trades,gross_additive_return,net_additive_return_2bp_side,mean_net_bp,green_rate_gross,max_drawdown,top_abs_trade_share,positive_test_years,test_years
close_top_quartile,252,1.4803825458594342,1.3795825458594342,54.74533912140611,0.5992063492063492,0.07507038431795286,0.04459611437355098,4,4
high_volume_1p5x,140,0.6284696539310776,0.5724696539310774,40.89068956650553,0.6071428571428571,0.1146700146721104,0.0653672810174072,3,4
mu_outperformed_smh,409,1.4483380169648625,1.2847380169648628,31.411687456353615,0.5574572127139364,0.10241120922888698,0.02843871173757881,3,4
mu_day_green,430,1.5223436313407963,1.3503436313407962,31.403340263739445,0.5558139534883721,0.08782081798496903,0.027841889546698684,4,4
last30_red,394,1.3374581265034446,1.1798581265034447,29.945637728513823,0.5609137055837563,0.13375767669260474,0.02310284356593946,4,4
green_day_last30_green,242,0.8154704854223926,0.7186704854223924,29.697127496793076,0.5495867768595041,0.13723714102492243,0.04691160357510525,3,4
smh_green,455,1.4088395297703822,1.2268395297703822,26.96350614879961,0.5494505494505495,0.16042304944071892,0.02666242421065711,4,4
qqq_green,460,1.3900686986954354,1.2060686986954354,26.2188847542486,0.5608695652173913,0.1765727135530629,0.02707987131016849,4,4
prior_overnight_green,454,1.2730696357934987,1.0914696357934985,24.04118140514314,0.526431718061674,0.25481902247216476,0.025589634974118862,3,4
all,833,2.0171639759746482,1.6839639759746485,20.2156539732851,0.5450180072028812,0.17930427349413988,0.014409510710732609,4,4
prior_overnight_red,379,0.7440943401811495,0.5924943401811495,15.63309604699603,0.5672823218997362,0.20483741584825144,0.018141959351892077,4,4
qqq_red,373,0.6270952772792129,0.4778952772792129,12.81220582517997,0.5254691689008043,0.24540135518631917,0.023408272753552246,3,4
smh_red,378,0.6083244462042661,0.45712444620426623,12.09323931757318,0.5396825396825397,0.20108107096155325,0.02383263240838006,3,4
last30_green,439,0.6797058494712036,0.5041058494712036,11.483048962897577,0.530751708428246,0.24959791437671916,0.027398371422157522,2,4
mu_underperformed_smh,424,0.5688259590097857,0.39922595900978575,9.415706580419474,0.5330188679245284,0.46242848689087207,0.022201827752788984,2,4
mu_day_red,403,0.49482034463385205,0.3336203446338524,8.27842046237847,0.533498759305211,0.3767535245543831,0.022701655169807943,2,4
close_bottom_quartile,209,0.008055281481277543,-0.07554471851872256,-3.6145798334317014,0.5167464114832536,0.48654267352414016,0.042491166264164146,2,4
red_day_high_volume,71,-0.01468028710481628,-0.04308028710481626,-6.067646071100882,0.5774647887323944,0.30434555160789806,0.1004963873842071,2,4
red_day_last30_green,197,-0.13576463595118904,-0.21456463595118894,-10.891605885847156,0.5076142131979695,0.3955499708940033,0.02923834921357387,2,4
