variant,exit_rule,trade_symbols,lookback,market_sma,holding_sessions,entry_delay_sessions,cost_bps_per_side,breadth,require_positive_momentum,require_market_trend,full_net,full_max_dd,full_recovery_days,full_utilization,full_turnover,full_beta,exit_reason_counts,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_max_dd,18m_recovery_days,18m_decisions,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_max_dd,15m_recovery_days,15m_decisions,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_max_dd,12m_recovery_days,12m_decisions
sma20_fixed_cost5,fixed,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,3.975305593033899,0.2851133827512367,599,0.7654723127035831,282.0,3.2040232763940657,"{""max_holding"": 253}",0.692123826466549,0.03845132369258606,0.012811456173691423,8,0.9025659224406348,319,29,0.8360665490290091,0.05573776993526727,0.06134829316133182,6,0.7703365881605053,174,24,1.4867505919208246,0.12389588266006869,0.13754576589359013,3,0.13857551065856663,78,20
sma20_market_cost5,market,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,2.600793615113222,0.21901349825753225,444,0.5700325732899023,282.0,3.1384933560180257,"{""market"": 25, ""market_and_fund"": 87, ""max_holding"": 141}",0.40947590220695557,0.02274866123371976,-0.001015034034884156,9,0.42611357486348034,188,29,0.8208938859575707,0.05472625906383804,0.011636336001482757,6,0.21159734664349591,183,24,0.8607678796865159,0.071730656640543,0.018327325441921827,4,0.20707555754442414,183,20
sma20_fund_momentum_cost5,fund_momentum,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,1.0135672100873856,0.49301007265792857,1493,0.3930510314875136,282.0,2.698643894663425,"{""fund_momentum"": 157, ""market_and_fund"": 52, ""max_holding"": 44}",0.02473556288709375,0.0013741979381718733,-0.029643034323130153,10,0.5654703326681675,531,29,0.35349340911062904,0.023566227274041944,0.014357349087592307,7,0.28358305999731914,175,24,0.5902058955552613,0.04918382462960511,0.03905480525280233,4,0.18527639427298365,175,20
sma20_either_cost5,either,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,1.0043401678378656,0.4684046561754204,1262,0.3737785016286645,282.0,2.595262654396737,"{""fund_momentum"": 154, ""market"": 24, ""market_and_fund"": 33, ""max_holding"": 42}",0.12749784409459,0.007083213560810554,-0.007721768651736224,9,0.46877548414135073,526,29,0.4578941601106751,0.03052627734071168,0.0143112027429705,6,0.19128801552249552,260,24,0.5962733282359407,0.04968944401966172,0.025296230014267482,3,0.1679841810012071,260,20
sma20_fixed_cost20,fixed,"('TQQQ', 'SOXL')",5,20,10,1,20.0,2,True,True,3.552305593033899,0.29341208412424885,794,0.7654723127035831,282.0,3.2024440810681387,"{""max_holding"": 253}",0.603623826466549,0.033534657025919394,0.006811456173691419,9,0.9238257004896779,328,29,0.762566549029009,0.050837769935267264,0.055348293161331816,7,0.7772965461321683,208,24,1.425250591920825,0.11877088266006874,0.13154576589359013,4,0.14091608105504944,78,20
sma20_market_cost20,market,"('TQQQ', 'SOXL')",5,20,10,1,20.0,2,True,True,2.1777936151132224,0.23922184710928238,664,0.5700325732899023,282.0,3.1383817965771232,"{""market"": 25, ""market_and_fund"": 87, ""max_holding"": 141}",0.32097590220695543,0.017831994567053085,-0.004765034034884159,9,0.4534951426256847,188,29,0.7488938859575707,0.04992625906383805,0.005636336001482754,6,0.23061318085662438,183,24,0.7992678796865159,0.06660565664054299,0.012327325441921822,4,0.22426481655412905,183,20
sma20_fund_momentum_cost20,fund_momentum,"('TQQQ', 'SOXL')",5,20,10,1,20.0,2,True,True,0.5905672100873854,0.5320378381528222,1493,0.3930510314875136,282.0,2.701761113230762,"{""fund_momentum"": 157, ""market_and_fund"": 52, ""max_holding"": 44}",-0.06226443711290633,-0.003459135395161461,-0.032884744382848635,10,0.5909703326681676,539,29,0.28149340911062903,0.01876622727404194,0.006857349087592297,7,0.29194299473005675,260,24,0.5287058955552613,0.04405882462960511,0.03342980525280234,4,0.20340653718030374,260,20
sma20_either_cost20,either,"('TQQQ', 'SOXL')",5,20,10,1,20.0,2,True,True,0.5813401678378652,0.5094454730261201,1262,0.3737785016286645,282.0,2.5985672771594777,"{""fund_momentum"": 154, ""market"": 24, ""market_and_fund"": 33, ""max_holding"": 42}",0.0404978440945899,0.0022498802274772164,-0.010721768651736227,9,0.4942754841413508,530,29,0.38589416011067507,0.025726277340711676,0.006857349087592297,6,0.22212803805790385,260,24,0.5347733282359407,0.044564444019661725,0.019648156841956584,3,0.1991998835782828,260,20
sma50_fixed_cost5,fixed,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,3.3034777916938256,0.3688021914757212,821,0.7220412595005429,266.0,3.237387385447646,"{""max_holding"": 228}",1.1893550548745555,0.06607528082636421,0.017053146518343873,6,0.31550651032647914,104,28,1.2156551792096455,0.08104367861397638,0.05382423095470161,5,0.3083510705424661,83,23,1.36935830932197,0.11411319244349749,0.12035421934597171,3,0.15181624541522293,79,21
sma50_market_cost5,market,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,3.217924745152043,0.32898823798841303,1072,0.6216069489685125,266.0,3.2763194535724547,"{""market"": 8, ""market_and_fund"": 50, ""max_holding"": 170}",1.1340779980752587,0.06300433322640325,0.015600573366488308,4,0.16186440128901733,170,28,1.1632832687140595,0.07755221791427065,0.02089854945002198,3,0.15778794504686344,170,23,1.1423847192640377,0.09519872660533646,0.045724327707604456,3,0.14162540247704133,170,21
