formation,residual_absolute,stock_surprise_threshold,hold,candidate_events,portfolio_events,portfolio_clusters,net,net_ex_20250407,max_drawdown,recovery_days,unresolved,positive_event_fraction,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_events,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_events,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_events
45,0.06,10.0,30,52,49,46,0.11879585226712458,-0.047466558169168935,0.17191631732731924,386,True,0.6326530612244898,0.11879585226712461,0.0065997695703958114,0.0034619089313411852,6,0,49,0.11385730755646911,0.007590487170431274,0.0033286297244811136,5,0,45,0.06935234025296974,0.005779361687747478,0.0038302116367932033,4,0,36
45,0.06,10.0,15,52,49,46,0.09166056178763346,-0.0910372949110411,0.14831707293051238,386,True,0.5510204081632653,0.09166056178763345,0.005092253432646302,0.00348244719344676,9,0,49,0.08187743102559049,0.005458495401706033,-0.002312207305650847,8,0,45,0.01699407053061506,0.0014161725442179216,-0.0024737638056387366,7,0,36
45,0.06,8.0,15,70,67,63,0.09432940909642562,-0.08836844760224893,0.15990216507113253,386,True,0.5373134328358209,0.09432940909642566,0.0052405227275792035,0.012053823669168353,7,0,67,0.07541056767392942,0.005027371178261962,0.011490185246797015,6,0,61,-0.029866150089919576,-0.0024888458408266314,0.006149222353853738,5,0,46
45,0.06,10.0,60,52,49,46,0.10754684675296705,-0.09460147839325378,0.23715013064406526,386,True,0.5714285714285714,0.10754684675296705,0.005974824819609281,0.013250121039087683,8,0,49,0.055382039924497806,0.0036921359949665202,0.01227419647739192,7,0,45,0.050014632149291416,0.004167886012440951,0.01492680092179971,5,0,36
45,0.06,6.0,15,106,102,93,-0.004144155106164702,-0.13447723063008238,0.16614965989644445,386,True,0.5294117647058824,-0.004144155106164681,-0.0002302308392313712,0.009054204801874636,5,0,102,0.034828231394960205,0.002321882092997347,0.011121971006515137,4,0,92,-0.03454346837245548,-0.0028786223643712896,0.002229808435211176,4,0,65
45,0.06,10.0,5,52,49,46,0.037752493761651226,-0.05096761642502336,0.08767753695431371,386,True,0.5510204081632653,0.037752493761651254,0.002097360764536181,0.001133227555664031,9,0,49,0.028497195245771115,0.001899813016384741,-0.0005528219971055997,8,0,45,-0.016446686351714198,-0.001370557195976183,-0.005034829227804369,8,0,36
45,0.06,8.0,30,70,66,62,0.10347648786149871,-0.06278592257479482,0.18071851626822036,386,True,0.5606060606060606,0.10347648786149874,0.005748693770083264,0.010472252937530409,7,0,66,0.027006691243671922,0.0018004460829114616,0.0007031161738045855,7,0,60,-0.01934924397537778,-0.0016124369979481485,0.003915024386323301,6,0,45
15,0.06,6.0,5,59,54,50,0.018586229791206187,0.023629934565615983,0.12782265245997051,388,True,0.5,0.0185862297912062,0.0010325683217336779,-0.0073790314595022465,11,1,54,0.023030511990665546,0.0015353674660443697,-0.007735341082123365,9,1,48,-0.11860973975920111,-0.009884144979933425,-0.008876392309187351,9,1,25
45,0.06,8.0,5,70,68,64,-0.016599013920126048,-0.10531912410680064,0.0951100294979206,386,True,0.4852941176470588,-0.016599013920126006,-0.0009221674400070003,-0.0001416813121126667,9,0,68,0.015691614929218514,0.001046107661947901,0.000387119204070311,7,0,61,-0.020520070863437427,-0.0017100059052864523,-0.0001416813121126667,6,0,46
120,0.06,8.0,60,64,55,54,0.0535847737700324,0.010086091567230338,0.1645674263161443,387,True,0.45454545454545453,0.0535847737700324,0.0029769318761129113,-0.004278039547691953,11,2,55,0.014685875158136547,0.0009790583438757698,-0.004454771404326369,9,2,47,-0.02524516990988669,-0.0021037641591572244,-0.004278039547691953,7,2,37
