top_n,starting_equity,ending_equity,compounded_return,maximum_drawdown,drawdown_peak,drawdown_trough,rebalance_sessions_full_history,minimum_cash,maximum_gross_to_equity
1,2.902523553559455,11.257308565502857,2.878455543176443,0.5107736055527189,2026-06-18,2026-07-28,76,0.005000000000000081,0.9977663902736005
2,6.205783490847086,22.541249292135827,2.6322970863198707,0.43091839886617045,2026-06-18,2026-07-29,129,0.005000000000000081,0.9971851751654297
3,7.754544994629981,25.141112723959562,2.242113204755375,0.4078072978745625,2026-06-18,2026-07-29,179,0.005000000000000081,0.9965028369906582
4,6.166630714557412,19.694517010542455,2.193724080809655,0.37055971689705347,2026-06-18,2026-07-16,230,0.005000000000000081,0.9964563020513918
5,4.255258394757066,11.959999502961551,1.8106400113557268,0.3677954743629649,2026-06-18,2026-07-16,233,0.005000000000000081,0.9962772385077578
6,2.9613128009473653,8.624185226387668,1.9122844515542807,0.3693194784055903,2026-06-18,2026-07-28,269,0.005000000000000081,0.9961624649125675
7,3.0683042924741617,9.133436432714381,1.9767049034597322,0.37491198809045445,2026-06-18,2026-07-28,268,0.005000000000000303,0.9962826208479557
8,3.231559284870289,9.178153319202776,1.8401624448524316,0.3538684498676592,2026-06-18,2026-07-28,276,0.005000000000000081,0.9965748773439626
9,3.2641576170590354,9.022095245026172,1.7639888459660122,0.34884924987712584,2026-06-18,2026-07-28,282,0.005000000000000081,0.9960379665314434
10,3.247446423496434,8.114592397298386,1.4987609768051642,0.34759751457876276,2026-06-18,2026-07-28,289,0.005000000000000081,0.9958072100522455
11,3.1613138941905685,8.282023627408035,1.6198042663930363,0.3219666469638639,2026-06-18,2026-07-28,293,0.005000000000000081,0.9957656980076612
12,2.892027206893049,7.25715037040513,1.5093644876880679,0.3194819028849415,2026-06-18,2026-07-28,299,0.005000000000000081,0.9959261020653276
13,2.92980437876256,6.5230765056260465,1.2264546236978289,0.3183310220523877,2026-06-18,2026-07-28,292,0.005000000000000081,0.995668249439673
14,2.9100817937121897,6.2384913800468125,1.14375121466562,0.3046700798308427,2026-06-18,2026-07-28,297,0.005000000000000192,0.9957095563933328
15,2.983689583147053,6.24389441078851,1.0926756074278843,0.289610170682859,2026-06-18,2026-07-28,297,0.005000000000000081,0.9957095334873703
16,2.9336863582401214,5.795193508451579,0.9753964128353643,0.2801151450038031,2026-06-18,2026-07-28,312,0.005000000000000081,0.9957233211229852
17,2.951168390675896,5.644459621281138,0.9126186222089505,0.2752574625194033,2026-06-18,2026-07-28,309,0.005000000000000081,0.9957192758154834
18,2.948655775137178,5.44945391011795,0.8481146412773222,0.26867442252163576,2026-06-18,2026-07-28,308,0.005000000000000081,0.9957298078800364
19,2.948422484354632,5.496485613616327,0.8642123517856128,0.25131130279175895,2026-06-18,2026-07-28,315,0.005000000000000081,0.9957053482378952
20,2.949793818173902,5.205160031121601,0.7645843580836793,0.24539542088945687,2026-06-18,2026-07-28,312,0.005000000000000081,0.9956992489109374
