portfolio,execution,period_type,period,net_return
fixed_50_50,primary_250ms_2bp,weekly,2020-05-09/2020-05-15,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-05-16/2020-05-22,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-05-23/2020-05-29,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-05-30/2020-06-05,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-06-06/2020-06-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-06-13/2020-06-19,-0.0115309805772809
fixed_50_50,primary_250ms_2bp,weekly,2020-06-20/2020-06-26,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-06-27/2020-07-03,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-07-04/2020-07-10,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-07-11/2020-07-17,0.00022717894935875
fixed_50_50,primary_250ms_2bp,weekly,2020-07-18/2020-07-24,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-07-25/2020-07-31,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-08-01/2020-08-07,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-08-08/2020-08-14,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-08-15/2020-08-21,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-08-22/2020-08-28,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-08-29/2020-09-04,0.008896402198598052
fixed_50_50,primary_250ms_2bp,weekly,2020-09-05/2020-09-11,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-09-12/2020-09-18,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-09-19/2020-09-25,-0.0008664193021472
fixed_50_50,primary_250ms_2bp,weekly,2020-09-26/2020-10-02,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-10-03/2020-10-09,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-10-10/2020-10-16,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-10-17/2020-10-23,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-10-24/2020-10-30,-0.0021832935000301
fixed_50_50,primary_250ms_2bp,weekly,2020-10-31/2020-11-06,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-11-07/2020-11-13,0.00654660720937005
fixed_50_50,primary_250ms_2bp,weekly,2020-11-14/2020-11-20,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-11-21/2020-11-27,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-11-28/2020-12-04,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-12-05/2020-12-11,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-12-12/2020-12-18,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-12-19/2020-12-25,0.0
fixed_50_50,primary_250ms_2bp,weekly,2020-12-26/2021-01-01,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-01-02/2021-01-08,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-01-09/2021-01-15,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-01-16/2021-01-22,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-01-23/2021-01-29,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-01-30/2021-02-05,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-02-06/2021-02-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-02-13/2021-02-19,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-02-20/2021-02-26,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-02-27/2021-03-05,0.03179871010159885
fixed_50_50,primary_250ms_2bp,weekly,2021-03-06/2021-03-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-03-13/2021-03-19,-0.00802680627185525
fixed_50_50,primary_250ms_2bp,weekly,2021-03-20/2021-03-26,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-03-27/2021-04-02,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-04-03/2021-04-09,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-04-10/2021-04-16,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-04-17/2021-04-23,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-04-24/2021-04-30,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-05-01/2021-05-07,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-05-08/2021-05-14,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-05-15/2021-05-21,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-05-22/2021-05-28,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-05-29/2021-06-04,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-06-05/2021-06-11,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-06-12/2021-06-18,-0.0054785596521607
fixed_50_50,primary_250ms_2bp,weekly,2021-06-19/2021-06-25,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-06-26/2021-07-02,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-07-03/2021-07-09,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-07-10/2021-07-16,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-07-17/2021-07-23,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-07-24/2021-07-30,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-07-31/2021-08-06,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-08-07/2021-08-13,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-08-14/2021-08-20,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-08-21/2021-08-27,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-08-28/2021-09-03,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-09-04/2021-09-10,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-09-11/2021-09-17,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-09-18/2021-09-24,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-09-25/2021-10-01,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-10-02/2021-10-08,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-10-09/2021-10-15,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-10-16/2021-10-22,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-10-23/2021-10-29,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-10-30/2021-11-05,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-11-06/2021-11-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-11-13/2021-11-19,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-11-20/2021-11-26,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-11-27/2021-12-03,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-12-04/2021-12-10,0.0
fixed_50_50,primary_250ms_2bp,weekly,2021-12-11/2021-12-17,0.018816692713426
fixed_50_50,primary_250ms_2bp,weekly,2021-12-18/2021-12-24,0.0063227721808214
fixed_50_50,primary_250ms_2bp,weekly,2021-12-25/2021-12-31,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-01-01/2022-01-07,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-01-08/2022-01-14,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-01-15/2022-01-21,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-01-22/2022-01-28,0.0597159369950064
fixed_50_50,primary_250ms_2bp,weekly,2022-01-29/2022-02-04,-0.0147637326132835
fixed_50_50,primary_250ms_2bp,weekly,2022-02-05/2022-02-11,0.011597895013272
fixed_50_50,primary_250ms_2bp,weekly,2022-02-12/2022-02-18,-0.0014624001191173
fixed_50_50,primary_250ms_2bp,weekly,2022-02-19/2022-02-25,-0.008761781360845801
fixed_50_50,primary_250ms_2bp,weekly,2022-02-26/2022-03-04,0.0053917810089739
fixed_50_50,primary_250ms_2bp,weekly,2022-03-05/2022-03-11,-0.0172819965616164
fixed_50_50,primary_250ms_2bp,weekly,2022-03-12/2022-03-18,-0.0134913986738412
fixed_50_50,primary_250ms_2bp,weekly,2022-03-19/2022-03-25,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-03-26/2022-04-01,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-04-02/2022-04-08,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-04-09/2022-04-15,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-04-16/2022-04-22,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-04-23/2022-04-29,0.01482654584357975
fixed_50_50,primary_250ms_2bp,weekly,2022-04-30/2022-05-06,-0.011212860424580603
fixed_50_50,primary_250ms_2bp,weekly,2022-05-07/2022-05-13,0.04152213154149985
fixed_50_50,primary_250ms_2bp,weekly,2022-05-14/2022-05-20,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-05-21/2022-05-27,0.010926485166896052
fixed_50_50,primary_250ms_2bp,weekly,2022-05-28/2022-06-03,-0.01718701088378865
fixed_50_50,primary_250ms_2bp,weekly,2022-06-04/2022-06-10,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-06-11/2022-06-17,0.07182500372887886
fixed_50_50,primary_250ms_2bp,weekly,2022-06-18/2022-06-24,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-06-25/2022-07-01,0.0176154021952265
fixed_50_50,primary_250ms_2bp,weekly,2022-07-02/2022-07-08,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-07-09/2022-07-15,0.00353553295457615
fixed_50_50,primary_250ms_2bp,weekly,2022-07-16/2022-07-22,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-07-23/2022-07-29,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-07-30/2022-08-05,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-08-06/2022-08-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-08-13/2022-08-19,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-08-20/2022-08-26,0.0175563314207908
fixed_50_50,primary_250ms_2bp,weekly,2022-08-27/2022-09-02,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-09-03/2022-09-09,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-09-10/2022-09-16,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-09-17/2022-09-23,-0.0483808946386657
fixed_50_50,primary_250ms_2bp,weekly,2022-09-24/2022-09-30,0.0035804096876315
fixed_50_50,primary_250ms_2bp,weekly,2022-10-01/2022-10-07,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-10-08/2022-10-14,-0.003352386645891898
fixed_50_50,primary_250ms_2bp,weekly,2022-10-15/2022-10-21,0.0006822995506812
fixed_50_50,primary_250ms_2bp,weekly,2022-10-22/2022-10-28,0.018620137877813248
fixed_50_50,primary_250ms_2bp,weekly,2022-10-29/2022-11-04,0.0080731792801348
fixed_50_50,primary_250ms_2bp,weekly,2022-11-05/2022-11-11,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-11-12/2022-11-18,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-11-19/2022-11-25,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-11-26/2022-12-02,0.00023692813884765
fixed_50_50,primary_250ms_2bp,weekly,2022-12-03/2022-12-09,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-12-10/2022-12-16,0.0222944590481923
fixed_50_50,primary_250ms_2bp,weekly,2022-12-17/2022-12-23,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-12-24/2022-12-30,0.0
fixed_50_50,primary_250ms_2bp,weekly,2022-12-31/2023-01-06,-0.0032036914891719996
fixed_50_50,primary_250ms_2bp,weekly,2023-01-07/2023-01-13,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-01-14/2023-01-20,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-01-21/2023-01-27,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-01-28/2023-02-03,0.0068663760560842
fixed_50_50,primary_250ms_2bp,weekly,2023-02-04/2023-02-10,-0.0251828645915235
fixed_50_50,primary_250ms_2bp,weekly,2023-02-11/2023-02-17,0.0
