execution,variant,trades,weighted_return,mean_unweighted_trade_bps
primary_250ms_2bp,QQQ_TQQQ_SQQQ_reversal_t40_h15_one_bar_opposite_ov0,206,0.30980811039997835,30.07845732038625
primary_250ms_2bp,SMH_SOXL_SOXS_reversal_t50_h20_none_ov20,108,0.32636179423051537,60.437369301947285
stress_1000ms_5bp,QQQ_TQQQ_SQQQ_reversal_t40_h15_one_bar_opposite_ov0,206,0.2545260114104425,24.71126324373228
stress_1000ms_5bp,SMH_SOXL_SOXS_reversal_t50_h20_none_ov20,108,0.28762947544840783,53.264717675631076
