variant,trade_symbols,lookback,market_sma,holding_sessions,entry_delay_sessions,cost_bps_per_side,breadth,require_positive_momentum,require_market_trend,require_all_funds_positive,require_qqq_positive_lookback,require_sma_rising,require_orderly_volatility,require_trend_efficiency,weight_scheme,volatility_scaling,full_net,full_max_dd,full_recovery_days,full_decisions,full_utilization,full_max_exposure,full_turnover,full_beta,full_top_symbol_share,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_max_dd,18m_recovery_days,18m_decisions,18m_symbol_net,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_max_dd,15m_recovery_days,15m_decisions,15m_symbol_net,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_max_dd,12m_recovery_days,12m_decisions,12m_symbol_net
sma20_equal,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,True,False,False,equal,none,3.7379897667071695,0.2583008505067076,434,122,0.6623235613463626,1.0,244.0,3.2123095522172243,0.5007698748514773,1.103118226557752,0.06128434591987512,0.012644968938298893,5,0.34018596678796326,187,25,"{""SOXL"": 0.7016591316971128, ""TQQQ"": 0.2828158552354721}",1.2887839776050631,0.08591893184033755,0.02245166559856991,3,0.12704990787040957,85,20,"{""SOXL"": 0.9353355514714043, ""TQQQ"": 0.34293820948520526}",1.2663323120064933,0.10552769266720778,0.112424869400546,3,0.12847106283759877,85,19,"{""SOXL"": 0.9126923867781858, ""TQQQ"": 0.35363992522830756}"
sma20_inverse_vol,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,True,False,False,inverse_vol,none,3.5705923772814394,0.2642617184290477,432,122,0.6623235613463626,1.0,244.0,3.114323230256377,0.5768505684753407,0.9765991614073799,0.054255508967076656,0.006281222734880708,6,0.307448014127259,170,25,"{""SOXL"": 0.5154069085114443, ""TQQQ"": 0.3425490132707683}",1.1230290843203656,0.0748686056213577,0.012562445469761416,4,0.12898958875540967,170,20,"{""SOXL"": 0.6970224810405113, ""TQQQ"": 0.4148343516628391}",1.1104666388506041,0.09253888657088367,0.10069014093136414,4,0.12981654993678474,170,19,"{""SOXL"": 0.6815442485276966, ""TQQQ"": 0.4289223903229077}"
sma20_soxl_cap50,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,True,False,False,soxl_cap50,none,3.524745265940564,0.26424839933145217,432,122,0.6433224755700325,1.0,237.0,3.102605556459884,0.5310660846211677,1.0185246115793554,0.056584700643297535,0.012644968938298893,5,0.34018596678796326,187,25,"{""SOXL"": 0.6170655167187162, ""TQQQ"": 0.2828158552354721}",1.2041903626266666,0.08027935750844443,0.02245166559856991,3,0.13257562730677241,85,20,"{""SOXL"": 0.8507419364930078, ""TQQQ"": 0.34293820948520526}",1.1817386970280968,0.0984782247523414,0.1171076335302059,3,0.13412384292749,85,19,"{""SOXL"": 0.8280987717997892, ""TQQQ"": 0.35363992522830756}"
sma20_equal_scaled,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,True,False,False,equal,qqq_median_ratio,3.1476609095349812,0.23717582136146703,448,122,0.6070978344588679,1.0,223.65484221464692,2.820623660207871,0.5171681306748364,0.8643697262071465,0.04802054034484148,0.009884388998991704,5,0.29735828598954106,229,25,"{""SOXL"": 0.5512938419894935, ""TQQQ"": 0.1944326445924858}",1.0090213906485535,0.06726809270990358,0.020662218001708144,3,0.14035317753264148,85,20,"{""SOXL"": 0.7530776318088485, ""TQQQ"": 0.2463851565559527}",0.9883591726468455,0.08236326438723714,0.056928694704293105,3,0.14196780190693703,85,19,"{""SOXL"": 0.7320231516999307, ""TQQQ"": 0.2563360209469149}"
sma20_inverse_vol_scaled,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,True,False,False,inverse_vol,qqq_median_ratio,2.9866322792798536,0.2273228861006781,448,122,0.6070978344588679,1.0,223.65484221464698,2.734339761594638,0.5941137504111006,0.7528611566190899,0.041825619812171665,0.005726675387242697,6,0.27630346295906183,190,25,"{""SOXL"": 0.40108417337556307, ""TQQQ"": 0.2331337436183595}",0.8640060281210423,0.05760040187473616,0.011453350774485394,4,0.14247862441470835,170,20,"{""SOXL"": 0.5584115444874561, ""TQQQ"": 0.29543378824613475}",0.8525526773465568,0.0710460564455464,0.05895582839786945,4,0.14340408623386827,170,19,"{""SOXL"": 0.5440192922127614, ""TQQQ"": 0.3085333851337957}"
sma20_soxl_cap50_scaled,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,True,False,False,soxl_cap50,qqq_median_ratio,2.9563210069594996,0.24398427103631748,439,122,0.5886249119207558,1.0,216.84941755160645,2.7151142187267325,0.550640442885018,0.7797761112287499,0.04332089506826389,0.009884388998991704,5,0.29735828598954106,243,25,"{""SOXL"": 0.46670022701109687, ""TQQQ"": 0.1944326445924858}",0.9244277756701569,0.06162851837801046,0.020662218001708144,3,0.1472076273946291,85,20,"{""SOXL"": 0.6684840168304518, ""TQQQ"": 0.2463851565559527}",0.9037655576684489,0.07531379647237076,0.0704358358468759,3,0.14898480853993404,85,19,"{""SOXL"": 0.647429536721534, ""TQQQ"": 0.2563360209469149}"
sma50_equal,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,False,False,True,False,False,equal,none,2.5724242837936586,0.3835781520529808,588,122,0.6623235613463626,1.0,244.0,3.1813439069789693,0.5640500198861905,0.6531352137022821,0.0362852896501268,0.00243553143950323,6,0.4091384157242427,245,25,"{""SOXL"": 0.5569734634656981, ""TQQQ"": 0.11471025559473419}",0.7457948261911798,0.049719655079411985,0.0,5,0.37092604328015905,140,20,"{""SOXL"": 0.6481090840053578, ""TQQQ"": 0.09768574218582171}",0.8994979563035039,0.074958163025292,0.03727699686227975,3,0.14144495320361056,92,18,"{""SOXL"": 0.7273050427613029, ""TQQQ"": 0.1721929135422009}"
sma50_inverse_vol,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,False,False,True,False,False,inverse_vol,none,2.321196080702097,0.38974778709482677,604,122,0.6623235613463626,1.0,244.0,3.100057355504406,0.6224965792213457,0.5101595909106522,0.02834219949503624,0.0002661239198956597,6,0.3768227358812474,250,25,"{""SOXL"": 0.37992215953448305, ""TQQQ"": 0.14878593673431925}",0.5844789468308849,0.03896526312205899,0.0,5,0.3453168786550866,140,20,"{""SOXL"": 0.4474640604654242, ""TQQQ"": 0.13701488636546058}",0.7329408243295479,0.061078402027462314,0.02627615589083177,3,0.14703923019566578,92,18,"{""SOXL"": 0.49279145457878293, ""TQQQ"": 0.2401493697507647}"
sma50_soxl_cap50,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,False,False,True,False,False,soxl_cap50,none,3.045080612789344,0.32662559393232393,599,122,0.6378935939196525,1.0,235.0,2.9482169615427787,0.63171802064811,0.6624094663813572,0.036800525910075405,0.00243553143950323,6,0.3996639398165073,140,25,"{""SOXL"": 0.5569734634656981, ""TQQQ"": 0.11471025559473419}",0.7457948261911798,0.049719655079411985,0.0,5,0.37092604328015905,140,20,"{""SOXL"": 0.6481090840053578, ""TQQQ"": 0.09768574218582171}",0.8994979563035039,0.074958163025292,0.03727699686227975,3,0.14144495320361056,92,18,"{""SOXL"": 0.7273050427613029, ""TQQQ"": 0.1721929135422009}"
sma50_equal_scaled,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,False,False,True,False,False,equal,qqq_median_ratio,2.236502141970548,0.3934331170202965,571,122,0.6162911481143225,1.0,227.04165896531634,2.8762459526371402,0.5251912674757533,0.6235092484005709,0.0346394026889206,0.00243553143950323,6,0.3894698597241965,245,25,"{""SOXL"": 0.5460807626250768, ""TQQQ"": 0.09597699113364419}",0.7054682468255368,0.04703121645503578,0.0,5,0.34922078586430205,139,20,"{""SOXL"": 0.6209667699835604, ""TQQQ"": 0.08450147684197626}",0.8817164114635093,0.07347636762195912,0.027761464283415083,3,0.14018975884964924,92,18,"{""SOXL"": 0.7161978179406959, ""TQQQ"": 0.16551859352281328}"
