selector,leg,bps_per_side,net_return,maximum_drawdown,worst_month,positive_months,negative_months,active_sessions,green_sessions,red_sessions,mean_active_day,recent12_return,early_return,late_return,top5_positive_day_share
weekly_carried,intraday,-1,1.2746149173256103,0.2510456297989302,-0.23755613243389517,40,33,1521,804,717,0.0008380111225020449,0.3396003872996195,0.6250419097210986,0.6495730076045119,0.04630606296767238
weekly_carried,intraday,0,0.9704149173256111,0.3002628828191073,-0.24195613243389516,40,33,1521,799,722,0.0006380111225020453,0.28940038729961953,0.4588419097210989,0.511573007604512,0.04677392850086608
weekly_carried,intraday,1,0.6662149173256113,0.3733450121740488,-0.24635613243389515,40,33,1521,795,726,0.00043801112250204543,0.23920038729961957,0.292641909721099,0.3735730076045123,0.04724969061393006
weekly_carried,intraday,2,0.36201491732561136,0.486945774452368,-0.25075613243389516,40,33,1521,787,734,0.0002380111225020455,0.18900038729961952,0.12644190972109912,0.23557300760451216,0.0477321070011982
weekly_carried,intraday,5,-0.5505850826743895,1.0397799957821128,-0.26395613243389515,37,36,1521,759,762,-0.0003619888774979551,0.038400387299619365,-0.3721580902789015,-0.17842699239548837,0.049213997257770384
weekly_carried,intraday,10,-2.07158508267439,2.1986806522203937,-0.28595613243389517,27,46,1521,732,789,-0.0013619888774979551,-0.21259961270038064,-1.2031580902789014,-0.8684269923954884,0.051804175517012926
weekly_carried,overnight,-1,2.994662109383353,0.0983654637598419,-0.15293563621494957,51,22,1521,860,661,0.001968877126484782,0.9493929538604322,1.3932161945789345,1.6014459148044184,0.052748208774102155
weekly_carried,overnight,0,2.690462109383353,0.1092173871433545,-0.1573356362149496,49,24,1521,845,675,0.001768877126484782,0.8991929538604322,1.2270161945789346,1.4634459148044185,0.05349768414124668
weekly_carried,overnight,1,2.3862621093833534,0.14586766191005818,-0.1617356362149496,47,26,1521,836,685,0.001568877126484782,0.8489929538604322,1.060816194578935,1.3254459148044184,0.05425795092330246
weekly_carried,overnight,2,2.082062109383353,0.19468693805195358,-0.1661356362149496,44,29,1521,826,695,0.0013688771264847822,0.7987929538604321,0.8946161945789348,1.1874459148044187,0.055035554765868945
weekly_carried,overnight,5,1.1694621093833526,0.3837566564877489,-0.1793356362149496,36,37,1521,795,726,0.0007688771264847814,0.6481929538604321,0.39601619457893433,0.7734459148044182,0.05743825467769122
weekly_carried,overnight,10,-0.3515378906166474,0.9126192129200313,-0.2013356362149496,30,43,1521,750,771,-0.00023112287351521838,0.3971929538604321,-0.4349838054210659,0.08344591480441824,0.06176170824783498
daily_refreshed,intraday,-1,1.713798611540647,0.20441389719236958,-0.21735834204244167,45,28,1524,810,714,0.0011245397713521305,0.33412980364764266,0.9913508252837313,0.7224477862569156,0.04535318906549342
daily_refreshed,intraday,0,1.4089986115406474,0.23337333122575077,-0.22175834204244166,45,28,1524,802,722,0.0009245397713521308,0.28392980364764275,0.8245508252837315,0.5844477862569155,0.04580338548292346
daily_refreshed,intraday,1,1.1041986115406477,0.28056323894827917,-0.22615834204244165,44,29,1524,798,726,0.000724539771352131,0.2337298036476428,0.6577508252837319,0.44644778625691584,0.04626000234936887
daily_refreshed,intraday,2,0.7993986115406477,0.3424053565776336,-0.23055834204244166,42,31,1524,794,730,0.0005245397713521312,0.18352980364764274,0.4909508252837318,0.308447786256916,0.046723502928344096
daily_refreshed,intraday,5,-0.11500138845935329,0.7242762992017691,-0.24375834204244168,40,33,1524,764,760,-7.546022864786967e-05,0.03292980364764256,-0.009449174716268882,-0.10555221374308466,0.04814759436452577
daily_refreshed,intraday,10,-1.6390013884593533,1.7630790292551954,-0.26575834204244164,29,44,1524,738,786,-0.0010754602286478698,-0.21807019635235753,-0.8434491747162689,-0.7955522137430847,0.05063990102736817
daily_refreshed,overnight,-1,2.982723684901573,0.09859942151104306,-0.1545331326207412,49,24,1524,864,660,0.0019571677722451265,0.9450784857872141,1.3691101191867894,1.6136135657147834,0.051879773372017504
daily_refreshed,overnight,0,2.6779236849015726,0.13156905182920575,-0.1589331326207412,46,27,1524,842,681,0.0017571677722451266,0.8948784857872142,1.2023101191867895,1.4756135657147833,0.052612483191269495
daily_refreshed,overnight,1,2.3731236849015733,0.1739615694087947,-0.16333313262074123,43,30,1524,836,688,0.0015571677722451265,0.844678485787214,1.0355101191867895,1.3376135657147834,0.0533552477393209
daily_refreshed,overnight,2,2.0683236849015727,0.2198786450437803,-0.1677331326207412,41,32,1524,827,697,0.0013571677722451264,0.794478485787214,0.8687101191867894,1.1996135657147835,0.05411273625975944
daily_refreshed,overnight,5,1.1539236849015724,0.40468385648204663,-0.1809331326207412,34,39,1524,798,726,0.0007571677722451261,0.6438784857872141,0.368310119186789,0.785613565714783,0.05647415631846963
daily_refreshed,overnight,10,-0.37007631509842764,0.923812736186303,-0.20293313262074122,29,44,1524,749,775,-0.00024283222775487375,0.39287848578721396,-0.46568988081321083,0.09561356571478302,0.06069436983050862
