symbol,session,window,candidate_events
AAPL,2024-12-04,morning,735
AAPL,2024-12-04,midday,407
AAPL,2025-01-08,morning,1008
AAPL,2025-01-08,midday,854
AAPL,2025-03-05,morning,1555
AAPL,2025-03-05,midday,468
AAPL,2025-04-02,morning,1082
AAPL,2025-04-02,midday,544
AAPL,2025-06-04,morning,862
AAPL,2025-06-04,midday,320
AAPL,2025-07-02,morning,1599
AAPL,2025-07-02,midday,483
AAPL,2025-09-03,morning,1565
AAPL,2025-09-03,midday,678
AAPL,2025-10-01,morning,790
AAPL,2025-10-01,midday,297
AAPL,2025-12-03,morning,834
AAPL,2025-12-03,midday,422
AAPL,2026-01-07,morning,1047
AAPL,2026-01-07,midday,395
AAPL,2026-02-04,morning,1779
AAPL,2026-02-04,midday,946
AAPL,2026-03-04,morning,1969
AAPL,2026-03-04,midday,595
MSFT,2024-12-04,morning,262
MSFT,2024-12-04,midday,66
MSFT,2025-01-08,morning,342
MSFT,2025-01-08,midday,128
MSFT,2025-03-05,morning,417
MSFT,2025-03-05,midday,242
MSFT,2025-04-02,morning,142
MSFT,2025-04-02,midday,89
MSFT,2025-06-04,morning,142
MSFT,2025-06-04,midday,92
MSFT,2025-07-02,morning,175
MSFT,2025-07-02,midday,95
MSFT,2025-09-03,morning,61
MSFT,2025-09-03,midday,322
MSFT,2025-10-01,morning,104
MSFT,2025-10-01,midday,128
MSFT,2025-12-03,morning,823
MSFT,2025-12-03,midday,245
MSFT,2026-01-07,morning,490
MSFT,2026-01-07,midday,205
MSFT,2026-02-04,morning,783
MSFT,2026-02-04,midday,367
MSFT,2026-03-04,morning,791
MSFT,2026-03-04,midday,607
AMZN,2024-12-04,morning,899
AMZN,2024-12-04,midday,229
AMZN,2025-01-08,morning,614
AMZN,2025-01-08,midday,545
AMZN,2025-03-05,morning,2801
AMZN,2025-03-05,midday,874
AMZN,2025-04-02,morning,1297
AMZN,2025-04-02,midday,756
AMZN,2025-06-04,morning,839
AMZN,2025-06-04,midday,550
AMZN,2025-07-02,morning,791
AMZN,2025-07-02,midday,193
AMZN,2025-09-03,morning,966
AMZN,2025-09-03,midday,438
AMZN,2025-10-01,morning,1187
AMZN,2025-10-01,midday,335
AMZN,2025-12-03,morning,537
AMZN,2025-12-03,midday,366
AMZN,2026-01-07,morning,1163
AMZN,2026-01-07,midday,738
AMZN,2026-02-04,morning,2519
AMZN,2026-02-04,midday,1497
AMZN,2026-03-04,morning,3109
AMZN,2026-03-04,midday,1041
GOOGL,2024-12-04,morning,1924
GOOGL,2024-12-04,midday,486
GOOGL,2025-01-08,morning,1868
GOOGL,2025-01-08,midday,718
GOOGL,2025-03-05,morning,1516
GOOGL,2025-03-05,midday,1080
GOOGL,2025-04-02,morning,1115
GOOGL,2025-04-02,midday,893
GOOGL,2025-06-04,morning,1260
GOOGL,2025-06-04,midday,1069
GOOGL,2025-07-02,morning,1794
GOOGL,2025-07-02,midday,697
GOOGL,2025-09-03,morning,3783
GOOGL,2025-09-03,midday,821
GOOGL,2025-10-01,morning,606
GOOGL,2025-10-01,midday,440
GOOGL,2025-12-03,morning,938
GOOGL,2025-12-03,midday,403
GOOGL,2026-01-07,morning,1722
GOOGL,2026-01-07,midday,313
GOOGL,2026-02-04,morning,1849
GOOGL,2026-02-04,midday,1624
GOOGL,2026-03-04,morning,1452
GOOGL,2026-03-04,midday,404
META,2024-12-04,morning,145
META,2024-12-04,midday,311
META,2025-01-08,morning,236
META,2025-01-08,midday,98
META,2025-03-05,morning,158
META,2025-03-05,midday,70
META,2025-04-02,morning,106
META,2025-04-02,midday,80
META,2025-06-04,morning,142
META,2025-06-04,midday,57
META,2025-07-02,morning,85
META,2025-07-02,midday,60
META,2025-09-03,morning,100
META,2025-09-03,midday,24
META,2025-10-01,morning,244
META,2025-10-01,midday,66
META,2025-12-03,morning,244
META,2025-12-03,midday,29
META,2026-01-07,morning,406
META,2026-01-07,midday,51
META,2026-02-04,morning,572
META,2026-02-04,midday,155
META,2026-03-04,morning,463
META,2026-03-04,midday,78
NVDA,2024-12-04,morning,3012
NVDA,2024-12-04,midday,1318
NVDA,2025-01-08,morning,4995
NVDA,2025-01-08,midday,1149
NVDA,2025-03-05,morning,4934
NVDA,2025-03-05,midday,4119
NVDA,2025-04-02,morning,3533
NVDA,2025-04-02,midday,2846
NVDA,2025-06-04,morning,2775
NVDA,2025-06-04,midday,1729
NVDA,2025-07-02,morning,4881
NVDA,2025-07-02,midday,1774
NVDA,2025-09-03,morning,4180
NVDA,2025-09-03,midday,2125
NVDA,2025-10-01,morning,1761
NVDA,2025-10-01,midday,1138
NVDA,2025-12-03,morning,3722
NVDA,2025-12-03,midday,1345
NVDA,2026-01-07,morning,4633
NVDA,2026-01-07,midday,830
NVDA,2026-02-04,morning,4452
NVDA,2026-02-04,midday,7090
NVDA,2026-03-04,morning,5747
NVDA,2026-03-04,midday,1702
AMD,2024-12-04,morning,763
AMD,2024-12-04,midday,203
AMD,2025-01-08,morning,1051
AMD,2025-01-08,midday,464
AMD,2025-03-05,morning,1563
AMD,2025-03-05,midday,1086
AMD,2025-04-02,morning,1140
AMD,2025-04-02,midday,543
AMD,2025-06-04,morning,1282
AMD,2025-06-04,midday,503
AMD,2025-07-02,morning,1315
AMD,2025-07-02,midday,199
AMD,2025-09-03,morning,888
AMD,2025-09-03,midday,315
AMD,2025-10-01,morning,1069
AMD,2025-10-01,midday,298
AMD,2025-12-03,morning,347
AMD,2025-12-03,midday,88
AMD,2026-01-07,morning,332
AMD,2026-01-07,midday,129
AMD,2026-02-04,morning,708
AMD,2026-02-04,midday,411
AMD,2026-03-04,morning,769
