session,clusters,low_clusters,high_clusters,auc,symbols_with_both_buckets,symbol_fraction_low_gt_high_5s,low_markout_0.25s_bps,low_markout_1s_bps,low_markout_5s_bps,low_markout_15s_bps,low_markout_30s_bps,low_markout_60s_bps,high_markout_0.25s_bps,high_markout_1s_bps,high_markout_5s_bps,high_markout_15s_bps,high_markout_30s_bps,high_markout_60s_bps
2024-12-04,5910,1593,644,0.5464623831142281,21,0.5238095238095238,0.2802600000550122,0.307729127467214,0.4003245708146613,0.2795169671317103,-0.03465855948515185,0.3162561819042275,-0.24244554355375678,-0.21893607911873486,-0.07010395638324848,0.4495967458735195,0.8977288724528575,1.3233159967097319
2025-01-08,7734,1834,1227,0.5389164337772008,23,0.6956521739130435,0.3298941973282405,0.3832805115338745,0.619373609458194,0.9474284070757265,1.0996631624560165,0.05129801298238502,-0.1464735622777533,-0.1239591050804488,-0.1721032278099328,-0.3827040831619967,-0.627383175465174,0.18162915740023305
2025-03-05,9673,1528,2880,0.5250187421450111,24,0.4583333333333333,0.27688062816598197,0.30150115333673005,0.47253618410846215,0.5132876370866458,1.0638680356514303,2.18283988315095,0.06612289004123732,0.12071948974397807,0.015442613012050466,0.5759092651655853,0.8863886865611142,-0.6692900418721641
2025-04-02,8499,1610,1545,0.5333304978176789,24,0.7083333333333334,0.2513452599610261,0.3444124934005383,0.6814311500269329,-0.08366887977726044,0.11535627992433724,-0.2662817359045343,-0.013736167390806894,-0.013436494686010289,-0.711013021136023,-0.9131132879663278,-1.8518456987939693,-3.622928108134918
2025-06-04,7406,1604,1184,0.5041929445313493,21,0.5238095238095238,0.3128362135023477,0.4027930419891463,0.19729687329525789,0.22475910251517753,0.2054949814268667,0.29945554698768956,0.006443675248481669,0.03316411786866441,0.4416163579473301,-0.6941021872969403,-0.522093224683877,-1.1808693658841949
2025-07-02,7125,1468,947,0.5686997471940232,21,0.6190476190476191,0.1558270790171851,0.19121979148594426,0.4446653349686401,0.2792020483441171,0.07523491214849097,0.39573731185645045,-0.181635147409906,-0.23752088571759936,-0.2598914467246943,0.05791268184646353,0.13057457313124038,-0.5934150537309444
2025-09-03,6779,1363,1170,0.5593290720682038,23,0.6521739130434783,0.2619836038123824,0.28866097342475133,0.6205115362113302,0.9953262656327047,1.0661166679188747,1.3714197586572585,0.06855394899380628,0.08868437982191525,-0.013595378815850297,-0.22609544904541942,0.22977251319284073,0.38662269625939855
2025-10-01,5245,1257,401,0.5486803504272059,23,0.43478260869565216,0.26846691482790247,0.3563192400755555,0.5850022304772714,0.6411800080433776,0.5551573144925283,0.8425347087322331,0.07985736270417922,0.22615893177721247,0.45931885903263486,0.5482098698164957,0.4430843316862773,0.2808239018145371
2025-12-03,7428,1486,1081,0.5650378892872656,24,0.5833333333333334,0.23021366405022028,0.2251451098760583,0.23861606374916147,-0.07512075155711193,-0.006525776910135918,-0.06830339611219349,-0.2647723004389747,-0.23595008067565237,0.12318060843966834,1.028041355762494,0.6588993330438718,0.16892139054185007
2026-01-07,7860,1470,1209,0.5430589848713531,24,0.8333333333333334,0.3290177460090719,0.411039873358795,0.600030995157912,0.5466654799723861,0.5731260277780827,0.5314455394511458,-0.2035751447660532,-0.37678029619389886,-0.7291972145264355,-0.829220939885832,-1.3255120770301902,-0.3540414442253123
2026-02-04,12608,1545,2772,0.5287898785570325,24,0.625,0.22767994458477522,0.28394717217228505,0.14460870865571,0.02799896962025364,-0.3709801307761717,0.538832545174564,-0.19761829877070505,-0.4080229226814105,-0.4288653147105519,-0.18109395057499203,0.21827602696822382,0.38443252019946667
2026-03-04,10109,1686,2007,0.514987962342569,24,0.5,0.1997521349750726,0.18288999434888367,0.23835066386234352,-0.014329548581053411,-0.2006900302111132,-0.4297464814206977,-0.08226073140893149,-0.05765721277868798,0.19528521124910467,-0.06848699136317997,-0.5822367909317572,-0.462638163166061
