variant,direction,horizon,portfolio,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,signal_days,post_signal_invalid_days,active_days_recent,top_5_day_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
continuation_0945_long_only_c0,continuation,0945,long_only,0,0.17629268883205373,0.16269805666909898,252.0,False,368,14,337,0.9239824117627223,0.00979403826844743,8,0,0.006917023379351002,7,0,0.014269193768938357,5,0
continuation_0945_short_only_c0,continuation,0945,short_only,0,-0.00435016500499158,0.17778708358542628,,True,368,14,333,,-0.0002416758336106437,10,0,-0.0020215419929933117,9,0,-0.00720964796086486,7,0
continuation_0945_balanced_c0,continuation,0945,balanced,0,0.0859712619135311,0.08286946250883773,85.0,False,368,14,354,1.2440672702823148,0.004776181217418394,9,0,0.002447740693178844,9,0,0.0035297729040367474,7,0
continuation_0945_long_only_c5,continuation,0945,long_only,5,-0.16070731116794654,0.3216393753425612,,True,368,14,337,,-0.008928183953774803,10,0,-0.011949643287315678,8,0,-0.005064139564394985,6,0
continuation_0945_short_only_c5,continuation,0945,short_only,5,-0.33735016500499165,0.3952645272519533,,True,368,14,333,,-0.01874167583361065,14,0,-0.02082154199299331,12,0,-0.026376314627531528,10,0
continuation_0945_balanced_c5,continuation,0945,balanced,5,-0.24902873808646908,0.311423345827964,,True,368,14,354,,-0.013834929893692727,12,0,-0.0163855926401545,10,0,-0.015720227095963258,8,0
continuation_0945_long_only_c10,continuation,0945,long_only,10,-0.4977073111679466,0.5529674440823107,,True,368,14,337,,-0.027650406175997025,11,0,-0.03081630995398234,9,0,-0.024397472897728322,7,0
continuation_0945_short_only_c10,continuation,0945,short_only,10,-0.6703501650049916,0.7023580407569858,,True,368,14,333,,-0.03724167583361065,15,0,-0.039621541992993316,12,0,-0.045542981294198204,10,0
continuation_0945_balanced_c10,continuation,0945,balanced,10,-0.584028738086469,0.6125529522148906,,True,368,14,354,,-0.03244604100480383,15,0,-0.03521892597348783,12,0,-0.03497022709596326,10,0
continuation_0945_long_only_c20,continuation,0945,long_only,20,-1.1717073111679466,1.1777741678512936,,True,368,14,337,,-0.06509485062044146,18,0,-0.06854964328731566,15,0,-0.063064139564395,12,0
continuation_0945_short_only_c20,continuation,0945,short_only,20,-1.3363501650049916,1.3445797952247112,,True,368,14,333,,-0.07424167583361065,17,0,-0.07722154199299333,14,0,-0.08387631462753153,11,0
continuation_0945_balanced_c20,continuation,0945,balanced,20,-1.2540287380864692,1.2621128754625295,,True,368,14,354,,-0.06966826322702606,17,0,-0.0728855926401545,14,0,-0.07347022709596325,11,0
continuation_1000_long_only_c0,continuation,1000,long_only,0,0.21205685651151074,0.18109324789954725,216.0,False,368,9,342,1.044533930453871,0.011780936472861709,7,0,0.005701244877012929,7,0,0.01400619172866116,5,0
continuation_1000_short_only_c0,continuation,1000,short_only,0,-0.045156560855036706,0.26243674653036436,,True,368,9,336,,-0.0025086978252798187,10,0,-0.005821034185327078,9,0,-0.011006911476821715,8,0
continuation_1000_balanced_c0,continuation,1000,balanced,0,0.083450147828237,0.13068762012375287,,True,368,9,359,1.5968609269379337,0.0046361193237909465,7,0,-5.989465415707311e-05,7,0,0.001499640125919725,5,0
continuation_1000_long_only_c5,continuation,1000,long_only,5,-0.12994314348848957,0.30543459811225926,,True,368,9,342,,-0.007219063527138307,7,0,-0.013432088456320417,7,0,-0.0054104749380055215,5,0
continuation_1000_short_only_c5,continuation,1000,short_only,5,-0.38115656085503685,0.4935715636961723,,True,368,9,336,,-0.021175364491946496,12,0,-0.024754367518660416,10,0,-0.030173578143488384,9,0
continuation_1000_balanced_c5,continuation,1000,balanced,5,-0.2555498521717633,0.3223273527323707,,True,368,9,359,,-0.0141972140095424,10,0,-0.019093227987490417,10,0,-0.017792026540746953,8,0
continuation_1000_long_only_c10,continuation,1000,long_only,10,-0.47194314348848954,0.5000941901590599,,True,368,9,342,,-0.02621906352713831,11,0,-0.032565421789653756,10,0,-0.024827141604672195,7,0
continuation_1000_short_only_c10,continuation,1000,short_only,10,-0.7171565608550368,0.7788685884231137,,True,368,9,336,,-0.03984203115861315,14,0,-0.043687700851993756,12,0,-0.04934024481015504,10,0
continuation_1000_balanced_c10,continuation,1000,balanced,10,-0.5945498521717631,0.6231795079238527,,True,368,9,359,,-0.03303054734287573,14,0,-0.038126561320823746,12,0,-0.037083693207413615,10,0
continuation_1000_long_only_c20,continuation,1000,long_only,20,-1.1559431434884897,1.154087128872607,,True,368,9,342,,-0.06421906352713831,16,0,-0.07083208845632043,13,0,-0.06366047493800552,10,0
continuation_1000_short_only_c20,continuation,1000,short_only,20,-1.389156560855037,1.420309064203832,,True,368,9,336,,-0.0771753644919465,15,0,-0.08155436751866044,12,0,-0.08767357814348838,10,0
continuation_1000_balanced_c20,continuation,1000,balanced,20,-1.272549852171763,1.2769764054200494,,True,368,9,359,,-0.07069721400954239,17,0,-0.07619322798749041,14,0,-0.07566702654074695,11,0
continuation_1200_long_only_c0,continuation,1200,long_only,0,0.3651048863907067,0.17440702493136764,280.0,False,368,36,316,0.9133745777789927,0.020283604799483698,6,0,0.012978452820841951,6,0,0.02608397645421219,5,0
continuation_1200_short_only_c0,continuation,1200,short_only,0,-0.16075983178867073,0.363779616971773,,True,368,36,311,,-0.008931101766037262,11,0,-0.016802979498375507,10,0,-0.027912671243012246,8,0
continuation_1200_balanced_c0,continuation,1200,balanced,0,0.10217252730101796,0.1998167579689347,,True,368,36,332,1.5597401010029543,0.00567625151672322,8,0,-0.0019122633387667768,8,0,-0.0009143473944000294,6,0
continuation_1200_long_only_c5,continuation,1200,long_only,5,0.049104886390706357,0.2503767448146319,,True,368,36,316,6.689304173083817,0.0027280492439281335,7,0,-0.004621547179158061,7,0,0.008083976454212176,5,0
continuation_1200_short_only_c5,continuation,1200,short_only,5,-0.4717598317886708,0.5814729886981918,,True,368,36,311,,-0.02620887954381505,12,0,-0.03420297949837551,11,0,-0.04566267124301226,9,0
continuation_1200_balanced_c5,continuation,1200,balanced,5,-0.21132747269898228,0.3386467266124903,,True,368,36,332,,-0.011740415149943458,9,0,-0.019412263338766788,9,0,-0.01878934739440004,7,0
continuation_1200_long_only_c10,continuation,1200,long_only,10,-0.2668951136092938,0.4239488600101188,,True,368,36,316,,-0.014827506311627424,8,0,-0.022221547179158075,8,0,-0.00991602354578783,5,0
continuation_1200_short_only_c10,continuation,1200,short_only,10,-0.7827598317886707,0.8372127024829747,,True,368,36,311,,-0.04348665732159282,14,0,-0.051602979498375515,12,0,-0.06341267124301224,10,0
continuation_1200_balanced_c10,continuation,1200,balanced,10,-0.5248274726989821,0.5748186383320193,,True,368,36,332,,-0.029157081816610125,12,0,-0.036912263338766786,11,0,-0.03666434739440004,9,0
continuation_1200_long_only_c20,continuation,1200,long_only,20,-0.8988951136092937,0.9273443694713179,,True,368,36,316,,-0.04993861742273854,14,0,-0.05742154717915806,12,0,-0.04591602354578783,9,0
continuation_1200_short_only_c20,continuation,1200,short_only,20,-1.4047598317886707,1.4249985995162304,,True,368,36,311,,-0.07804221287714837,15,0,-0.08640297949837551,13,0,-0.09891267124301224,11,0
continuation_1200_balanced_c20,continuation,1200,balanced,20,-1.1518274726989823,1.1663291522929031,,True,368,36,332,,-0.06399041514994347,16,0,-0.07191226333876678,13,0,-0.07241434739440004,11,0
continuation_final_long_only_c0,continuation,final,long_only,0,0.29984803953397177,0.18193194565432816,27.0,False,368,2,349,1.6898808382834105,0.016658224418553986,7,0,0.014571133916230087,6,0,0.017605660161187104,5,0
continuation_final_short_only_c0,continuation,final,short_only,0,-0.19503658145700942,0.39199097075660105,,True,368,2,343,,-0.010835365636500525,11,0,-0.018175882930681547,10,0,-0.024654334887897995,8,0
continuation_final_balanced_c0,continuation,final,balanced,0,0.05240572903848112,0.17653066049225466,,True,368,2,366,4.750712233544336,0.00291142939102673,10,0,-0.001802374507225725,10,0,-0.003524337363355445,8,0
continuation_final_long_only_c5,continuation,final,long_only,5,-0.04915196046602857,0.2154424246392057,,True,368,2,349,,-0.002730664470334918,9,0,-0.004895532750436593,8,0,-0.002061006505479576,6,0
continuation_final_short_only_c5,continuation,final,short_only,5,-0.5380365814570096,0.6303153291444948,,True,368,2,343,,-0.02989092119205609,12,0,-0.037442549597348225,11,0,-0.04407100155456468,9,0
continuation_final_balanced_c5,continuation,final,balanced,5,-0.29359427096151913,0.3837378282460858,,True,368,2,366,,-0.016310792831195506,11,0,-0.021169041173892407,10,0,-0.023066004030022125,8,0
continuation_final_long_only_c10,continuation,final,long_only,10,-0.39815196046602874,0.4948540957316386,,True,368,2,349,,-0.022119553359223814,10,0,-0.024362199417103273,8,0,-0.021727673172146248,6,0
continuation_final_short_only_c10,continuation,final,short_only,10,-0.8810365814570095,0.9239408820363618,,True,368,2,343,,-0.048946476747611635,13,0,-0.05670921626401488,12,0,-0.06348766822123132,10,0
continuation_final_balanced_c10,continuation,final,balanced,10,-0.6395942709615191,0.6848462215167185,,True,368,2,366,,-0.03553301505341772,13,0,-0.04053570784055907,10,0,-0.04260767069668878,8,0
continuation_final_long_only_c20,continuation,final,long_only,20,-1.0961519604660288,1.122946929222601,,True,368,2,349,,-0.060897331137001603,14,0,-0.06329553275043662,11,0,-0.0610610065054796,9,0
continuation_final_short_only_c20,continuation,final,short_only,20,-1.5670365814570095,1.5872855172415636,,True,368,2,343,,-0.08705758785872275,15,0,-0.09524254959734821,12,0,-0.10232100155456468,10,0
