index,net_pnl
NVDA,0.6739831471450906
TSLA,0.45348506325967786
PLTR,0.40978873666304144
WDC,0.33396783221363296
MRNA,0.30895858344455013
ZM,0.25845705570510286
MU,0.2563998269400926
STX,0.1818286986739957
CRWD,0.16888561494373114
META,0.1607412622556366
DOCU,0.1591761048211568
WBD,0.13613104415844632
ASML,0.08830834149291715
MSTR,0.0766428982840848
AMD,0.07091388525054682
DDOG,0.06970630218755408
REGN,0.06508844707712395
VRTX,0.037810752790519084
ARM,0.03394338220917355
AMAT,0.03182650759464111
SNDK,0.02473578221969777
ISRG,0.020643298138561108
DASH,0.01603888399664957
GOOG,0.01591991347886053
SNPS,0.011039544263532361
ADBE,0.010573051852208807
TMUS,0.00888653805494687
INTC,0.005344195070661797
ADP,0.0044705879425744974
AVGO,0.0035224094089946517
PEP,0.0035183258597598554
LULU,0.0034082842398519405
AZN,0.0015041585912398399
GOOGL,0.0008627681101835828
AAPL,0.0
ABNB,0.0
QQQ,0.0
UAL,0.0
TXN,0.0
TTWO,0.0
TTD,0.0
VRSN,0.0
CDW,0.0
CELG,0.0
CHTR,0.0
CCEP,0.0
CDNS,0.0
BKR,0.0
BMRN,0.0
BIIB,0.0
AXON,0.0
CERN,0.0
CHKP,0.0
ADI,0.0
ADSK,0.0
ANSS,0.0
ATVI,0.0
AMZN,0.0
ALGN,0.0
ALNY,0.0
ALXN,0.0
AEP,0.0
AAL,0.0
GEHC,0.0
CSGP,0.0
CTSH,0.0
CTAS,0.0
CSX,0.0
CMCSA,0.0
MSFT,0.0
MPWR,0.0
LBTYA,0.0
LBTYK,0.0
FOXA,0.0
IDXX,0.0
HSIC,0.0
HAS,0.0
INSM,0.0
JBHT,0.0
KHC,0.0
KDP,0.0
KLAC,0.0
ILMN,0.0
INCY,0.0
HON,0.0
MNST,0.0
FI,0.0
EBAY,0.0
EXC,0.0
FER,0.0
FAST,0.0
EXPE,0.0
FANG,0.0
GFS,0.0
FTNT,0.0
FOX,0.0
CTXS,0.0
EA,0.0
DLTR,0.0
CPRT,0.0
CSCO,0.0
WDAY,0.0
WBA,0.0
WTW,0.0
WMT,0.0
WYNN,0.0
VSNT,0.0
VRSK,0.0
ULTA,0.0
PAYX,0.0
SWKS,0.0
MDB,0.0
MCHP,0.0
LIN,0.0
MAR,0.0
MDLZ,0.0
MYL,0.0
SGEN,0.0
SIRI,0.0
ON,0.0
PCAR,0.0
ROST,0.0
ROP,0.0
RIVN,0.0
MTCH,0.0
OKTA,0.0
NTES,0.0
NXPI,0.0
ODFL,0.0
ORLY,0.0
NLOK,0.0
NTAP,0.0
MXIM,0.0
TCOM,0.0
SPLK,0.0
TEAM,0.0
TRI,0.0
SOLS,0.0
XEL,0.0
SMCI,0.0
SBUX,-0.0015686516798048664
MELI,-0.002515301890767607
BKNG,-0.006251967393294307
SHOP,-0.007594870715432723
NFLX,-0.010767903944685693
JD,-0.013971702588107713
PYPL,-0.015876473199774116
LRCX,-0.016840399017351383
XLNX,-0.0172248422691602
GILD,-0.020726729305610182
DXCM,-0.02633028914214952
PTON,-0.02855909758843405
AMGN,-0.031254009320769056
MRVL,-0.03195279890999824
APP,-0.04172542113325594
INTU,-0.04323800785390305
COST,-0.046232207381553786
LCID,-0.05283358629505322
PDD,-0.05573018027511988
QCOM,-0.07568754238356253
ZS,-0.08259579894722703
CEG,-0.08709427008497994
PANW,-0.08755415186793292
ENPH,-0.09498488698851337
BIDU,-0.09556931096073179
