variant,extra_bps,symbol,net_pnl
control_126_21,0.0,TSLA,0.733401012181796
control_126_21,0.0,NVDA,0.6451876871144462
control_126_21,0.0,PLTR,0.38250414699148855
control_126_21,0.0,ZM,0.35548515975623657
control_126_21,0.0,WDC,0.32451015630247704
control_126_21,0.0,MRNA,0.28228278007224245
control_126_21,0.0,MU,0.27325647196682945
control_126_21,0.0,META,0.17281675449914324
control_126_21,0.0,CRWD,0.16600604636684815
control_126_21,0.0,MSTR,0.11718278923537026
control_126_21,0.0,PDD,0.10718193091624245
control_126_21,0.0,APP,0.10696833499176786
control_126_21,0.0,AMD,0.088003772346442
control_126_21,0.0,NFLX,0.08705806660889584
control_126_21,0.0,MELI,0.08140664135229164
control_126_21,0.0,ASML,0.07608512983642825
control_126_21,0.0,LRCX,0.07471016026360196
control_126_21,0.0,WBD,0.06693544060124526
control_126_21,0.0,STX,0.058464569090120086
control_126_21,0.0,GILD,0.053307159221175245
control_126_21,0.0,DDOG,0.04127332290418961
control_126_21,0.0,ADBE,0.03428683195225853
control_126_21,0.0,DOCU,0.03236400217596752
control_126_21,0.0,CEG,0.03207088559191085
control_126_21,0.0,SBUX,0.0295916356866454
control_126_21,0.0,AMAT,0.027314597468297723
control_126_21,0.0,VRTX,0.026800847326898355
control_126_21,0.0,LCID,0.025738249532832613
control_126_21,0.0,SNDK,0.021701696500321534
control_126_21,0.0,AZN,0.01836534159188574
control_126_21,0.0,GOOG,0.015651393089107794
control_126_21,0.0,INTU,0.014375896321156026
control_126_21,0.0,AAPL,0.008807054968526368
control_126_21,0.0,ADP,0.007441173385611788
control_126_21,0.0,LULU,0.004212562078268589
control_126_21,0.0,ATVI,0.0029915368080606713
control_126_21,0.0,INTC,0.0027604588847516265
control_126_21,0.0,GOOGL,0.00042221102553726265
control_126_21,0.0,ISRG,0.0002472201193621784
control_126_21,0.0,REGN,2.899958584712259e-05
control_126_21,0.0,WTW,0.0
control_126_21,0.0,WDAY,0.0
control_126_21,0.0,WBA,0.0
control_126_21,0.0,CELG,0.0
control_126_21,0.0,CMCSA,0.0
control_126_21,0.0,BKR,0.0
control_126_21,0.0,CDNS,0.0
control_126_21,0.0,CDW,0.0
control_126_21,0.0,TTWO,0.0
control_126_21,0.0,RIVN,0.0
control_126_21,0.0,SHOP,0.0
control_126_21,0.0,CHKP,0.0
control_126_21,0.0,CERN,0.0
control_126_21,0.0,ADSK,0.0
control_126_21,0.0,ALGN,0.0
control_126_21,0.0,BMRN,0.0
control_126_21,0.0,ANSS,0.0
control_126_21,0.0,AMZN,0.0
control_126_21,0.0,AEP,0.0
control_126_21,0.0,ALXN,0.0
control_126_21,0.0,ALNY,0.0
control_126_21,0.0,ABNB,0.0
control_126_21,0.0,AAL,0.0
control_126_21,0.0,ADI,0.0
control_126_21,0.0,CCEP,0.0
control_126_21,0.0,AXON,0.0
control_126_21,0.0,CHTR,0.0
control_126_21,0.0,GFS,0.0
control_126_21,0.0,FOX,0.0
control_126_21,0.0,MPWR,0.0
control_126_21,0.0,LBTYK,0.0
control_126_21,0.0,LBTYA,0.0
control_126_21,0.0,KHC,0.0
control_126_21,0.0,KDP,0.0
control_126_21,0.0,HAS,0.0
control_126_21,0.0,GEHC,0.0
control_126_21,0.0,FTNT,0.0
control_126_21,0.0,FAST,0.0
control_126_21,0.0,FANG,0.0
control_126_21,0.0,INCY,0.0
control_126_21,0.0,HON,0.0
control_126_21,0.0,ILMN,0.0
control_126_21,0.0,IDXX,0.0
control_126_21,0.0,INSM,0.0
control_126_21,0.0,HSIC,0.0
control_126_21,0.0,MSFT,0.0
control_126_21,0.0,MDB,0.0
control_126_21,0.0,FER,0.0
control_126_21,0.0,FOXA,0.0
control_126_21,0.0,FI,0.0
control_126_21,0.0,EXPE,0.0
control_126_21,0.0,CTSH,0.0
control_126_21,0.0,CPRT,0.0
control_126_21,0.0,EBAY,0.0
control_126_21,0.0,EA,0.0
control_126_21,0.0,DLTR,0.0
control_126_21,0.0,CTXS,0.0
control_126_21,0.0,EXC,0.0
control_126_21,0.0,CTAS,0.0
control_126_21,0.0,CSCO,0.0
control_126_21,0.0,CSGP,0.0
control_126_21,0.0,WYNN,0.0
control_126_21,0.0,XEL,0.0
control_126_21,0.0,WMT,0.0
control_126_21,0.0,ULTA,0.0
control_126_21,0.0,VRSN,0.0
control_126_21,0.0,VSNT,0.0
control_126_21,0.0,SGEN,0.0
control_126_21,0.0,SOLS,0.0
control_126_21,0.0,LIN,0.0
control_126_21,0.0,JBHT,0.0
control_126_21,0.0,JD,0.0
control_126_21,0.0,MNST,0.0
control_126_21,0.0,MAR,0.0
control_126_21,0.0,MCHP,0.0
control_126_21,0.0,NTES,0.0
control_126_21,0.0,MXIM,0.0
control_126_21,0.0,ROST,0.0
control_126_21,0.0,PAYX,0.0
control_126_21,0.0,ORLY,0.0
control_126_21,0.0,ON,0.0
control_126_21,0.0,QQQ,0.0
control_126_21,0.0,ROP,0.0
control_126_21,0.0,PCAR,0.0
control_126_21,0.0,PYPL,0.0
control_126_21,0.0,SIRI,0.0
control_126_21,0.0,NXPI,0.0
control_126_21,0.0,ODFL,0.0
control_126_21,0.0,OKTA,0.0
control_126_21,0.0,MYL,0.0
control_126_21,0.0,NLOK,0.0
control_126_21,0.0,NTAP,0.0
control_126_21,0.0,MTCH,0.0
control_126_21,0.0,UAL,0.0
control_126_21,0.0,TEAM,0.0
control_126_21,0.0,TRI,0.0
control_126_21,0.0,TTD,0.0
control_126_21,0.0,SWKS,0.0
control_126_21,0.0,SPLK,0.0
control_126_21,0.0,VRSK,0.0
control_126_21,0.0,SNPS,0.0
control_126_21,0.0,TCOM,0.0
control_126_21,0.0,BIIB,-0.0005500500409906612
control_126_21,0.0,PEP,-0.004601095688917681
control_126_21,0.0,MDLZ,-0.0053017481924155785
control_126_21,0.0,CSX,-0.005486467856045414
control_126_21,0.0,TMUS,-0.00891871611928851
control_126_21,0.0,BKNG,-0.010287670626658512
control_126_21,0.0,TXN,-0.01095283045284079
control_126_21,0.0,PANW,-0.01356025610650563
control_126_21,0.0,DASH,-0.01904192938776346
control_126_21,0.0,AVGO,-0.022379224014827455
control_126_21,0.0,AMGN,-0.022784334762176308
control_126_21,0.0,MRVL,-0.023330734159885846
control_126_21,0.0,XLNX,-0.02505415210496035
control_126_21,0.0,KLAC,-0.02518518789151333
control_126_21,0.0,DXCM,-0.025461627479181324
control_126_21,0.0,QCOM,-0.02878111912365984
control_126_21,0.0,COST,-0.050023804244158296
control_126_21,0.0,ARM,-0.051910809025277914
control_126_21,0.0,ZS,-0.08189604902072516
control_126_21,0.0,ENPH,-0.10681160892078649
control_126_21,0.0,PTON,-0.11635660383669945
control_126_21,0.0,SMCI,-0.14111235176707398
control_126_21,0.0,BIDU,-0.1455820652062069
control_126_21,1.0,TSLA,0.7325343455151294
control_126_21,1.0,NVDA,0.6444543537811129
control_126_21,1.0,PLTR,0.3824374803248219
control_126_21,1.0,ZM,0.3553518264229032
control_126_21,1.0,WDC,0.3244768229691437
control_126_21,1.0,MRNA,0.2818161134055758
control_126_21,1.0,MU,0.27275647196682945
control_126_21,1.0,META,0.17261675449914324
control_126_21,1.0,CRWD,0.16587271303351483
control_126_21,1.0,MSTR,0.1171161225687036
control_126_21,1.0,APP,0.10683500165843453
control_126_21,1.0,PDD,0.10644859758290912
control_126_21,1.0,AMD,0.08740377234644199
control_126_21,1.0,NFLX,0.08679139994222917
control_126_21,1.0,MELI,0.08080664135229165
control_126_21,1.0,ASML,0.07568512983642825
control_126_21,1.0,LRCX,0.07444349359693529
control_126_21,1.0,WBD,0.06680210726791193
control_126_21,1.0,STX,0.05833123575678675
control_126_21,1.0,GILD,0.05290715922117525
control_126_21,1.0,DDOG,0.04120665623752294
control_126_21,1.0,ADBE,0.034086831952258534
control_126_21,1.0,DOCU,0.032164002175967515
control_126_21,1.0,CEG,0.031737552258577516
control_126_21,1.0,SBUX,0.029524969019978732
control_126_21,1.0,AMAT,0.02718126413496439
control_126_21,1.0,VRTX,0.02673418066023169
control_126_21,1.0,LCID,0.025538249532832614
control_126_21,1.0,SNDK,0.0216683631669882
control_126_21,1.0,AZN,0.01816534159188574
control_126_21,1.0,GOOG,0.01551805975577446
control_126_21,1.0,INTU,0.014175896321156027
control_126_21,1.0,AAPL,0.008740388301859702
control_126_21,1.0,ADP,0.007307840052278455
control_126_21,1.0,LULU,0.004145895411601922
control_126_21,1.0,ATVI,0.0029248701413940046
control_126_21,1.0,INTC,0.0026937922180849594
control_126_21,1.0,GOOGL,0.00035554435887059606
control_126_21,1.0,ISRG,0.00018055345269551212
control_126_21,1.0,WTW,0.0
control_126_21,1.0,WBA,0.0
control_126_21,1.0,WDAY,0.0
control_126_21,1.0,ROP,0.0
control_126_21,1.0,CELG,0.0
control_126_21,1.0,CMCSA,0.0
control_126_21,1.0,BKR,0.0
control_126_21,1.0,CDNS,0.0
control_126_21,1.0,CDW,0.0
control_126_21,1.0,TTWO,0.0
control_126_21,1.0,VRSN,0.0
control_126_21,1.0,CHTR,0.0
control_126_21,1.0,CHKP,0.0
control_126_21,1.0,CERN,0.0
control_126_21,1.0,ADSK,0.0
control_126_21,1.0,ALGN,0.0
control_126_21,1.0,BMRN,0.0
control_126_21,1.0,ANSS,0.0
control_126_21,1.0,AMZN,0.0
control_126_21,1.0,AEP,0.0
control_126_21,1.0,ALXN,0.0
control_126_21,1.0,ALNY,0.0
control_126_21,1.0,ABNB,0.0
control_126_21,1.0,AAL,0.0
control_126_21,1.0,ADI,0.0
control_126_21,1.0,CCEP,0.0
control_126_21,1.0,AXON,0.0
control_126_21,1.0,GFS,0.0
control_126_21,1.0,FER,0.0
control_126_21,1.0,FOX,0.0
control_126_21,1.0,MPWR,0.0
control_126_21,1.0,LBTYK,0.0
control_126_21,1.0,LBTYA,0.0
control_126_21,1.0,KHC,0.0
control_126_21,1.0,KDP,0.0
control_126_21,1.0,HAS,0.0
control_126_21,1.0,GEHC,0.0
control_126_21,1.0,FTNT,0.0
control_126_21,1.0,FAST,0.0
control_126_21,1.0,FANG,0.0
control_126_21,1.0,INCY,0.0
control_126_21,1.0,HON,0.0
control_126_21,1.0,ILMN,0.0
control_126_21,1.0,IDXX,0.0
control_126_21,1.0,INSM,0.0
control_126_21,1.0,HSIC,0.0
control_126_21,1.0,MSFT,0.0
control_126_21,1.0,MDB,0.0
control_126_21,1.0,MCHP,0.0
control_126_21,1.0,FOXA,0.0
control_126_21,1.0,FI,0.0
control_126_21,1.0,EXPE,0.0
control_126_21,1.0,CTSH,0.0
control_126_21,1.0,CPRT,0.0
control_126_21,1.0,EBAY,0.0
control_126_21,1.0,EA,0.0
control_126_21,1.0,DLTR,0.0
control_126_21,1.0,CTXS,0.0
control_126_21,1.0,EXC,0.0
control_126_21,1.0,CTAS,0.0
control_126_21,1.0,CSCO,0.0
control_126_21,1.0,CSGP,0.0
control_126_21,1.0,WYNN,0.0
control_126_21,1.0,XEL,0.0
control_126_21,1.0,WMT,0.0
control_126_21,1.0,ULTA,0.0
control_126_21,1.0,VRSK,0.0
control_126_21,1.0,VSNT,0.0
control_126_21,1.0,SGEN,0.0
control_126_21,1.0,SOLS,0.0
control_126_21,1.0,LIN,0.0
control_126_21,1.0,JBHT,0.0
control_126_21,1.0,JD,0.0
control_126_21,1.0,MNST,0.0
control_126_21,1.0,MAR,0.0
control_126_21,1.0,NTES,0.0
control_126_21,1.0,MYL,0.0
control_126_21,1.0,MXIM,0.0
control_126_21,1.0,SHOP,0.0
control_126_21,1.0,PAYX,0.0
control_126_21,1.0,ORLY,0.0
control_126_21,1.0,PCAR,0.0
control_126_21,1.0,QQQ,0.0
control_126_21,1.0,ROST,0.0
control_126_21,1.0,RIVN,0.0
control_126_21,1.0,PYPL,0.0
control_126_21,1.0,SIRI,0.0
control_126_21,1.0,NXPI,0.0
control_126_21,1.0,ODFL,0.0
control_126_21,1.0,OKTA,0.0
control_126_21,1.0,ON,0.0
control_126_21,1.0,NLOK,0.0
control_126_21,1.0,NTAP,0.0
control_126_21,1.0,MTCH,0.0
control_126_21,1.0,UAL,0.0
control_126_21,1.0,TEAM,0.0
control_126_21,1.0,TRI,0.0
control_126_21,1.0,TTD,0.0
control_126_21,1.0,SWKS,0.0
control_126_21,1.0,SPLK,0.0
control_126_21,1.0,TCOM,0.0
control_126_21,1.0,SNPS,0.0
control_126_21,1.0,REGN,-0.0001710004141528762
control_126_21,1.0,BIIB,-0.0006833833743239938
control_126_21,1.0,PEP,-0.004667762355584347
control_126_21,1.0,MDLZ,-0.005368414859082245
control_126_21,1.0,CSX,-0.0055531345227120815
control_126_21,1.0,TMUS,-0.00911871611928851
control_126_21,1.0,BKNG,-0.010354337293325178
control_126_21,1.0,TXN,-0.011019497119507456
control_126_21,1.0,PANW,-0.013960256106505628
control_126_21,1.0,DASH,-0.019175262721096792
control_126_21,1.0,AVGO,-0.02297922401482745
control_126_21,1.0,AMGN,-0.02298433476217631
control_126_21,1.0,MRVL,-0.023530734159885845
control_126_21,1.0,XLNX,-0.025120818771627015
control_126_21,1.0,KLAC,-0.025318521224846662
control_126_21,1.0,DXCM,-0.02552829414584799
control_126_21,1.0,QCOM,-0.028914452456993173
control_126_21,1.0,COST,-0.05015713757749163
control_126_21,1.0,ARM,-0.052044142358611246
control_126_21,1.0,ZS,-0.08202938235405849
control_126_21,1.0,ENPH,-0.10687827558745316
control_126_21,1.0,PTON,-0.11642327050336612
control_126_21,1.0,SMCI,-0.14117901843374067
control_126_21,1.0,BIDU,-0.14571539853954024
control_126_21,2.0,TSLA,0.7316676788484627
control_126_21,2.0,NVDA,0.6437210204477796
control_126_21,2.0,PLTR,0.38237081365815523
control_126_21,2.0,ZM,0.3552184930895699
control_126_21,2.0,WDC,0.3244434896358104
control_126_21,2.0,MRNA,0.2813494467389091
control_126_21,2.0,MU,0.27225647196682945
control_126_21,2.0,META,0.17241675449914323
control_126_21,2.0,CRWD,0.1657393797001815
control_126_21,2.0,MSTR,0.11704945590203693
control_126_21,2.0,APP,0.1067016683251012
control_126_21,2.0,PDD,0.10571526424957578
control_126_21,2.0,AMD,0.086803772346442
control_126_21,2.0,NFLX,0.08652473327556251
control_126_21,2.0,MELI,0.08020664135229164
control_126_21,2.0,ASML,0.07528512983642825
control_126_21,2.0,LRCX,0.07417682693026861
control_126_21,2.0,WBD,0.0666687739345786
control_126_21,2.0,STX,0.05819790242345342
control_126_21,2.0,GILD,0.05250715922117525
control_126_21,2.0,DDOG,0.04113998957085628
control_126_21,2.0,ADBE,0.03388683195225853
control_126_21,2.0,DOCU,0.031964002175967524
control_126_21,2.0,CEG,0.031404218925244184
control_126_21,2.0,SBUX,0.029458302353312066
control_126_21,2.0,AMAT,0.027047930801631058
control_126_21,2.0,VRTX,0.026667513993565022
control_126_21,2.0,LCID,0.025338249532832615
control_126_21,2.0,SNDK,0.021635029833654867
control_126_21,2.0,AZN,0.01796534159188574
control_126_21,2.0,GOOG,0.015384726422441125
control_126_21,2.0,INTU,0.013975896321156027
control_126_21,2.0,AAPL,0.008673721635193036
control_126_21,2.0,ADP,0.007174506718945121
control_126_21,2.0,LULU,0.004079228744935255
control_126_21,2.0,ATVI,0.002858203474727338
control_126_21,2.0,INTC,0.0026271255514182922
control_126_21,2.0,GOOGL,0.00028887769220392937
control_126_21,2.0,ISRG,0.00011388678602884585
control_126_21,2.0,WTW,0.0
control_126_21,2.0,WBA,0.0
control_126_21,2.0,WDAY,0.0
control_126_21,2.0,ROP,0.0
control_126_21,2.0,CELG,0.0
control_126_21,2.0,CMCSA,0.0
control_126_21,2.0,BKR,0.0
control_126_21,2.0,CDNS,0.0
control_126_21,2.0,CDW,0.0
control_126_21,2.0,TTWO,0.0
control_126_21,2.0,VRSN,0.0
control_126_21,2.0,CHTR,0.0
control_126_21,2.0,CHKP,0.0
control_126_21,2.0,CERN,0.0
control_126_21,2.0,ADSK,0.0
control_126_21,2.0,ALGN,0.0
control_126_21,2.0,BMRN,0.0
control_126_21,2.0,ANSS,0.0
control_126_21,2.0,AMZN,0.0
control_126_21,2.0,AEP,0.0
control_126_21,2.0,ALXN,0.0
control_126_21,2.0,ALNY,0.0
control_126_21,2.0,ABNB,0.0
control_126_21,2.0,AAL,0.0
control_126_21,2.0,ADI,0.0
control_126_21,2.0,CCEP,0.0
control_126_21,2.0,AXON,0.0
control_126_21,2.0,GFS,0.0
control_126_21,2.0,FER,0.0
control_126_21,2.0,FOX,0.0
control_126_21,2.0,MPWR,0.0
control_126_21,2.0,LBTYK,0.0
control_126_21,2.0,LBTYA,0.0
control_126_21,2.0,KHC,0.0
control_126_21,2.0,KDP,0.0
