index,net_pnl
NVDA,0.5705865986107672
TSLA,0.5187202974524935
PLTR,0.35458227706069145
WDC,0.33396783221363296
MU,0.22171402442045604
ZM,0.1973198156645298
CRWD,0.18925248959993662
META,0.15698174127119213
MRNA,0.15109720789049
WBD,0.1350560451713679
DOCU,0.09155820361143714
ARM,0.08226482343506163
APP,0.07989020748236175
REGN,0.05722778253999954
LRCX,0.04929952209665178
ISRG,0.049211532237597534
VRTX,0.04623381776399277
DDOG,0.0459236532446338
ASML,0.043210885934708836
MSTR,0.03883578285470795
TMUS,0.03365783908501716
GOOG,0.03331591768017534
MELI,0.030409614093075465
AMAT,0.027860871676311492
SNDK,0.02473578221969777
DXCM,0.021012677547985064
PEP,0.020055172859226256
ADP,0.01471603053292609
MRVL,0.012285547229974705
INTU,0.010452018238461888
NFLX,0.009405722415218098
ADBE,0.006929151506432198
JD,0.0030813390537669243
ABNB,0.0
AAPL,0.0
AAL,0.0
QQQ,0.0
WDAY,0.0
UAL,0.0
TTWO,0.0
TXN,0.0
VRSN,0.0
CDW,0.0
CELG,0.0
CHTR,0.0
CCEP,0.0
CDNS,0.0
BMRN,0.0
BKR,0.0
BIIB,0.0
BKNG,0.0
CERN,0.0
CHKP,0.0
AXON,0.0
AZN,0.0
ATVI,0.0
AMZN,0.0
ANSS,0.0
ALGN,0.0
ALNY,0.0
ALXN,0.0
ADI,0.0
ADSK,0.0
AEP,0.0
FOX,0.0
GEHC,0.0
CSX,0.0
CPRT,0.0
CMCSA,0.0
MNST,0.0
LBTYA,0.0
KHC,0.0
KLAC,0.0
FOXA,0.0
FTNT,0.0
GFS,0.0
GOOGL,0.0
KDP,0.0
INSM,0.0
INCY,0.0
HAS,0.0
ILMN,0.0
HON,0.0
HSIC,0.0
IDXX,0.0
MPWR,0.0
MDB,0.0
EXPE,0.0
EXC,0.0
FER,0.0
FAST,0.0
FI,0.0
FANG,0.0
DLTR,0.0
CTAS,0.0
CSGP,0.0
CTSH,0.0
EA,0.0
CTXS,0.0
EBAY,0.0
CSCO,0.0
WYNN,0.0
WBA,0.0
WTW,0.0
WMT,0.0
XEL,0.0
ROST,0.0
MDLZ,0.0
MSFT,0.0
LULU,0.0
LIN,0.0
LBTYK,0.0
JBHT,0.0
MCHP,0.0
MAR,0.0
NTAP,0.0
MXIM,0.0
SGEN,0.0
ORLY,0.0
ON,0.0
PCAR,0.0
PYPL,0.0
ROP,0.0
RIVN,0.0
PAYX,0.0
SIRI,0.0
NTES,0.0
NXPI,0.0
ODFL,0.0
OKTA,0.0
MYL,0.0
NLOK,0.0
MTCH,0.0
VRSK,0.0
ULTA,0.0
TEAM,0.0
TRI,0.0
SWKS,0.0
VSNT,0.0
SHOP,0.0
SMCI,0.0
TTD,0.0
TCOM,0.0
SOLS,0.0
SPLK,0.0
STX,0.0
AVGO,-0.001042724601105521
SNPS,-0.005186113481625208
SBUX,-0.011611365297018885
INTC,-0.012581350004458234
XLNX,-0.018610089289866755
DASH,-0.019484404705480098
GILD,-0.023679996400303008
AMGN,-0.03736194364288948
QCOM,-0.04625150557642608
BIDU,-0.051076337242495225
AMD,-0.05128689196473773
CEG,-0.08019910975524669
ZS,-0.08262382205191356
COST,-0.09005848046574799
PDD,-0.09418488445536498
PTON,-0.1049388137283169
LCID,-0.12684211670184292
ENPH,-0.12922994293844348
PANW,-0.1520155518059835
