index,net_pnl
TSLA,0.5311638292661897
NVDA,0.45055546988948314
PLTR,0.3028746313732297
ZM,0.2668338068685966
AMD,0.18693944086120015
NFLX,0.14014744410808502
WDC,0.12448006264077847
CRWD,0.1164408033513861
MELI,0.09700337584838763
ASML,0.09580469146244103
TMUS,0.08917039849553147
APP,0.07764666087419585
META,0.06668216381859027
PDD,0.06469107604253492
DOCU,0.06224618888019091
LRCX,0.060792968523571786
MSTR,0.05719999921599501
GOOG,0.05566088717486626
MU,0.05320942500282126
INTU,0.049478799444647205
GOOGL,0.046207985161088254
PANW,0.04543648352431982
AVGO,0.03316438602970988
SBUX,0.033095419348600996
SNDK,0.02473578221969777
LCID,0.020257048200706895
GILD,0.01850465819686193
ISRG,0.0168023062022803
DXCM,0.016056543904201782
AMAT,0.014665273644734503
ALXN,0.013788968346128316
MRNA,0.013475127609930762
COST,0.011934769756512947
REGN,0.010155662650122998
QCOM,0.008560583863127849
MSFT,0.008188001162326985
CSCO,0.007682583032323757
AZN,0.007615444337427809
CSX,0.004270266766468377
BIDU,0.0027539492247087008
WYNN,0.0
RIVN,0.0
XEL,0.0
ULTA,0.0
SIRI,0.0
LULU,0.0
LBTYK,0.0
CCEP,0.0
CDNS,0.0
CELG,0.0
TCOM,0.0
SWKS,0.0
MCHP,0.0
ADSK,0.0
ADI,0.0
ALNY,0.0
AXON,0.0
BMRN,0.0
ANSS,0.0
ALGN,0.0
AEP,0.0
AAL,0.0
ABNB,0.0
CERN,0.0
QQQ,0.0
CHKP,0.0
CDW,0.0
BKR,0.0
CHTR,0.0
MPWR,0.0
LBTYA,0.0
KHC,0.0
GFS,0.0
FOX,0.0
FAST,0.0
FTNT,0.0
FOXA,0.0
INTC,0.0
INSM,0.0
HAS,0.0
HON,0.0
ILMN,0.0
INCY,0.0
HSIC,0.0
IDXX,0.0
MNST,0.0
FI,0.0
EA,0.0
EBAY,0.0
FER,0.0
EXC,0.0
EXPE,0.0
FANG,0.0
GEHC,0.0
CTAS,0.0
CTSH,0.0
CTXS,0.0
DLTR,0.0
CSGP,0.0
CPRT,0.0
CMCSA,0.0
WTW,0.0
WMT,0.0
VRSN,0.0
VRSK,0.0
WDAY,0.0
WBA,0.0
VSNT,0.0
SOLS,0.0
TTD,0.0
TTWO,0.0
JBHT,0.0
KDP,0.0
KLAC,0.0
MAR,0.0
MDB,0.0
NXPI,0.0
ORLY,0.0
ON,0.0
OKTA,0.0
ODFL,0.0
NTES,0.0
ROP,0.0
PCAR,0.0
PAYX,0.0
ROST,0.0
SGEN,0.0
SHOP,0.0
NLOK,0.0
NTAP,0.0
MYL,0.0
MXIM,0.0
MTCH,0.0
TXN,0.0
UAL,0.0
TEAM,0.0
TRI,0.0
STX,0.0
SPLK,0.0
MRVL,-0.0005906977646716665
BKNG,-0.0011871772134947108
ATVI,-0.002139932966790559
ADBE,-0.0030182925288091116
PYPL,-0.0034841652824434484
ADP,-0.003844459251067221
AMZN,-0.006561629494983045
VRTX,-0.009562122328462801
LIN,-0.009963170688997413
DDOG,-0.014171442862877168
MDLZ,-0.014940833622779228
SNPS,-0.0163589910784909
CEG,-0.016983487961320938
ZS,-0.018166772059601256
AMGN,-0.018909947476136755
DASH,-0.022383077884578967
JD,-0.028316094393109423
WBD,-0.028752289493801132
BIIB,-0.03813525707104735
SMCI,-0.03889275523594314
XLNX,-0.051523617525691436
AAPL,-0.05222300111240443
PEP,-0.05702838243630111
PTON,-0.10159191255363428
ENPH,-0.12567705908261112
ARM,-0.12717673080954697
