date,net_pnl
2019-06,0.0
2019-07,0.0
2019-08,0.0
2019-09,0.0
2019-10,0.0
2019-11,0.0
2019-12,0.0
2020-01,0.0
2020-02,0.0
2020-03,0.0
2020-04,0.0
2020-05,0.0
2020-06,0.0
2020-07,0.0
2020-08,0.0
2020-09,0.0
2020-10,0.0
2020-11,0.0
2020-12,0.0
2021-01,0.0
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.0
2021-12,0.0
2022-01,0.0
2022-02,0.0
2022-03,0.0
2022-04,0.0
2022-05,0.0
2022-06,0.0
2022-07,0.0
2022-08,-0.03447272056555671
2022-09,-0.06799515697188323
2022-10,0.07636592834276934
2022-11,0.06198894285155156
2022-12,-0.07201672921740036
2023-01,0.02956693546353272
2023-02,-0.026628658960359403
2023-03,0.05932553458242874
2023-04,-0.020597209256627405
2023-05,0.016432519123626702
2023-06,0.03978622637565428
2023-07,0.026053106269342704
2023-08,0.011920675634014506
2023-09,-0.05948769935138554
2023-10,-0.030870498266014325
2023-11,0.10341136151031849
2023-12,0.05941675546982567
2024-01,0.0685674930195887
2024-02,0.054312022340938786
2024-03,0.014759360095782147
2024-04,-0.02813001444476075
2024-05,0.08876977657471187
2024-06,0.05607307938174859
2024-07,-0.05949531411601542
2024-08,0.009354829043425763
2024-09,0.014291849044644828
2024-10,-0.015239637130977963
2024-11,0.027623269695135365
2024-12,-0.024358873458202555
2025-01,0.054031600202481475
2025-02,0.006527421599662284
2025-03,-0.09341502415658849
2025-04,0.05750770821999338
2025-05,0.05876755670575134
2025-06,0.036774631492437045
2025-07,-0.028780844756612696
2025-08,0.008365665527219665
2025-09,0.06370262577156782
2025-10,0.050773933403775534
2025-11,-0.025182625295873944
2025-12,0.025829734837419713
2026-01,0.059727583514007906
2026-02,0.013739959484914112
2026-03,-0.017691041405357162
2026-04,0.15852929500793883
