variant_id,universe,ranking_rule,top_k,trend_window,volume_confirmation,source_long_entries,cost2_net_simple_return,cost2_maximum_drawdown,cost2_entries,cost2_positive_months,cost2_negative_months,cost2_recent12_positive_months,cost2_recent12_average_month,cost2_top5_day_positive_share,cost2_top5_symbol_positive_share,cost2_2021,cost2_2022_2023,cost2_2024_2026apr,cost2_worst_fold,cost5_net_simple_return,cost5_maximum_drawdown,cost5_entries,cost5_positive_months,cost5_negative_months,cost5_recent12_positive_months,cost5_recent12_average_month,cost5_top5_day_positive_share,cost5_top5_symbol_positive_share,cost5_2021,cost5_2022_2023,cost5_2024_2026apr,cost5_worst_fold,cost10_net_simple_return,cost10_maximum_drawdown,cost10_entries,cost10_positive_months,cost10_negative_months,cost10_recent12_positive_months,cost10_recent12_average_month,cost10_top5_day_positive_share,cost10_top5_symbol_positive_share,cost10_2021,cost10_2022_2023,cost10_2024_2026apr,cost10_worst_fold
sp500__pivot_target_room_pct__top5__sma100__vol0,sp500,target_room_pct,5,100,False,330842,1.360702020737909,0.18058631998433713,5682,41,15,10,0.017186113852606016,0.02825529660113823,0.18358576477743205,0.02977944410453718,1.0776679110759046,0.25325466555746734,0.02977944410453718,0.6719020207379097,0.2153170131101442,5682,35,21,8,0.004636113852606031,0.029895066083119547,0.20137392729273465,-0.012820555895462785,0.7806679110759047,-0.09594533444253225,-0.09594533444253225,-0.4760979792620907,0.6535432220788356,5682,22,34,3,-0.016280552814060646,0.03299752542912948,0.237905174724217,-0.0838205558954628,0.28566791107590456,-0.6779453344425324,-0.6779453344425324
sp500__pivot_target_room_pct__top5__sma100__vol1,sp500,target_room_pct,5,100,True,330842,1.3382659592555854,0.11198854600697447,5450,42,14,7,0.011322173340519751,0.027240811412177636,0.1600875346145413,0.14747294400640062,0.969527243825575,0.22126577142360976,0.14747294400640062,0.659665959255586,0.14467796254352533,5450,32,24,5,-0.0011278266594802373,0.028946854673073178,0.18000084700110983,0.10607294400640067,0.678527243825575,-0.1249342285763898,-0.1249342285763898,-0.47133404074441443,0.6641641489259015,5450,23,33,4,-0.021877826659480248,0.03222875312504809,0.22275387677840053,0.03707294400640066,0.193527243825575,-0.7019342285763901,-0.7019342285763901
sp500__pivot_target_room_pct__top5__sma200__vol0,sp500,target_room_pct,5,200,False,330842,1.1101034704568256,0.08752192114101698,5198,33,18,6,0.0032686553514197727,0.0337075010759296,0.19916589471024934,0.0,1.0229585976676316,0.08714487278919408,0.0,0.4813034704568261,0.19844343923002383,5198,28,23,5,-0.009281344648580213,0.0357439220127979,0.22461642803018023,0.0,0.7433585976676318,-0.2620551272108056,-0.2620551272108056,-0.5666965295431742,0.7084187664331921,5198,20,31,3,-0.030198011315246884,0.039589668586061874,0.27558201374763086,0.0,0.2773585976676317,-0.8440551272108058,-0.8440551272108058
sp500__pivot_target_room_pct__top5__sma200__vol1,sp500,target_room_pct,5,200,True,330842,0.6658589118183639,0.18123014405696183,4982,31,20,5,-0.015381889525393036,0.03240661680962655,0.1699739256284089,0.0,0.8568985348398248,-0.191039623021461,-0.191039623021461,0.046658911818364346,0.4031846269620543,4982,23,28,3,-0.02778188952539302,0.03455995660762531,0.19189843683855115,0.0,0.5838985348398249,-0.5372396230214607,-0.5372396230214607,-0.985341088181636,1.016241659411452,4982,17,34,1,-0.0484485561920597,0.038691924246897755,0.24431746823830433,0.0,0.12889853483982494,-1.1142396230214606,-1.1142396230214606
sp500__pivot_target_room_pct__top10__sma100__vol0,sp500,target_room_pct,10,100,False,330842,1.341941478885319,0.09416544579909704,11194,42,14,10,0.020920245760247577,0.029176725561339947,0.15266185224063855,0.06449091971002306,0.9180600561585383,0.35939050301675785,0.06449091971002306,0.6531414788853196,0.12527798342252702,11194,37,19,8,0.008370245760247589,0.031466776034049265,0.17851809235274876,0.021890919710023084,0.6210600561585384,0.010190503016758029,0.010190503016758029,-0.49485852111468076,0.6109242977766368,11194,21,35,4,-0.012546420906419083,0.03599326183704305,0.244310057062479,-0.04910908028997692,0.12606005615853833,-0.5718094969832421,-0.5718094969832421
sp500__pivot_target_room_pct__top10__sma100__vol1,sp500,target_room_pct,10,100,True,330842,1.361181854524624,0.0662650797029261,10148,45,11,9,0.013330391064239243,0.0313513211322485,0.11800564590309205,0.12090805042540828,0.9201259701180935,0.32014783398112223,0.12090805042540828,0.6825818545246243,0.09372894738000358,10148,34,22,4,0.0008803910642392505,0.03421751288978453,0.1393142844178155,0.0795080504254083,0.6291259701180936,-0.02605216601887761,-0.02605216601887761,-0.4484181454753759,0.6176123147405913,10148,20,36,3,-0.01986960893576075,0.03997768856395116,0.19562729603541057,0.010508050425408304,0.1441259701180935,-0.6030521660188777,-0.6030521660188777
sp500__pivot_target_room_pct__top10__sma200__vol0,sp500,target_room_pct,10,200,False,330842,0.9374449416344127,0.06550681934753512,10259,34,17,7,0.008273770241781447,0.03564805727730029,0.16889196461462677,0.0,0.8141304963117899,0.12331444532262296,0.0,0.3086449416344132,0.19420266067494205,10259,24,27,6,-0.004276229758218544,0.03867503694397767,0.20121040874630908,0.0,0.5345304963117901,-0.2258855546773768,-0.2258855546773768,-0.739355058365587,0.8067006354364394,10259,14,37,1,-0.025192896424885217,0.04470657012596975,0.2845456855645941,0.0,0.06853049631178992,-0.807885554677377,-0.807885554677377
sp500__pivot_target_room_pct__top10__sma200__vol1,sp500,target_room_pct,10,200,True,330842,0.6056325006519382,0.11716352173217984,9321,31,20,4,-0.007541782378732809,0.03645550819716312,0.139738408736686,0.0,0.7067337200128562,-0.10110121936091807,-0.10110121936091807,-0.013567499348061673,0.3815162992708719,9321,23,28,2,-0.0199417823787328,0.03978935496327452,0.16847122643730877,0.0,0.43373372001285626,-0.4473012193609178,-0.4473012193609178,-1.0455674993480617,1.0644781736750646,9321,13,38,1,-0.040608449045399474,0.0464803511833635,0.24598316592811606,0.0,-0.021266279987143838,-1.0243012193609182,-1.0243012193609182
sp500__pivot_target_room_pct__top20__sma100__vol0,sp500,target_room_pct,20,100,False,330842,1.1593689760841528,0.06580330629372998,21448,44,12,10,0.017494875717791042,0.0327468685909365,0.12779226724552414,0.05534692042535415,0.7507967592716043,0.35322529638719447,0.05534692042535415,0.47056897608415316,0.09708654361480808,21448,34,22,8,0.00494487571779105,0.03630157705750165,0.1661418636849685,0.012746920425354148,0.45379675927160446,0.004025296387194621,0.004025296387194621,-0.677431023915847,0.7146446718179644,21448,14,42,2,-0.01597179094887562,0.043860495400949356,0.28638312224524837,-0.05825307957464586,-0.041203240728395624,-0.5779747036128055,-0.5779747036128055
sp500__pivot_target_room_pct__top20__sma100__vol1,sp500,target_room_pct,20,100,True,330842,1.0457335083975212,0.06237582743232045,16712,43,13,7,0.013189630885148225,0.03715650763873984,0.12568722888237108,0.07980355621482993,0.6660428898289543,0.299887062353737,0.07980355621482993,0.3671335083975213,0.1305587601072383,16712,33,23,5,0.0007396308851482245,0.04158564469755882,0.16113928049192355,0.03840355621482996,0.3750428898289543,-0.04631293764626297,-0.04631293764626297,-0.7638664916024787,0.8046226518241834,16712,14,42,3,-0.020010369114851774,0.05105695857945325,0.2587995408509848,-0.030596443785170062,-0.10995711017104566,-0.6233129376462629,-0.6233129376462629
sp500__pivot_target_room_pct__top20__sma200__vol0,sp500,target_room_pct,20,200,False,330842,0.7156608921535521,0.06465619501344157,19719,37,14,9,0.008329751313351428,0.042692397488819145,0.15143466033534228,0.0,0.5832211410800789,0.13243975107347317,0.0,0.08686089215355233,0.21400601416688994,19719,24,27,5,-0.004220248686648568,0.04761892496998213,0.21457380010214988,0.0,0.30362114108007904,-0.21676024892652665,-0.21676024892652665,-0.9611391078464478,0.9718839310921299,19719,8,43,0,-0.025136915353315237,0.058065936718479,0.40221239283019583,0.0,-0.16237885891992107,-0.7987602489265266,-0.7987602489265266
sp500__pivot_target_room_pct__top20__sma200__vol1,sp500,target_room_pct,20,200,True,330842,0.5017518577893869,0.07537751049002357,15484,31,20,3,-0.001425008622129198,0.04288164364518459,0.137646118902446,0.0,0.4917008926394234,0.010050965149963544,0.0,-0.11744814221061306,0.3535682955883052,15484,20,31,2,-0.013825008622129197,0.04820514091457522,0.18021595171047491,0.0,0.21870089263942327,-0.3361490348500364,-0.3361490348500364,-1.149448142210613,1.1551222846424256,15484,9,42,1,-0.03449167528879586,0.059243499355620975,0.28818354240349586,0.0,-0.23629910736057663,-0.9131490348500363,-0.9131490348500363
sp500__pivot_closest_above_pivot_by_prior_range__top5__sma100__vol0,sp500,closest_above_pivot_by_prior_range,5,100,False,330842,0.8044895511439912,0.09269942766149908,5682,37,19,6,0.005920750691291144,0.031045143824184218,0.10798640204546082,0.04677092402450093,0.5496935120696674,0.20802511504982277,0.04677092402450093,0.11568955114399138,0.2189581688633515,5682,32,24,5,-0.0066292493087088495,0.033925784781312834,0.1331664197108746,0.004170924024500935,0.2526935120696676,-0.14117488495017713,-0.14117488495017713,-1.0323104488560086,1.0599218933937682,5682,17,39,4,-0.02754591597537552,0.03980880976333395,0.19111019807961654,-0.06682907597549907,-0.2423064879303324,-0.7231748849501771,-0.7231748849501771
sp500__pivot_closest_above_pivot_by_prior_range__top5__sma100__vol1,sp500,closest_above_pivot_by_prior_range,5,100,True,330842,0.8266224443586128,0.10284785039605111,5450,38,18,7,0.012910429501376672,0.029349521693732554,0.13306190374351365,0.059534233920822535,0.5130418572925172,0.25404635314527313,0.059534233920822535,0.1480224443586131,0.2111985340791243,5450,29,27,6,0.000460429501376683,0.03176365083273568,0.15936982189405727,0.018134233920822536,0.22204185729251724,-0.09215364685472668,-0.09215364685472668,-0.982977555641387,0.9834114650486172,5450,16,40,3,-0.020289570498623323,0.036674846272788025,0.21854967932523547,-0.05086576607917747,-0.26295814270748274,-0.6691536468547268,-0.6691536468547268
sp500__pivot_closest_above_pivot_by_prior_range__top5__sma200__vol0,sp500,closest_above_pivot_by_prior_range,5,200,False,330842,0.5887028276630815,0.07234910487874965,5198,33,18,5,0.003225298721719861,0.03924984653057006,0.14216613044687731,0.0,0.48541652651054557,0.10328630115253583,0.0,-0.040097172336918285,0.31355223719157277,5198,25,26,4,-0.009324701278280133,0.04309572891691712,0.17181407490232695,0.0,0.20581652651054577,-0.24591369884746406,-0.24591369884746406,-1.0880971723369184,1.1180916329537498,5198,11,40,2,-0.030241367944946803,0.051010959115448916,0.24732348870223728,0.0,-0.2601834734894543,-0.827913698847464,-0.827913698847464
