variant,trade_symbols,lookback,market_sma,holding_sessions,entry_delay_sessions,cost_bps_per_side,breadth,require_positive_momentum,require_market_trend,market_trend_direction,require_all_funds_positive,require_qqq_positive_lookback,require_sma_rising,require_sma_falling,require_orderly_volatility,require_trend_efficiency,weight_scheme,volatility_scaling,full_net,full_max_dd,full_recovery_days,full_decisions,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_max_dd,18m_recovery_days,18m_decisions,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_max_dd,15m_recovery_days,15m_decisions,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_max_dd,12m_recovery_days,12m_decisions
candidate_5bps_delay1,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,3.7379897667071695,0.2583008505067076,434,122,1.103118226557752,0.06128434591987512,0.012644968938298893,5,0.34018596678796326,187,25,1.2887839776050631,0.08591893184033755,0.02245166559856991,3,0.12704990787040957,85,20,1.2663323120064933,0.10552769266720778,0.112424869400546,3,0.12847106283759877,85,19
candidate_10bps_delay1,"('TQQQ', 'SOXL')",5,20,10,1,10.0,2,True,True,above,False,False,True,False,False,False,equal,none,3.6159897667071697,0.2613944183390935,439,122,1.0776182265577523,0.05986767925320846,0.010644968938298893,5,0.3440710424101765,187,25,1.2682839776050634,0.08455226517367088,0.02095166559856991,3,0.12892462570645402,85,20,1.2473323120064932,0.10394435933387446,0.109924869400546,3,0.1302788358701628,85,19
candidate_20bps_delay1,"('TQQQ', 'SOXL')",5,20,10,1,20.0,2,True,True,above,False,False,True,False,False,False,equal,none,3.3719897667071694,0.26780931222652854,448,122,1.0266182265577521,0.05703434591987512,0.00737592473418819,6,0.3518620972057385,187,25,1.2272839776050632,0.08181893184033755,0.017951665598569908,4,0.13275329037893863,85,20,1.2093323120064934,0.10077769266720778,0.10492486940054599,4,0.13396321774456607,85,19
candidate_5bps_delay2,"('TQQQ', 'SOXL')",5,20,10,2,5.0,2,True,True,above,False,False,True,False,False,False,equal,none,3.5933099942989757,0.261424619682759,357,122,1.1530808009656963,0.06406004449809424,0.02990437351000061,5,0.16655289484727911,176,25,1.027094948984422,0.06847299659896147,0.003643171094496838,4,0.17776353456107494,176,20,1.073473216208621,0.08945610135071842,0.0989428968698644,3,0.14356485683519038,176,19
