campaign_id,variant_id,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding,metadata_json
CAM-0607,etf__cluster_all__return1__negative_demeaned,etf,1,-1.0,4.0868428228726135,3.720842822872613,-0.3660000000000001,40260,40260,1830,962,868,0.9989082969432315,1.0000000000000004,3660.0,20,2,0.9011941017463676,0.04647950301807575,SOXS,1.5438869327509779,2.5429558901216356,0,0,0.046441395714461514,0.034050628979503575,55,33,0,0.18661028213520578,2019-10-03,2020-02-28,7.0,0.05067359209315283,12,0.04269032181880201,0.07369359408699844,9,3,0,15,0.08965384976437492,0.0932167962980438,12,3,0,18,0.061834878114904436,0.05262732570128497,13,5,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
CAM-0607,sp500__cluster_all__return1__negative_demeaned,sp500,1,-1.0,0.4470658515337562,0.19656951730126998,-0.2504963342324862,630647,630751,1253,678,575,0.9979933634760404,1.0000000000000002,2504.9633423248615,398,208,0.12421136178422951,0.05784947098729431,AMCR,0.03440890085637655,0.4126569506773797,99,0,0.0074510975255626015,0.005916005604584069,41,19,0,0.08243232312715704,2022-02-25,2023-03-15,104.0,0.013633636000524642,12,0.007198602613261998,0.007724298285563515,7,5,0,15,0.009779945425305773,0.009846136045730336,9,6,0,18,0.008715803005485884,0.006653098569963516,11,7,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
CAM-0607,qqq__cluster_all__return1__negative_demeaned,qqq,1,-1.0,0.4467911145500305,0.10241826082898535,-0.34437285372104537,174799,174870,1722,908,814,0.9987611766851663,1.0000000000000004,3443.7285372104534,94,70,0.2658076481939974,0.032363280972395575,SMCI,0.09637379376296637,0.3504173207870641,7,0,0.005383025476506392,0.0030294299386614855,50,33,0,0.199451176248969,2022-02-04,2023-01-27,431.0,0.08726623477529764,12,-0.0047662983227060715,-0.0020300372050259313,6,6,0,15,0.0007989276497634197,0.0022808229543401864,8,7,0,18,0.0024388305886562057,0.0029332413972409516,10,8,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
CAM-0607,etf__cluster_all__return1__negative_demeaned,etf,1,0.0,3.720842822872613,3.720842822872613,0.0,40260,40260,1830,955,875,0.9989082969432315,1.0000000000000004,3660.0,17,5,0.9286430578450781,0.046940848820608026,SOXS,1.4855732101265278,2.235269612746085,0,0,0.0422823048053706,0.02975062897950362,52,36,0,0.20764387608862614,2019-10-03,2020-02-28,8.0,0.05518342631860526,12,0.038523655152135336,0.06969359408699843,9,3,0,15,0.08550718309770824,0.08921679629804379,12,3,0,18,0.05771265589268219,0.04872732570128498,13,5,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
CAM-0607,sp500__cluster_all__return1__negative_demeaned,sp500,1,0.0,0.19656951730126998,0.19656951730126998,0.0,630647,630751,1253,651,602,0.9979933634760404,1.0000000000000002,2504.9633423248615,334,272,0.14879562739958557,0.06112279188362601,AMCR,0.03394360571240818,0.1626259115888618,99,0,0.003276158621687833,0.0017240595412906321,32,28,0,0.13485141229695694,2022-02-25,2023-03-15,255.0,0.022386705559471504,12,0.0030161937340887376,0.0035256199691161465,6,6,0,15,0.0056208232743268725,0.005648210331125975,8,7,0,18,0.004572202715424261,0.0026536130739582987,10,8,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
CAM-0607,qqq__cluster_all__return1__negative_demeaned,qqq,1,0.0,0.10241826082898535,0.10241826082898535,0.0,174799,174870,1722,885,837,0.9987611766851663,1.0000000000000004,3443.7285372104534,82,82,0.30323574619624477,0.03356026405032743,SMCI,0.09556911907281848,0.006849141756166868,7,0,0.001233954949746809,-0.0011828556956281536,39,44,0,0.25761615337311333,2022-02-04,2023-01-27,,0.14910883486454687,12,-0.00894889604850283,-0.006430037205025933,4,8,0,15,-0.0033604838642073216,-0.0023191770456598183,6,9,0,18,-0.0017051234507638575,-0.001566758602759049,8,10,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
CAM-0607,etf__cluster_all__return1__negative_demeaned,etf,1,1.0,3.3548428228726133,3.720842822872613,0.3660000000000001,40260,40260,1830,938,892,0.9989082969432315,1.0000000000000004,3660.0,14,8,0.9560382369996087,0.04740574624752788,SOXS,1.4272594875020748,1.9275833353705385,0,0,0.0381232138962797,0.0254506289795036,50,38,0,0.22997089256646794,2019-10-03,2020-02-28,8.0,0.06039735493111143,12,0.03435698848546868,0.06569359408699844,9,3,0,15,0.08136051643104157,0.08521679629804381,12,3,0,18,0.05359043367045998,0.04482732570128496,12,6,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
CAM-0607,sp500__cluster_all__return1__negative_demeaned,sp500,1,1.0,-0.05392681693121623,0.19656951730126998,0.2504963342324862,630647,630751,1253,614,639,0.9979933634760404,1.0000000000000002,2504.9633423248615,281,325,0.18000217665077423,0.06463064301242262,AMCR,0.033478310568439786,-0.08740512749965601,99,0,-0.000898780282186936,-0.0024678865220027994,25,35,0,0.19293597957947461,2022-02-04,2023-03-15,,0.07989666775091546,12,-0.001166215145084521,-0.0006730583473312239,6,6,0,15,0.001461701123347976,0.001450284616521605,8,7,0,18,0.000428602425362639,-0.0013458724220469201,8,10,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
CAM-0607,qqq__cluster_all__return1__negative_demeaned,qqq,1,1.0,-0.24195459289206012,0.10241826082898535,0.34437285372104537,174799,174870,1722,862,860,0.9987611766851663,1.0000000000000004,3443.7285372104534,67,97,0.34349369407037766,0.03482738018762998,SMCI,0.09476444438267059,-0.33671903727473074,7,0,-0.002915115577012772,-0.005214340159858288,31,52,0,0.36763318550023794,2021-05-11,2026-04-10,,0.35508755942573855,12,-0.013131493774299589,-0.010830037205025934,3,9,0,15,-0.0075198953781780604,-0.00691917704565982,5,10,0,18,-0.005849077490183916,-0.006066758602759054,7,11,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
CAM-0607,etf__cluster_all__return1__negative_demeaned,etf,1,2.0,2.988842822872613,3.720842822872613,0.7320000000000002,40260,40260,1830,931,899,0.9989082969432315,1.0000000000000004,3660.0,10,12,0.9793559091960036,0.04787461315392225,SOXS,1.368945764877629,1.619897057994984,0,0,0.03396412298718878,0.021150628979503608,50,38,0,0.26365301047698214,2019-05-02,2020-02-28,12.0,0.06649422868784245,12,0.030190321818802008,0.06169359408699842,9,3,0,15,0.07721384976437491,0.08121679629804378,12,3,0,18,0.04946821144823774,0.04092732570128496,12,6,0,open_to_close,"{""cluster"": ""entire_applicable_panel"", ""return_sessions"": 1, ""short_rule"": ""intraday_signal_diagnostic""}"
