variant,K,M,breadth,leg,weight,cost_bps_per_side,full_net_simple_return,mean_decision_net_bps_scaled,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,stop_count,top_5_day_profit_share,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
K6_M2_decile_long_low_strength_capped_c0,6,2,decile,long_low,strength_capped,0,0.1915093745461288,2.8498418831269166,0.06605829599642582,175,False,672,112,143,0.9947051774804521,0.010639409697007154,5,0.012767291636408587,5,0.005458307123401827,4
K6_M2_quintile_long_low_strength_capped_c0,6,2,quintile,long_low,strength_capped,0,0.1805778121867364,2.6871698242073867,0.07139791907828286,175,False,672,112,241,1.0481182951511867,0.010032100677040912,5,0.012038520812449095,5,0.005545814169384339,4
K6_M2_decile_long_low_equal_c0,6,2,decile,long_low,equal,0,0.17186275295848527,2.5574814428346015,0.0625747475176485,175,False,672,112,143,1.0733419975412857,0.009547930719915844,5,0.011457516863899012,5,0.0045509829941333445,4
K6_M3_decile_long_low_strength_capped_c0,6,3,decile,long_low,strength_capped,0,0.16817145206191675,3.003061643962798,0.054894466187156044,175,False,560,112,214,0.9180784051877502,0.009342858447884262,5,0.011211430137461115,5,0.004672660101193673,4
K4_M4_decile_long_low_strength_capped_c0,4,4,decile,long_low,strength_capped,0,0.16679267391707597,2.482033838051726,0.0540440919663822,287,True,672,112,408,1.1277083369613654,0.009266259662059776,5,0.01111951159447173,5,0.0036076377808942025,4
K6_M2_quintile_long_low_equal_c0,6,2,quintile,long_low,equal,0,0.15828606967604314,2.3554474654173085,0.07265765181351308,175,False,672,112,241,1.111838621387444,0.008793670537557953,5,0.010552404645069543,5,0.004873743033486787,4
K4_M4_quintile_long_low_strength_capped_c0,4,4,quintile,long_low,strength_capped,0,0.15171037172178048,2.2575948172884006,0.053239653494180965,287,True,672,112,604,1.1660857216144729,0.008428353984543363,5,0.010114024781452033,5,0.0035276959040843026,4
K6_M3_quintile_long_low_strength_capped_c0,6,3,quintile,long_low,strength_capped,0,0.15052246968646138,2.687901244401095,0.050780961066705425,171,False,560,112,337,0.9970326631165288,0.00836235942702563,4,0.010034831312430754,4,0.004408582864807646,3
K4_M4_decile_long_low_equal_c0,4,4,decile,long_low,equal,0,0.14444042352577574,2.1494110643716637,0.06207566870919873,290,True,672,112,408,1.265091108468283,0.008024467973654211,5,0.009629361568385054,5,0.0026409474803210497,4
K6_M3_decile_long_low_equal_c0,6,3,decile,long_low,equal,0,0.14233041324603118,2.5416145222505566,0.0510611151114666,183,False,560,112,214,1.020845151606154,0.007907245180335067,5,0.00948869421640208,5,0.003920875893398409,4
