component,morning,hold,confirmation,signal_days,net,positive_fraction,max_drawdown,recovery_days,unresolved,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_trades,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_trades,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_trades
open_session,15,30,positive_preclose_same_length,85,-0.009302989791988736,0.4235294117647059,0.01937687999749349,2,True,-0.009302989791988736,-0.0005168327662215964,-0.0013031162756988457,10,0,85,-0.009418563730254403,-0.0006279042486836268,-0.001517800728232488,8,0,67,-0.01696566949681866,-0.001413805791401555,-0.0018960740845979651,7,0,54
open_session,15,30,none,186,-0.018447107302780097,0.41397849462365593,0.03896227494722393,72,True,-0.018447107302780097,-0.0010248392945988944,-0.002780268514805617,12,0,186,-0.01807185868864203,-0.0012047905792428018,-0.003624445179091329,10,0,157,-0.0367424409945889,-0.0030618700828824084,-0.0036321851456377896,9,0,127
open_session,60,15,positive_preclose_same_length,88,-0.031372745795885004,0.375,0.03800782123535851,30,True,-0.031372745795885004,-0.0017429303219936114,-0.0013770132844794225,14,0,88,-0.02558616702902039,-0.0017057444686013592,-0.0010169325953970354,11,0,77,-0.03638376274745392,-0.003031980228954493,-0.001416734585729551,10,0,62
open_session,15,60,none,186,-0.02661116603382363,0.42473118279569894,0.06542296358026789,35,True,-0.02661116603382363,-0.0014783981129902017,-0.0033697715894420166,11,0,186,-0.025752975766291764,-0.0017168650510861175,-0.0038793465280444472,9,0,157,-0.05929572925808824,-0.004941310771507353,-0.005322148818700467,9,0,127
open_session,30,30,positive_preclose_same_length,96,-0.034980038391589474,0.3854166666666667,0.03710976314014669,3,True,-0.034980038391589474,-0.0019433354661994153,-0.0006699272207519869,11,0,96,-0.029253134554939164,-0.0019502089703292776,-0.0007588752429797951,9,0,77,-0.031404412154294015,-0.002617034346191168,-0.0007717879189910737,8,0,66
open_session,15,15,positive_preclose_same_length,90,-0.03734931563424493,0.3333333333333333,0.03734931563424493,2,True,-0.03734931563424493,-0.0020749619796802737,-0.0016584850662662576,12,0,90,-0.031147854082998694,-0.002076523605533246,-0.0015004335564704485,10,0,77,-0.032423683603309716,-0.002701973633609143,-0.0016584850662662576,9,0,58
overnight_to_open,30,30,positive_preclose_same_length,112,-0.04805172398487967,0.39285714285714285,0.04952146401968205,92,True,-0.04805172398487967,-0.002669540221382204,-0.002202356758617574,13,0,112,-0.03259684934910012,-0.002173123289940008,-0.001819370299399714,10,0,83,-0.03983496105474782,-0.0033195800878956516,-0.001982534678322101,9,0,75
overnight_to_open,60,30,positive_preclose_same_length,112,-0.04805172398487967,0.39285714285714285,0.04952146401968205,92,True,-0.04805172398487967,-0.002669540221382204,-0.002202356758617574,13,0,112,-0.03259684934910012,-0.002173123289940008,-0.001819370299399714,10,0,83,-0.03983496105474782,-0.0033195800878956516,-0.001982534678322101,9,0,75
overnight_to_open,15,30,positive_preclose_same_length,112,-0.04805172398487967,0.39285714285714285,0.04952146401968205,92,True,-0.04805172398487967,-0.002669540221382204,-0.002202356758617574,13,0,112,-0.03259684934910012,-0.002173123289940008,-0.001819370299399714,10,0,83,-0.03983496105474782,-0.0033195800878956516,-0.001982534678322101,9,0,75
combined_previous_close,60,30,positive_preclose_same_length,104,-0.05000397368794818,0.38461538461538464,0.05128839232930826,0,True,-0.05000397368794818,-0.002777998538219343,-0.0023237823271534674,12,0,104,-0.03306907815891447,-0.0022046052105942977,-0.0017460779246013525,9,0,79,-0.03613505214660562,-0.003011254345550468,-0.0023237823271534674,8,0,68
