component,morning,hold,confirmation,signal_days,net,positive_fraction,max_drawdown,recovery_days,unresolved,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_trades,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_trades,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_trades
combined_previous_close,15,30,positive_preclose_same_length,108,-0.05044365497436476,0.3888888888888889,0.05172747915551146,0,True,-0.05044365497436476,-0.002802425276353598,-0.0028206410593140108,14,0,108,-0.03379783292407312,-0.002253188861604875,-0.001819370299399714,11,0,83,-0.037663052706845,-0.0031385877255704167,-0.0023604285145526482,9,0,70
open_session,60,30,positive_preclose_same_length,93,-0.04353900459940174,0.3870967741935484,0.04545791129990795,3,True,-0.04353900459940174,-0.002418833588855652,-0.001677544654066887,12,0,93,-0.03592909878859796,-0.002395273252573197,-0.0007847005950023522,9,0,74,-0.0407456536458507,-0.0033954711371542248,-0.002294196417109484,8,0,62
open_session,30,15,positive_preclose_same_length,90,-0.0446809711066376,0.3333333333333333,0.045782754927523706,21,True,-0.0446809711066376,-0.002482276172590978,-0.0014727753584973802,11,0,90,-0.039227238725390356,-0.002615149248359357,-0.0010295234632612393,9,0,78,-0.03550607271401174,-0.0029588393928343115,-0.0014727753584973802,8,0,63
open_session,60,15,none,195,-0.04686960876228963,0.41025641025641024,0.07308593061847624,29,True,-0.04686960876228963,-0.002603867153460535,-0.002173973108995475,12,0,195,-0.03945164630727915,-0.0026301097538186102,-0.002312502992454779,9,0,167,-0.06542805926939543,-0.0054523382724496194,-0.004254542455162269,8,0,139
combined_previous_close,30,30,positive_preclose_same_length,111,-0.05663008389455815,0.36936936936936937,0.058117839232442625,9,True,-0.05663008389455815,-0.003146115771919897,-0.0026501098662983225,14,0,111,-0.03998426184426651,-0.002665617456284434,-0.001819370299399714,11,0,86,-0.04568363018159627,-0.003806969181799689,-0.00218989732153696,9,0,75
combined_previous_close,60,15,positive_preclose_same_length,93,-0.047657524779370575,0.3655913978494624,0.05073834162116553,38,True,-0.047657524779370575,-0.0026476402655205874,-0.0031289662683191,14,0,93,-0.04023278390264773,-0.0026821855935098486,-0.003682309147898355,11,0,80,-0.039097334843317455,-0.003258111236943121,-0.004273793621800193,9,0,65
open_session,60,30,none,195,-0.06536839207238831,0.38461538461538464,0.07263011173861689,3,True,-0.06536839207238831,-0.0036315773373549066,-0.0038215383661392988,13,0,195,-0.041588659380203064,-0.0027725772920135375,-0.003779011267275867,10,0,167,-0.07124013103891613,-0.005936677586576344,-0.005768660077879018,9,0,139
combined_previous_close,30,15,positive_preclose_same_length,98,-0.052054457730791426,0.35714285714285715,0.05625736914552126,38,True,-0.052054457730791426,-0.0028919143183773013,-0.0033178822106517125,14,0,98,-0.04270535815742016,-0.0028470238771613437,-0.004085857839855156,11,0,84,-0.0399947231891884,-0.003332893599099033,-0.0033982153546912586,9,0,69
combined_previous_close,15,15,positive_preclose_same_length,105,-0.054774266460598686,0.3523809523809524,0.055331574214774415,38,True,-0.054774266460598686,-0.003043014803366594,-0.003551632442441166,16,0,105,-0.042766606463874535,-0.0028511070975916356,-0.0029078679666053597,13,0,90,-0.03861625142516889,-0.0032180209520974077,-0.0026743275615787043,11,0,72
open_session,15,15,none,186,-0.0354585246533895,0.44086021505376344,0.052073969333153,13,True,-0.0354585246533895,-0.001969918036299417,-0.0029256482856792054,12,0,186,-0.0431901722149306,-0.0028793448143287067,-0.0031807610274039444,10,0,157,-0.046292819472291136,-0.0038577349560242613,-0.0037476213372665823,9,0,127
overnight_to_open,60,15,positive_preclose_same_length,109,-0.05761448259318702,0.3486238532110092,0.05761499541077397,38,True,-0.05761448259318702,-0.00320080458851039,-0.003644985062794537,14,0,109,-0.04665120168665904,-0.003110080112443936,-0.004099760152472265,11,0,92,-0.044836214585165624,-0.0037363512154304688,-0.004506934205595392,9,0,77
overnight_to_open,15,15,positive_preclose_same_length,109,-0.05761448259318702,0.3486238532110092,0.05761499541077397,38,True,-0.05761448259318702,-0.00320080458851039,-0.003644985062794537,14,0,109,-0.04665120168665904,-0.003110080112443936,-0.004099760152472265,11,0,92,-0.044836214585165624,-0.0037363512154304688,-0.004506934205595392,9,0,77
overnight_to_open,30,15,positive_preclose_same_length,109,-0.05761448259318702,0.3486238532110092,0.05761499541077397,38,True,-0.05761448259318702,-0.00320080458851039,-0.003644985062794537,14,0,109,-0.04665120168665904,-0.003110080112443936,-0.004099760152472265,11,0,92,-0.044836214585165624,-0.0037363512154304688,-0.004506934205595392,9,0,77
open_session,15,60,positive_preclose_same_length,110,-0.06181339964915511,0.35454545454545455,0.0642395861878009,35,True,-0.06181339964915511,-0.003434077758286395,-0.003581879045210401,12,0,110,-0.05241373140614114,-0.003494248760409409,-0.001980114077401174,10,0,93,-0.049228518399886734,-0.004102376533323894,-0.004127745908976632,9,0,77
combined_previous_close,60,30,none,201,-0.0886092286842799,0.3681592039800995,0.08953633172124498,36,True,-0.0886092286842799,-0.004922734926904438,-0.003942380320453742,13,0,201,-0.05283884382363224,-0.0035225895882421495,-0.0032900136393770874,10,0,166,-0.06164897012977488,-0.0051374141774812405,-0.003942380320453742,9,0,141
combined_previous_close,15,30,none,218,-0.07690765886052009,0.3669724770642202,0.07638145073615887,77,True,-0.07690765886052009,-0.004272647714473338,-0.005311081143943852,13,0,218,-0.054157647741731374,-0.0036105098494487583,-0.0037143931538605734,10,0,180,-0.06040700101060237,-0.005033916750883531,-0.005779414984611209,9,0,149
open_session,30,30,none,201,-0.07602126161174816,0.3681592039800995,0.07493765939149266,29,True,-0.07602126161174816,-0.004223403422874898,-0.0037924820481887167,12,0,201,-0.05476270078786849,-0.0036508467191912327,-0.0032585301346385043,10,0,169,-0.0647808038543064,-0.0053984003211922,-0.004930752435405805,9,0,141
overnight_to_open,30,30,none,222,-0.07688127398008959,0.3738738738738739,0.07548417915702776,0,True,-0.07688127398008959,-0.004271181887782755,-0.004742448022002965,14,0,222,-0.054880040518881845,-0.0036586693679254564,-0.0017418559568954661,11,0,180,-0.06430732825505359,-0.005358944021254465,-0.004742448022002965,10,0,154
overnight_to_open,60,30,none,222,-0.07688127398008959,0.3738738738738739,0.07548417915702776,0,True,-0.07688127398008959,-0.004271181887782755,-0.004742448022002965,14,0,222,-0.054880040518881845,-0.0036586693679254564,-0.0017418559568954661,11,0,180,-0.06430732825505359,-0.005358944021254465,-0.004742448022002965,10,0,154
overnight_to_open,15,30,none,222,-0.07688127398008959,0.3738738738738739,0.07548417915702776,0,True,-0.07688127398008959,-0.004271181887782755,-0.004742448022002965,14,0,222,-0.054880040518881845,-0.0036586693679254564,-0.0017418559568954661,11,0,180,-0.06430732825505359,-0.005358944021254465,-0.004742448022002965,10,0,154
open_session,30,15,none,201,-0.05736118333613227,0.40298507462686567,0.0760665675555019,29,True,-0.05736118333613227,-0.003186732407562904,-0.004238982543919523,12,0,201,-0.05847966126571891,-0.0038986440843812604,-0.0053358457094691,10,0,169,-0.06571839316371264,-0.00547653276364272,-0.006028084463379324,9,0,141
combined_previous_close,30,30,none,208,-0.09208659392286533,0.3605769230769231,0.09399362357425989,36,True,-0.09208659392286533,-0.00511592188460363,-0.0038073886452233974,14,0,208,-0.058821741063703414,-0.003921449404246894,-0.001927153255319669,11,0,170,-0.06735213191258449,-0.005612677659382041,-0.003207064166584783,10,0,145
open_session,60,60,none,195,-0.08859994219119893,0.38974358974358975,0.1048936888058487,35,True,-0.08859994219119893,-0.004922219010622163,-0.004228442902772744,11,0,195,-0.059343918793659634,-0.003956261252910642,-0.0032216621024719894,8,0,167,-0.09180130814305487,-0.00765010901192124,-0.006239472224794984,8,0,139
combined_previous_close,60,15,none,201,-0.06842055558990467,0.4129353233830846,0.07456874826838755,29,True,-0.06842055558990467,-0.0038011419772169264,-0.0047212889069911945,12,0,201,-0.05974535777374701,-0.003983023851583134,-0.004799250393450527,10,0,166,-0.06666870274313019,-0.005555725228594183,-0.005146200725920258,9,0,141
combined_previous_close,15,15,none,218,-0.07085021872905872,0.41743119266055045,0.07690455824425035,29,True,-0.07085021872905872,-0.003936123262725484,-0.0038990009947591497,14,0,218,-0.061187575468192645,-0.00407917169787951,-0.0024341082622180155,12,0,180,-0.06641203766304393,-0.005534336471920327,-0.005756426612689436,11,0,149
open_session,30,60,none,201,-0.08537799453925721,0.4079601990049751,0.09524484722313675,35,True,-0.08537799453925721,-0.004743221918847623,-0.0069936549280919524,11,0,201,-0.062191898084969055,-0.004146126538997937,-0.007847289955465353,9,0,169,-0.07442702665245315,-0.006202252221037763,-0.008756150974806753,8,0,141
combined_previous_close,30,15,none,208,-0.07286776057465061,0.4230769230769231,0.08520036449918855,29,True,-0.07286776057465061,-0.004048208920813923,-0.004968176713771755,12,0,208,-0.0645099083451548,-0.004300660556343653,-0.004785177742422486,10,0,170,-0.07138982114533354,-0.005949151762111128,-0.004968176713771755,9,0,145
overnight_to_open,15,15,none,222,-0.07481501422756098,0.4144144144144144,0.08044349448190646,29,True,-0.07481501422756098,-0.004156389679308943,-0.00417894931151791,13,0,222,-0.06459866809734738,-0.004306577873156492,-0.0035727208806133337,11,0,180,-0.07396487757515124,-0.00616373979792927,-0.0056649996534537395,11,0,154
overnight_to_open,60,15,none,222,-0.07481501422756098,0.4144144144144144,0.08044349448190646,29,True,-0.07481501422756098,-0.004156389679308943,-0.00417894931151791,13,0,222,-0.06459866809734738,-0.004306577873156492,-0.0035727208806133337,11,0,180,-0.07396487757515124,-0.00616373979792927,-0.0056649996534537395,11,0,154
overnight_to_open,30,15,none,222,-0.07481501422756098,0.4144144144144144,0.08044349448190646,29,True,-0.07481501422756098,-0.004156389679308943,-0.00417894931151791,13,0,222,-0.06459866809734738,-0.004306577873156492,-0.0035727208806133337,11,0,180,-0.07396487757515124,-0.00616373979792927,-0.0056649996534537395,11,0,154
combined_previous_close,30,60,none,208,-0.1021417503146389,0.3942307692307692,0.11214965439265934,36,True,-0.1021417503146389,-0.005674541684146606,-0.006651638953312944,12,0,208,-0.06629446479554724,-0.004419630986369816,-0.006655544807350533,9,0,170,-0.07959660961263082,-0.006633050801052569,-0.009737759938821866,8,0,145
overnight_to_open,30,60,positive_preclose_same_length,124,-0.08661558748057707,0.3387096774193548,0.08485144403285572,0,True,-0.08661558748057707,-0.004811977082254282,-0.006269751240202959,15,0,124,-0.06980727195802139,-0.004653818130534759,-0.0062532909547043936,12,0,101,-0.0780443875555108,-0.006503698962959233,-0.007336695982518071,10,0,85
overnight_to_open,60,60,positive_preclose_same_length,124,-0.08661558748057707,0.3387096774193548,0.08485144403285572,0,True,-0.08661558748057707,-0.004811977082254282,-0.006269751240202959,15,0,124,-0.06980727195802139,-0.004653818130534759,-0.0062532909547043936,12,0,101,-0.0780443875555108,-0.006503698962959233,-0.007336695982518071,10,0,85
overnight_to_open,15,60,positive_preclose_same_length,124,-0.08661558748057707,0.3387096774193548,0.08485144403285572,0,True,-0.08661558748057707,-0.004811977082254282,-0.006269751240202959,15,0,124,-0.06980727195802139,-0.004653818130534759,-0.0062532909547043936,12,0,101,-0.0780443875555108,-0.006503698962959233,-0.007336695982518071,10,0,85
open_session,30,60,positive_preclose_same_length,120,-0.08084416591599064,0.3416666666666667,0.08754464755463032,35,True,-0.08084416591599064,-0.0044913425508883685,-0.0057405319657437,14,0,120,-0.0706723046824067,-0.004711486978827114,-0.004226282222041244,12,0,100,-0.06363890910361181,-0.005303242425300984,-0.0057437376030158305,10,0,85
combined_previous_close,15,60,none,218,-0.09915037391141668,0.38990825688073394,0.10619091392006019,36,True,-0.09915037391141668,-0.005508354106189816,-0.007127191334586891,13,0,218,-0.07824825814296754,-0.005216550542864503,-0.008071580291749259,10,0,180,-0.08045430800752296,-0.00670452566729358,-0.008727827465629279,9,0,149
combined_previous_close,15,60,positive_preclose_same_length,119,-0.09575408968604637,0.31092436974789917,0.09400759666958569,0,True,-0.09575408968604637,-0.005319671649224799,-0.005734296660196814,15,0,119,-0.0789878167138891,-0.005265854447592607,-0.0062532909547043936,12,0,99,-0.0817829119383231,-0.006815242661526925,-0.006698379581973224,10,0,82
combined_previous_close,60,60,none,201,-0.11469004004413152,0.3781094527363184,0.12441736437618922,36,True,-0.11469004004413152,-0.006371668891340641,-0.009520271770427358,13,0,201,-0.08039421760229992,-0.005359614506819995,-0.010062227545277413,10,0,166,-0.08587447704120099,-0.007156206420100082,-0.011074519448961317,9,0,141
combined_previous_close,30,60,positive_preclose_same_length,117,-0.09545950847855511,0.3247863247863248,0.09830748449592563,38,True,-0.09545950847855511,-0.005303306026586395,-0.006537984851599676,14,0,117,-0.08116676977429649,-0.005411117984953099,-0.009541007184171058,11,0,98,-0.08072955002477666,-0.006727462502064722,-0.00966866590456067,9,0,83
combined_previous_close,60,60,positive_preclose_same_length,119,-0.10462439542160407,0.29411764705882354,0.10530093990328027,38,True,-0.10462439542160407,-0.005812466412311337,-0.006378880448411006,14,0,119,-0.08802198199009592,-0.005868132132673062,-0.009553401043074228,11,0,99,-0.08779726411986832,-0.007316438676655694,-0.00981050103481601,9,0,83
open_session,60,60,positive_preclose_same_length,116,-0.10540035863028574,0.3017241379310345,0.11021196580413761,35,True,-0.10540035863028574,-0.005855575479460319,-0.005197591446965633,15,0,116,-0.09114226877051002,-0.006076151251367334,-0.004226282222041244,12,0,99,-0.09178207853161036,-0.007648506544300863,-0.0052972738621113735,11,0,84
overnight_to_open,60,60,none,222,-0.12875726553748945,0.3918918918918919,0.13528052847911953,36,True,-0.12875726553748945,-0.007153181418749414,-0.008847005498958782,15,0,222,-0.11053203790672561,-0.007368802527115041,-0.00975114246151998,12,0,180,-0.08947340732272335,-0.007456117276893613,-0.01031567636550379,10,0,154
overnight_to_open,15,60,none,222,-0.12875726553748945,0.3918918918918919,0.13528052847911953,36,True,-0.12875726553748945,-0.007153181418749414,-0.008847005498958782,15,0,222,-0.11053203790672561,-0.007368802527115041,-0.00975114246151998,12,0,180,-0.08947340732272335,-0.007456117276893613,-0.01031567636550379,10,0,154
overnight_to_open,30,60,none,222,-0.12875726553748945,0.3918918918918919,0.13528052847911953,36,True,-0.12875726553748945,-0.007153181418749414,-0.008847005498958782,15,0,222,-0.11053203790672561,-0.007368802527115041,-0.00975114246151998,12,0,180,-0.08947340732272335,-0.007456117276893613,-0.01031567636550379,10,0,154
