extra_bps_per_side,net_return,maximum_drawdown,positions,active_sessions,green_sessions,red_sessions,positive_weeks,negative_weeks,positive_months,negative_months,worst_month,recent12_return,recent12_positive_months,recent12_negative_months,early_return,late_return,average_position_pnl,position_win_rate,top5_positive_trade_share
-1,2.384174062089375,0.1552850709256689,4560,1520,835,685,188,128,46,27,-0.14125437140900518,0.8265966709357675,8,4,1.1022268081545028,1.2819472539348729,0.0005228451890546876,0.5221491228070175,0.03439695550566035
0,2.079727671916012,0.19507293206057386,4560,1520,824,696,185,131,40,33,-0.14562568340352328,0.776236387629917,8,4,0.936022983175389,1.1437046887406226,0.0004560806298061428,0.5144736842105263,0.03475807683519713
1,1.7753421649323629,0.23821956454542847,4560,1520,817,703,181,135,38,35,-0.14999612122306005,0.7258861753736222,7,5,0.7698523956375275,1.0054897692948355,0.0003893294221342901,0.5103070175438597,0.035122450821469274
2,1.4710175228771154,0.28516901704047404,4560,1520,811,709,177,139,36,37,-0.15436568512981572,0.6755460311461718,7,5,0.6037150355716747,0.8673024873054407,0.0003225915620344551,0.5021929824561403,0.035490385298294215
5,0.5584086037783264,0.4845828689491285,4560,1520,784,736,162,154,34,39,-0.16746913599382243,0.5245859764479045,7,5,0.10550222057360159,0.4529063832047248,0.00012245802714436983,0.48640350877192984,0.03661498882408602
10,-0.9613906650906497,1.2731164545488276,4560,1520,741,779,139,177,29,44,-0.18929076695316438,0.2731869642780374,7,5,-0.7241888509567389,-0.2372018141339109,-0.0002108312862040899,0.45964912280701753,0.038564517632707254
