variant,trades,net,positive_fraction,max_drawdown,recovery_days,unresolved,side,stop_pct,stops_on_active_days,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_trades,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_trades,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_trades
positive_morning_long_q80,36,-0.023929137697418112,0.3055555555555556,0.028526981623748893,38,True,long,,,-0.023929137697418112,-0.0013293965387454506,-0.000542289709281718,11,3,36,-0.016024876612176997,-0.0010683251074784664,-0.00042909051515727104,9,2,31,-0.013476391001996602,-0.0011230325834997168,-0.00030270027417916845,7,1,24
positive_morning_long_q667,66,-0.028672061192357656,0.36363636363636365,0.03307771529647163,29,True,long,,,-0.028672061192357656,-0.0015928922884643143,-0.001179313642759694,11,1,66,-0.019997902583509086,-0.0013331935055672724,-0.0006554889034061651,9,0,58,-0.023853341383593185,-0.0019877784486327654,-0.002317356675621829,8,0,47
positive_morning_long_q50,95,-0.05145998306924082,0.3263157894736842,0.05681480672344552,29,True,long,,,-0.05145998306924082,-0.0028588879482911566,-0.0038709441692843516,11,1,95,-0.038249602988288944,-0.0025499735325525963,-0.0038414950259353375,9,0,83,-0.03689079222901537,-0.0030742326857512805,-0.0038709441692843516,8,0,69
positive_morning_long_all_positive,208,-0.09208659392286533,0.3605769230769231,0.09399362357425989,36,True,long,,,-0.09208659392286533,-0.00511592188460363,-0.0038073886452233974,14,0,208,-0.058821741063703414,-0.003921449404246894,-0.001927153255319669,11,0,170,-0.06735213191258449,-0.005612677659382041,-0.003207064166584783,10,0,145
negative_morning_short_stop_0.020,164,-0.09928866329945436,0.38414634146341464,0.10065519838031833,1,True,short,0.02,0.0,-0.09928866329945438,-0.005516036849969688,-0.004366153637589299,14,0,164,-0.0825074947858804,-0.0055004996523920265,-0.0027030254715577884,11,0,141,-0.05036544974875484,-0.004197120812396237,-0.003648151542560915,10,0,105
negative_morning_short_stop_0.010,164,-0.10409567481721327,0.38414634146341464,0.1054578260605008,1,True,short,0.01,3.0,-0.10409567481721327,-0.005783093045400737,-0.004366153637589299,14,0,164,-0.08731450630363934,-0.0058209670869092895,-0.0027030254715577884,11,0,141,-0.05036544974875484,-0.004197120812396237,-0.003648151542560915,10,0,105
negative_morning_short_stop_0.005,164,-0.10744379873949246,0.3780487804878049,0.1088028966030643,1,True,short,0.005,10.0,-0.10744379873949247,-0.005969099929971804,-0.004366153637589299,15,0,164,-0.09066263022591851,-0.006044175348394567,-0.0027030254715577884,12,0,141,-0.05036544974875484,-0.004197120812396237,-0.003648151542560915,10,0,105
