date,net_pnl
2019,-0.11230310474329347
2020,-0.06457570676982001
2021,-0.20874423364310654
2022,-0.1674212400997769
2023,-0.10591882017837739
2024,-0.0329532828683533
2025,-0.5633620687913804
2026,-0.10932126994701888
