variant,decision_period,mean_decision_bps,decision_count
raw_return_decile_M1_actionable_oc,10:00,-3.93211312539438,367
raw_return_decile_M1_actionable_oc,10:30,1.4015779411981384,367
raw_return_decile_M1_actionable_oc,11:00,-2.5787931451119754,367
raw_return_decile_M1_actionable_oc,11:30,-2.6450616707045254,367
raw_return_decile_M1_actionable_oc,12:00,0.26419884741368005,367
raw_return_decile_M1_actionable_oc,12:30,1.0404264469357067,367
raw_return_decile_M1_actionable_oc,13:00,-1.121309769989507,367
raw_return_decile_M1_actionable_oc,13:30,0.7245066865742105,367
raw_return_decile_M1_actionable_oc,14:00,0.655165637139132,367
raw_return_decile_M1_actionable_oc,14:30,0.8096479248164375,367
raw_return_decile_M1_actionable_oc,15:00,-2.9482553414565524,367
raw_return_decile_M1_actionable_oc,15:30,1.9151203761458195,367
raw_return_decile_M1_protected_oc,10:00,-4.543356210791039,367
raw_return_decile_M1_protected_oc,10:30,1.1302279069074557,367
raw_return_decile_M1_protected_oc,11:00,-2.6412433359759704,367
raw_return_decile_M1_protected_oc,11:30,-2.7660894149129582,367
raw_return_decile_M1_protected_oc,12:00,0.3402826600045423,367
raw_return_decile_M1_protected_oc,12:30,0.9817734161107097,367
raw_return_decile_M1_protected_oc,13:00,-0.6228112827279909,367
raw_return_decile_M1_protected_oc,13:30,1.1871351506805012,367
raw_return_decile_M1_protected_oc,14:00,0.5481544009740437,367
raw_return_decile_M1_protected_oc,14:30,0.7250965031005149,367
raw_return_decile_M1_protected_oc,15:00,-3.0590503157066746,367
raw_return_decile_M1_protected_oc,15:30,1.8220914834452528,367
raw_return_decile_M1_source_cc,10:00,-3.907326499147247,367
raw_return_decile_M1_source_cc,10:30,1.4109487021445808,367
raw_return_decile_M1_source_cc,11:00,-2.435447015041265,367
raw_return_decile_M1_source_cc,11:30,-2.532551879395298,367
raw_return_decile_M1_source_cc,12:00,0.4139056040246618,367
raw_return_decile_M1_source_cc,12:30,1.1760747180408848,367
raw_return_decile_M1_source_cc,13:00,-1.0291674557342214,367
raw_return_decile_M1_source_cc,13:30,0.7466766005954676,367
raw_return_decile_M1_source_cc,14:00,0.7196777496542549,367
raw_return_decile_M1_source_cc,14:30,0.8593406632122815,367
raw_return_decile_M1_source_cc,15:00,-2.865723264619182,367
raw_return_decile_M1_source_cc,15:30,1.9971761567613637,367
raw_return_decile_M2_actionable_oc,10:00,-5.782143128398728,367
raw_return_decile_M2_actionable_oc,10:30,2.3483702375718645,367
raw_return_decile_M2_actionable_oc,11:00,-3.750842817914741,367
raw_return_decile_M2_actionable_oc,11:30,-3.761867379362353,367
raw_return_decile_M2_actionable_oc,12:00,2.1834651167535446,367
raw_return_decile_M2_actionable_oc,12:30,-1.6012231033310154,367
raw_return_decile_M2_actionable_oc,13:00,-3.487570103304539,367
raw_return_decile_M2_actionable_oc,13:30,-0.10646440756088303,367
