variant,model,breadth,horizon,execution,full_gross_simple_return,mean_decision_bps,break_even_cost_bps_per_side,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,stop_count,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
residual_quintile_M1_source_cc,residual,quintile,1,source_cc,-0.09063818690963245,-0.20580878044875678,-0.10290439022437839,0.16504716961428992,541,True,4404,367,0,-0.005035454828312915,12,-0.0016381243309745066,10,-0.003900254603569585,8
residual_quintile_M1_actionable_oc,residual,quintile,1,actionable_oc,-0.1159568412220122,-0.26329891285652174,-0.13164945642826087,0.1847733062502898,541,True,4404,367,0,-0.006442046734556232,12,-0.0030496343113556455,10,-0.004962298269048851,8
residual_quintile_M1_protected_oc,residual,quintile,1,protected_oc,-0.11987013625233406,-0.272184687221467,-0.1360923436107335,0.17844313599465345,541,True,4404,367,648,-0.00665945201401856,12,-0.003130269973259605,10,-0.0063914426247819595,8
raw_return_quintile_M1_source_cc,raw_return,quintile,1,source_cc,-0.12278389053581984,-0.2788008413619887,-0.13940042068099434,0.16730233845752474,353,True,4404,367,0,-0.006821327251989991,11,-0.004774469064358686,9,-0.013357617858607266,8
raw_return_quintile_M1_actionable_oc,raw_return,quintile,1,actionable_oc,-0.1463974822473038,-0.33241935115191606,-0.16620967557595803,0.1790739372896181,353,True,4404,367,0,-0.008133193458183547,11,-0.006076435641711327,9,-0.01426544608731426,8
raw_return_quintile_M1_protected_oc,raw_return,quintile,1,protected_oc,-0.1488788865379606,-0.3380537841461412,-0.1690268920730706,0.18871978033692124,353,True,4404,367,633,-0.008271049252108923,11,-0.006173853297187151,9,-0.01539102543626937,8
raw_return_decile_M1_source_cc,raw_return,decile,1,source_cc,-0.1998834642457865,-0.4538679932919764,-0.2269339966459882,0.23864697857539605,353,True,4404,367,0,-0.011104636902543694,10,-0.0075826974768943315,8,-0.018373915716693976,7
residual_decile_M1_source_cc,residual,decile,1,source_cc,-0.2301070726293959,-0.5224956235908172,-0.2612478117954086,0.2723820630835071,541,True,4404,367,0,-0.012783726257188661,14,-0.009322125004698896,12,-0.01539716056069887,10
raw_return_decile_M1_actionable_oc,raw_return,decile,1,actionable_oc,-0.23542643336232108,-0.5345740993694849,-0.26728704968474243,0.25633094022017966,541,True,4404,367,0,-0.013079246297906728,10,-0.009619352685012213,8,-0.019902874699827253,7
residual_quintile_M6_protected_oc,residual,quintile,6,protected_oc,-0.18415461876632302,-0.7168338605150751,-0.35841693025753757,0.2756036144422457,360,True,2569,367,2892,-0.010230812153684602,13,-0.009737099772507965,11,-0.025415141543470177,9
raw_return_decile_M1_protected_oc,raw_return,decile,1,protected_oc,-0.2531488577273222,-0.5748157532409677,-0.28740787662048384,0.26905780574531907,372,True,4404,367,447,-0.014063825429295676,10,-0.010644741049782748,8,-0.022279652618552682,7
residual_quintile_M2_source_cc,residual,quintile,2,source_cc,-0.21099344907191292,-0.522649118335182,-0.261324559167591,0.2522951761175033,531,True,4037,367,0,-0.011721858281772943,12,-0.010924103498876288,10,-0.012667895051757722,8
residual_decile_M1_actionable_oc,residual,decile,1,actionable_oc,-0.2628616018113039,-0.5968701221873386,-0.2984350610936693,0.30113390247075394,541,True,4404,367,0,-0.01460342232285022,13,-0.011243972176901507,11,-0.016823693274083045,9
residual_quintile_M2_actionable_oc,residual,quintile,2,actionable_oc,-0.23324102938137103,-0.5777583090943054,-0.2888791545471527,0.26908789465544974,531,True,4037,367,0,-0.012957834965631722,14,-0.012131640365510824,11,-0.013549653964999997,9
residual_decile_M1_protected_oc,residual,decile,1,protected_oc,-0.2829746704870194,-0.6425401237216605,-0.32127006186083024,0.3110106524996876,541,True,4404,367,447,-0.015720815027056637,14,-0.01226451369228994,12,-0.01822147701522063,10
residual_quintile_M2_protected_oc,residual,quintile,2,protected_oc,-0.2515595495064771,-0.6231348761616969,-0.31156743808084847,0.26649436388989733,542,True,4037,367,1355,-0.013975530528137615,14,-0.012423231837559378,11,-0.016258693031472586,9
raw_return_quintile_M6_protected_oc,raw_return,quintile,6,protected_oc,-0.3699304794325229,-1.4399785108311518,-0.7199892554155759,0.38608052181557473,381,True,2569,367,3044,-0.020551693301806825,16,-0.013958514518969808,13,-0.03045988323848359,11
residual_quintile_M4_protected_oc,residual,quintile,4,protected_oc,-0.27831646679968824,-0.8426172170744424,-0.4213086085372212,0.2946631737503693,360,True,3303,367,2494,-0.015462025933316014,15,-0.015168468851456072,12,-0.024562166168404093,10
residual_quintile_M3_protected_oc,residual,quintile,3,protected_oc,-0.30353436242702003,-0.827069107430572,-0.413534553715286,0.30950719283077655,541,True,3670,367,2001,-0.01686302013483444,15,-0.015847041404352457,12,-0.020313299958066553,10
