candidate,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,role_coverage,trade_roles,trade_sessions,trade_session_fraction,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month,quote_cost_top5_symbol_share
alpha_turnover_band_20,0.0,0.5138233750049084,0.11797011083687232,1.0,4212,248,0.9880478087649402,8,4,0.04281861458374236,0.028072059205180057,-0.07982847672740948,0.32849653681323604,0.5009718453677566
alpha_turnover_band_20,1.0,0.47783747591207115,0.12192209376344307,1.0,4212,248,0.9880478087649402,8,4,0.039819789659339265,0.02468772244170607,-0.0834626689706656,0.3251759942198724,0.4387073285779074
alpha_turnover_band_20,2.0,0.44185157681923404,0.1282358759856324,1.0,4212,248,0.9880478087649402,8,4,0.03682096473493617,0.02130338567823209,-0.08709686121392171,0.3218554516265088,0.3942510523069007
alpha_turnover_band_20,5.0,0.3338938795407227,0.156489357670324,1.0,4212,248,0.9880478087649402,7,5,0.027824489961726886,0.011150375387810142,-0.09799943794369007,0.31189382384641795,0.3160870828203378
characteristic_r5_top10_p3,0.0,0.360764647653725,0.1048914436934702,1.0,1494,251,1.0,8,4,0.030063720637810407,0.033060896334463366,-0.09151745951035846,0.14174646022747467,4.475746586362214
characteristic_r5_top10_p3,1.0,0.3399998553054263,0.10669514553586425,1.0,1494,251,1.0,8,4,0.028333321275452187,0.031480272021969576,-0.09351675191168833,0.1400249532736379,2.5795263882903363
characteristic_r5_top10_p3,2.0,0.3192350629571276,0.10853387190991763,1.0,1494,251,1.0,8,4,0.026602921913093967,0.029899647709475785,-0.0955160443130182,0.13830344631980113,1.837443542389274
characteristic_r5_top10_p3,5.0,0.2569406859122315,0.11684394442562686,1.0,1494,251,1.0,8,4,0.02141172382601929,0.025157774771994417,-0.10151392151700782,0.13313892545829079,1.0278449555135118
cluster_r10_top3_p1,0.0,0.6248652876834294,0.13743648429848662,1.0,1080,251,1.0,8,4,0.05207210730695246,0.01856488497219054,-0.11972064721350485,0.199850588185956,-6.510776969571261
cluster_r10_top3_p1,1.0,0.6027370458737036,0.13915690459124586,1.0,1080,251,1.0,8,4,0.05022808715614197,0.01626795846582771,-0.12109636474795885,0.19818810920973293,16.643397739308632
