candidate,extra_adverse_bps_per_side,symbol,net_pnl
qqq_single_ma150_weekly_top3,0.0,TSLA,0.8252376654569569
qqq_single_ma150_weekly_top3,0.0,NVDA,0.6091916937430072
qqq_single_ma150_weekly_top3,0.0,PLTR,0.38250414699148855
qqq_single_ma150_weekly_top3,0.0,ZM,0.35548515975623657
qqq_single_ma150_weekly_top3,0.0,MU,0.33833241820015886
qqq_single_ma150_weekly_top3,0.0,WDC,0.32451015630247704
qqq_single_ma150_weekly_top3,0.0,META,0.20642500493859564
qqq_single_ma150_weekly_top3,0.0,PDD,0.18797065759311918
qqq_single_ma150_weekly_top3,0.0,MSTR,0.13535179545121187
qqq_single_ma150_weekly_top3,0.0,MRNA,0.13383235806033628
qqq_single_ma150_weekly_top3,0.0,NFLX,0.0873163204229179
qqq_single_ma150_weekly_top3,0.0,CRWD,0.08538479173219596
qqq_single_ma150_weekly_top3,0.0,ASML,0.07608512983642825
qqq_single_ma150_weekly_top3,0.0,WBD,0.06693544060124526
qqq_single_ma150_weekly_top3,0.0,STX,0.058464569090120086
qqq_single_ma150_weekly_top3,0.0,MELI,0.057747548157338645
qqq_single_ma150_weekly_top3,0.0,AVGO,0.04767241877993898
qqq_single_ma150_weekly_top3,0.0,REGN,0.04630276009708075
qqq_single_ma150_weekly_top3,0.0,LCID,0.04232861608471479
qqq_single_ma150_weekly_top3,0.0,GILD,0.039756202833805765
qqq_single_ma150_weekly_top3,0.0,AMAT,0.03653672920608609
qqq_single_ma150_weekly_top3,0.0,ADBE,0.03428683195225853
qqq_single_ma150_weekly_top3,0.0,DOCU,0.03236400217596752
qqq_single_ma150_weekly_top3,0.0,TMUS,0.031105625856463995
qqq_single_ma150_weekly_top3,0.0,BIIB,0.03003218971627427
qqq_single_ma150_weekly_top3,0.0,SBUX,0.0295916356866454
qqq_single_ma150_weekly_top3,0.0,VRTX,0.026800847326898355
qqq_single_ma150_weekly_top3,0.0,SNDK,0.021701696500321534
qqq_single_ma150_weekly_top3,0.0,AMGN,0.01950979833541694
qqq_single_ma150_weekly_top3,0.0,GOOG,0.015651393089107794
qqq_single_ma150_weekly_top3,0.0,XLNX,0.014744972664327977
qqq_single_ma150_weekly_top3,0.0,INTU,0.014375896321156026
qqq_single_ma150_weekly_top3,0.0,LRCX,0.010094765828238891
qqq_single_ma150_weekly_top3,0.0,DASH,0.007595271568895654
qqq_single_ma150_weekly_top3,0.0,ADP,0.007441173385611788
qqq_single_ma150_weekly_top3,0.0,PEP,0.007136825955044539
qqq_single_ma150_weekly_top3,0.0,LULU,0.004212562078268589
qqq_single_ma150_weekly_top3,0.0,INTC,0.0027604588847516265
qqq_single_ma150_weekly_top3,0.0,SWKS,0.0009694510315004421
qqq_single_ma150_weekly_top3,0.0,GOOGL,0.00042221102553726265
qqq_single_ma150_weekly_top3,0.0,UAL,0.0
qqq_single_ma150_weekly_top3,0.0,RIVN,0.0
qqq_single_ma150_weekly_top3,0.0,ROP,0.0
qqq_single_ma150_weekly_top3,0.0,TTWO,0.0
qqq_single_ma150_weekly_top3,0.0,SIRI,0.0
qqq_single_ma150_weekly_top3,0.0,LIN,0.0
qqq_single_ma150_weekly_top3,0.0,CDNS,0.0
