candidate,extra_adverse_bps_per_side,year,net_pnl
qqq_triple_ma10_50_200_monthly_top3,0.0,2020,1.147091345223477
qqq_triple_ma10_50_200_monthly_top3,0.0,2021,0.3898329946704364
qqq_triple_ma10_50_200_monthly_top3,0.0,2022,-0.5730538378121608
qqq_triple_ma10_50_200_monthly_top3,0.0,2023,0.45560487475095257
qqq_triple_ma10_50_200_monthly_top3,0.0,2024,0.2850831070407707
qqq_triple_ma10_50_200_monthly_top3,0.0,2025,0.24490589643004831
qqq_triple_ma10_50_200_monthly_top3,0.0,2026,0.6490084241523437
qqq_triple_ma10_50_200_monthly_top3,1.0,2019,0.0
qqq_triple_ma10_50_200_monthly_top3,1.0,2020,1.1462580118901435
qqq_triple_ma10_50_200_monthly_top3,1.0,2021,0.3886996613371031
qqq_triple_ma10_50_200_monthly_top3,1.0,2022,-0.5746205044788275
qqq_triple_ma10_50_200_monthly_top3,1.0,2023,0.4543382080842859
qqq_triple_ma10_50_200_monthly_top3,1.0,2024,0.28348310704077073
qqq_triple_ma10_50_200_monthly_top3,1.0,2025,0.24343922976338164
qqq_triple_ma10_50_200_monthly_top3,1.0,2026,0.6488084241523436
qqq_triple_ma10_50_200_monthly_top3,2.0,2019,0.0
qqq_triple_ma10_50_200_monthly_top3,2.0,2020,1.1454246785568103
qqq_triple_ma10_50_200_monthly_top3,2.0,2021,0.3875663280037698
qqq_triple_ma10_50_200_monthly_top3,2.0,2022,-0.5761871711454941
qqq_triple_ma10_50_200_monthly_top3,2.0,2023,0.4530715414176192
qqq_triple_ma10_50_200_monthly_top3,2.0,2024,0.28188310704077074
qqq_triple_ma10_50_200_monthly_top3,2.0,2025,0.241972563096715
qqq_triple_ma10_50_200_monthly_top3,2.0,2026,0.6486084241523437
qqq_triple_ma10_50_200_monthly_top3,5.0,2019,0.0
qqq_triple_ma10_50_200_monthly_top3,5.0,2020,1.1429246785568103
qqq_triple_ma10_50_200_monthly_top3,5.0,2021,0.38416632800376976
qqq_triple_ma10_50_200_monthly_top3,5.0,2022,-0.5808871711454942
qqq_triple_ma10_50_200_monthly_top3,5.0,2023,0.4492715414176192
qqq_triple_ma10_50_200_monthly_top3,5.0,2024,0.2770831070407707
qqq_triple_ma10_50_200_monthly_top3,5.0,2025,0.23757256309671496
qqq_triple_ma10_50_200_monthly_top3,5.0,2026,0.6480084241523437
qqq_triple_ma10_50_200_monthly_top3,10.0,2019,0.0
qqq_triple_ma10_50_200_monthly_top3,10.0,2020,1.1387580118901437
qqq_triple_ma10_50_200_monthly_top3,10.0,2021,0.3784996613371031
qqq_triple_ma10_50_200_monthly_top3,10.0,2022,-0.5887205044788275
qqq_triple_ma10_50_200_monthly_top3,10.0,2023,0.4429382080842859
qqq_triple_ma10_50_200_monthly_top3,10.0,2024,0.2690831070407707
qqq_triple_ma10_50_200_monthly_top3,10.0,2025,0.23023922976338163
qqq_triple_ma10_50_200_monthly_top3,10.0,2026,0.6470084241523436
sp500_daily_ma200_corr08_smooth3_top10,0.0,2021,0.0
sp500_daily_ma200_corr08_smooth3_top10,0.0,2022,0.051206687461662174
sp500_daily_ma200_corr08_smooth3_top10,0.0,2023,0.196902930215182
sp500_daily_ma200_corr08_smooth3_top10,0.0,2024,0.12812069879624935
sp500_daily_ma200_corr08_smooth3_top10,0.0,2025,0.48762842578751237
sp500_daily_ma200_corr08_smooth3_top10,0.0,2026,0.531026526734983
sp500_daily_ma200_corr08_smooth3_top10,1.0,2021,0.0
sp500_daily_ma200_corr08_smooth3_top10,1.0,2022,0.04640668746166222
