sample,rule,net_simple_return,maximum_drawdown,active_days,active_fraction,gate_changes,positive_months,negative_months,inactive_months,monthly_average,worst_month,best_month
full_history,responsive_6m,0.6460010384794159,0.0839359067398604,671,0.5346613545816733,11,19,18,23,0.01076668397465693,-0.044126170959390074,0.14119674038387256
quote_0940_2bps_extra,responsive_6m,0.5258183205465159,0.055667986128679126,251,1.0,0,10,2,0,0.04381819337887632,-0.014767326599062752,0.14069511169869794
full_history,cautious_12m,0.5303310205759422,0.08643925712677109,416,0.3314741035856574,7,12,11,37,0.008838850342932369,-0.044126170959390074,0.14119674038387256
quote_0940_2bps_extra,cautious_12m,0.4269131998971232,0.06041432608022547,188,0.749003984063745,1,7,2,3,0.035576099991426934,-0.01496732659906275,0.14069511169869794
