wait_minutes,penetration_bps,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,passive_fill_rate,trade_session_fraction,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month
5,0,0,1.0059651050950804,0.10506624398481942,0.7209821428571429,0.6852589641434262,9,3,0.08383042542459002,0.06578910326186713,-0.05041776631647679,0.29777967865986193
5,0,1,1.0014851050950804,0.10553004553771059,0.7209821428571429,0.6852589641434262,9,3,0.0834570920912567,0.06549910326186711,-0.05077776631647679,0.2975996786598619
5,0,2,0.9970051050950803,0.10599592905428872,0.7209821428571429,0.6852589641434262,9,3,0.08308375875792336,0.06520910326186712,-0.0511377663164768,0.29741967865986196
5,1,0,1.0030504009930086,0.10555887750531887,0.7008928571428571,0.6852589641434262,9,3,0.08358753341608405,0.06545348936858567,-0.050904303239963866,0.29770647221769503
5,1,1,0.9985704009930088,0.10602432522960863,0.7008928571428571,0.6852589641434262,9,3,0.08321420008275071,0.06516348936858565,-0.051264303239963865,0.297526472217695
5,1,2,0.9940904009930085,0.10649186475270163,0.7008928571428571,0.6852589641434262,9,3,0.08284086674941737,0.06487348936858565,-0.05162430323996387,0.29734647221769506
15,0,0,1.007804053464269,0.10639791350634703,0.8102678571428571,0.6852589641434262,9,3,0.08398367112202243,0.0659337872809355,-0.051443575462892965,0.29725893286589744
15,0,1,1.0033240534642687,0.10686376994731879,0.8102678571428571,0.6852589641434262,9,3,0.08361033778868908,0.06564378728093549,-0.051803575462892965,0.2970789328658974
15,0,2,0.9988440534642691,0.10733171341262285,0.8102678571428571,0.6852589641434262,9,3,0.08323700445535574,0.0653537872809355,-0.052163575462892985,0.29689893286589747
15,1,0,1.0034743485682909,0.10797893359709038,0.7946428571428571,0.6852589641434262,9,3,0.0836228623806909,0.06554264580690905,-0.05329641470576155,0.29725893286589744
15,1,1,0.9989943485682908,0.10844909004831843,0.7946428571428571,0.6852589641434262,9,3,0.08324952904735759,0.06525264580690904,-0.053656414705761546,0.2970789328658974
15,1,2,0.994514348568291,0.10892135623486039,0.7946428571428571,0.6852589641434262,9,3,0.08287619571402426,0.06496264580690904,-0.05401641470576155,0.29689893286589747
