variant_id,timeframe,lookback_bars,z_threshold,mode,protective_stop,cost_bps_per_side,net_simple_return,gross_simple_return,maximum_drawdown,trades,active_sessions,positive_months,negative_months,monthly_average,monthly_median,recent12_average_month,forced_exit,broker_margin,direct_short,holdout_rows_loaded
5m__r1__z0__long_short__stop0.01,5m,1,0.0,long_short,0.01,-1.0,21.14970583281409,2.1457058328140888,0.016948042527851266,2084362,1255,60,0,0.3524950972135681,0.3289517487778819,0.26508803160216565,next_bar_close,False,True,0
5m__r1__z0__long_short__stop0.02,5m,1,0.0,long_short,0.02,-1.0,20.87105884348557,1.8670588434855668,0.023306343563498817,2084362,1255,60,0,0.34785098072475945,0.3416817618017176,0.2769949688313835,next_bar_close,False,True,0
5m__r1__z0__long__stop0.02,5m,1,0.0,long,0.02,-1.0,20.814687868020012,1.8106878680200098,0.027445542576994362,1037197,1255,60,0,0.34691146446700016,0.33308546167091435,0.28303222423728647,next_bar_close,False,False,0
5m__r3__z1__long__stop0.005,5m,3,1.0,long,0.005,-1.0,20.73566306180234,2.2660630618023436,0.020379175661027517,215908,1255,59,1,0.3455943843633724,0.33291708945528775,0.24868442141370772,next_bar_close,False,False,0
5m__r3__z1__long_short__stop0.005,5m,3,1.0,long_short,0.005,-1.0,20.62566764524552,2.1236676452455225,0.020678423313447776,430410,1255,59,1,0.34376112742075876,0.34578122318189564,0.2341279318777257,next_bar_close,False,True,0
5m__r3__z0.5__long__stop0.005,5m,3,0.5,long,0.005,-1.0,20.527946175909854,2.025946175909855,0.014904476978971676,401671,1255,60,0,0.34213243626516426,0.34934550660139324,0.25499654209680916,next_bar_close,False,False,0
5m__r3__z0.5__long_short__stop0.005,5m,3,0.5,long_short,0.005,-1.0,20.483656869563553,1.9816568695635555,0.016327705224397943,806339,1255,60,0,0.3413942811593926,0.3418713504813611,0.24793061634116506,next_bar_close,False,True,0
5m__r3__z1__long__stop0.01,5m,3,1.0,long,0.01,-1.0,20.48007602042856,2.0104760204285603,0.044548318246814655,215908,1255,60,0,0.34133460034047597,0.3194068546561112,0.2944025852105641,next_bar_close,False,False,0
5m__r3__z0.5__long__stop0.01,5m,3,0.5,long,0.01,-1.0,20.272269074876277,1.7702690748762788,0.02805411274940257,401671,1255,60,0,0.33787115124793793,0.3336284217524702,0.2928566474534903,next_bar_close,False,False,0
5m__r3__z1__long_short__stop0.01,5m,3,1.0,long_short,0.01,-1.0,20.1932804183676,1.691280418367602,0.03583504217752745,430410,1255,60,0,0.33655467363946007,0.3270645350801943,0.27869382469975523,next_bar_close,False,True,0
