variant_id,net_simple_return,maximum_drawdown,positive_months,negative_months,recent12_net,recent12_average_month,recent12_positive_months,worst_month,best_month
momentum_sp500__multifactor_sp500,1.0743371782561553,0.0901499373026997,38,22,0.5160522330036249,0.04300435275030207,10,-0.044126170959390074,0.14119674038387256
momentum_sp500__multifactor_qqq,1.0188780627290472,0.10484648934340506,36,24,0.5158955333024654,0.042991294441872115,9,-0.04770331031759336,0.1419580238121289
momentum_qqq__multifactor_sp500,0.7263641441536977,0.1779278513977651,37,23,0.37527388155862085,0.031272823463218406,11,-0.08586230315460976,0.0915646055823522
momentum_qqq__multifactor_qqq,0.6709050286265896,0.2007987080286759,34,26,0.37511718185746146,0.031259765154788455,9,-0.09686610753041697,0.09312533596411832
