variant,green_bp,rvol,target_bp,hold,cost_bp,trades,trades_per_session,net_return,mean_trade_bp,target_fill_proxy_rate,forced_exit_rate,green_trade_fraction,positive_months,max_drawdown
g20_rv2_t15_h5_c2,20,2.0,15,5,2,295,4.682539682539683,-0.02473787887785961,-0.8385721653511732,0.7050847457627119,0.29491525423728815,0.7254237288135593,1,0.06438304268341088
g20_rv2_t15_h10_c2,20,2.0,15,10,2,281,4.4603174603174605,-0.05243196089989233,-1.865906081846702,0.800711743772242,0.199288256227758,0.8113879003558719,1,0.09067831586657371
g20_rv2_t10_h5_c2,20,2.0,10,5,2,302,4.7936507936507935,-0.052816837887675216,-1.7489019168104376,0.7748344370860927,0.2251655629139073,0.7814569536423841,1,0.06017825563292101
g20_rv2_t5_h5_c2,20,2.0,5,5,2,308,4.888888888888889,-0.06837921810539571,-2.220104483941419,0.8636363636363636,0.13636363636363635,0.8636363636363636,0,0.0791543288203217
g20_rv2_t2_h3_c2,20,2.0,2,3,2,317,5.031746031746032,-0.06958054682236703,-2.1949699313049535,0.917981072555205,0.08201892744479496,0.917981072555205,0,0.07051003678558135
g20_rv2_t15_h3_c2,20,2.0,15,3,2,307,4.873015873015873,-0.07525231441375235,-2.451215453216689,0.6188925081433225,0.3811074918566775,0.6449511400651465,1,0.07690622991642798
g20_rv2_t2_h5_c2,20,2.0,2,5,2,314,4.984126984126984,-0.07644300535580051,-2.4344906164267677,0.9267515923566879,0.0732484076433121,0.9267515923566879,0,0.07778552024218288
g20_rv2_t10_h10_c2,20,2.0,10,10,2,290,4.603174603174603,-0.07731248205010832,-2.6659476569002867,0.8551724137931035,0.14482758620689656,0.8586206896551725,1,0.08795728373193813
g20_rv2_t5_h3_c2,20,2.0,5,3,2,313,4.968253968253968,-0.0791545996611529,-2.528900947640668,0.8370607028753994,0.16293929712460065,0.8370607028753994,0,0.09018329592385203
g20_rv1.5_t15_h5_c2,20,1.5,15,5,2,504,8.0,-0.07938679352631728,-1.5751347921888348,0.6944444444444444,0.3055555555555556,0.7103174603174603,1,0.10131990992311626
g20_rv2_t2_h1_c2,20,2.0,2,1,2,324,5.142857142857143,-0.08565813485002627,-2.6437695941366135,0.8425925925925926,0.1574074074074074,0.8425925925925926,0,0.08657156328673943
g20_rv2_t5_h10_c2,20,2.0,5,10,2,304,4.825396825396825,-0.08638934550736188,-2.8417547864263772,0.9177631578947368,0.08223684210526316,0.9177631578947368,1,0.10284810071164247
g20_rv2_t2_h10_c2,20,2.0,2,10,2,310,4.920634920634921,-0.08702278377286743,-2.807186573318304,0.9580645161290322,0.041935483870967745,0.9580645161290322,1,0.0941286551177489
g20_rv1.5_t15_h10_c2,20,1.5,15,10,2,471,7.476190476190476,-0.09220176947262748,-1.9575747234103498,0.7791932059447984,0.2208067940552017,0.7876857749469215,1,0.09761607303442116
g20_rv2_t10_h3_c2,20,2.0,10,3,2,311,4.936507936507937,-0.09734088380386186,-3.129931955108098,0.6977491961414791,0.3022508038585209,0.7170418006430869,0,0.09760412088838401
g20_rv1.5_t2_h10_c2,20,1.5,2,10,2,532,8.444444444444445,-0.11106984295409461,-2.0877790028965153,0.9548872180451128,0.045112781954887216,0.9548872180451128,1,0.11651561812287853
g20_rv2_t5_h1_c2,20,2.0,5,1,2,324,5.142857142857143,-0.11135277518110631,-3.4368140487995777,0.7067901234567902,0.2932098765432099,0.7160493827160493,0,0.11635020882268891
g20_rv2_t15_h1_c2,20,2.0,15,1,2,324,5.142857142857143,-0.11296272456037915,-3.4865038444561467,0.4012345679012346,0.5987654320987654,0.49382716049382713,0,0.11454797251523123
g10_rv2_t15_h5_c2,10,2.0,15,5,2,460,7.301587301587301,-0.11344899523790242,-2.4662825051717916,0.658695652173913,0.34130434782608693,0.6804347826086956,0,0.11608313210860025
g10_rv2_t10_h5_c2,10,2.0,10,5,2,470,7.4603174603174605,-0.11815842148561073,-2.514008967778952,0.7446808510638298,0.2553191489361702,0.7510638297872341,0,0.12450199664297587
g10_rv2_t5_h5_c2,10,2.0,5,5,2,484,7.682539682539683,-0.12093285774761497,-2.498612763380475,0.8450413223140496,0.15495867768595042,0.8450413223140496,0,0.12137217166178403
g20_rv1.5_t5_h10_c2,20,1.5,5,10,2,517,8.206349206349206,-0.12188201176780522,-2.3574857208472966,0.9052224371373307,0.09477756286266925,0.9052224371373307,0,0.13791777245667688
g20_rv2_t10_h1_c2,20,2.0,10,1,2,324,5.142857142857143,-0.1237464439617656,-3.8193346901779504,0.5216049382716049,0.4783950617283951,0.5679012345679012,0,0.1263472777218528
g10_rv2_t2_h5_c2,10,2.0,2,5,2,500,7.936507936507937,-0.12527871769735188,-2.505574353947038,0.914,0.086,0.914,0,0.1265016154357417
