sample,extra_slippage_bps_per_side,rule,net_simple_return,maximum_drawdown,positive_months,negative_months,monthly_average,monthly_median,monthly_std,worst_month,best_month,top5_day_positive_share
full_history,2,equal5,1.1459725888284795,0.11351033908862472,40,20,0.01909954314714133,0.009617506655660902,0.04459812492033759,-0.07241212273301786,0.1388485846147982,0.05188593841648621
full_history,2,alpha_capped_inverse_vol,0.8854636274048847,0.1351628184148787,36,24,0.014757727123414749,0.013749303360575116,0.035712284035136016,-0.0855931653551417,0.09313825168885201,0.0420873752953921
quote_0940,2,equal5,0.5493879679392939,0.048214589995292434,10,2,0.04578233066160783,0.032448877030947045,0.04887347927284708,-0.017630781867245156,0.13606497119146516,0.12901074398091905
quote_0940,2,alpha_capped_inverse_vol,0.43918876808122964,0.04067510800523601,11,1,0.03659906400676914,0.025060093790029776,0.03524471905393795,-0.015053671954871319,0.09255242874734597,0.12031468852600447
quote_0940,10,equal5,0.5247043531238411,0.04897852648163753,10,2,0.043725362760320095,0.03030965383120922,0.04883122722237419,-0.020303625658895954,0.13371909584826208,0.12929096209818836
quote_0940,10,alpha_capped_inverse_vol,0.41542622672040325,0.041522162196258455,11,1,0.03461885222670027,0.023120646036845244,0.03521194250802979,-0.017319456941504892,0.09031324721533063,0.12083808820522038
